dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,point_model,conformal_method,nominal_coverage,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,normalized_mean_interval_width,n_seeds,n_crossed_repaired,coverage_std,width_std,dscp_n_clusters,dscp_silhouette
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,HistGBR-quantile,cqr,0.9,0.8460461107519931,0.053953889248006925,1.238452384668084,0.9748335784278233,2.0635204815103436,9282,0.28128547314790336,5,463,0.0675751824529007,0.1547348434170584,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,HistGBR-quantile,quantile_uncalibrated,0.9,0.6215255332902392,0.27847446670976084,0.865596576141431,0.6010090613258878,2.1450351994834196,9282,0.19660000294674412,1,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,HistGBR-quantile,cqr,0.95,0.7805429864253394,0.1694570135746606,1.444494585284008,1.0857162345862266,4.968101989733042,9282,0.3280831365915555,5,773,0.0301797918020042,0.62489431354287,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,HistGBR-quantile,quantile_uncalibrated,0.95,0.6897220426632191,0.26027795733678083,1.2399504192927686,0.8972347303005677,5.581251002732871,9282,0.28162571665133795,1,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,XGBRegressor,recentred_enbpi_static,0.9,0.8572505925447101,0.04274940745528988,0.38977791922432914,0.38977791922432914,0.6794198702946842,9282,0.08852893158343335,3,0,0.004740629732823201,0.0021699551304195943,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,XGBRegressor,recentred_enbpi_static,0.95,0.9293255763843999,0.020674423615600013,0.5243234483022547,0.5243234483022547,0.8237390691027523,9282,0.11908779946979321,3,0,0.004933397905932438,0.0064439372453289675,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,XGBRegressor,recentred_enbpi_updated,0.9,0.8519715578539108,0.048028442146089256,0.38238203961182066,0.37671216328938684,0.6636404181748109,9282,0.08684913063032126,3,0,0.0039352517508590605,0.002583196764680994,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,5,5.0,XGBRegressor,recentred_enbpi_updated,0.95,0.927170868347339,0.022829131652660983,0.5106147317005126,0.5151290893554688,0.8132250049778594,9282,0.11597418534678838,3,0,0.002553023427016614,0.00588243608756554,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,HistGBR-quantile,cqr,0.9,0.8547731888964116,0.045226811103588394,1.3880567432529196,1.2087857494095395,2.2857580440190253,8862,0.3137828544581097,5,57,0.0236748564195364,0.1020159480128447,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,HistGBR-quantile,quantile_uncalibrated,0.9,0.6750169262017603,0.22498307379823967,0.9110967760949096,0.7080484640025109,2.408686862808758,8862,0.20596171480761302,1,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,HistGBR-quantile,cqr,0.95,0.802414804784473,0.14758519521552693,1.8344102521662997,1.699246813996024,5.968765933953229,8862,0.41468512578457345,5,580,0.040407954703174175,0.20161353758937922,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,HistGBR-quantile,quantile_uncalibrated,0.95,0.6778379598284812,0.2721620401715188,1.3696918450096087,1.2079951446321306,7.338559139662227,8862,0.3096313021381994,1,0,,,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,XGBRegressor,recentred_enbpi_static,0.9,0.8195666892349357,0.08043331076506433,0.8477705546787817,0.8477705546787817,1.7872197992448011,8862,0.19164624635534225,3,0,0.004684690431637804,0.032393779775100495,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,XGBRegressor,recentred_enbpi_static,0.95,0.9062288422477996,0.04377115775220031,1.189118671417237,1.189118671417237,2.099310078875953,8862,0.2688110935092717,3,0,0.0012463733939503084,0.06136610433192727,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,XGBRegressor,recentred_enbpi_updated,0.9,0.8206951026856241,0.07930489731437596,0.8748643685283708,0.8649772644042955,1.6763378519307266,8862,0.19777104945810103,3,0,0.0036464034599855712,0.037708761330965346,,
rico,B.RTD3,temperature,degC,0 days 00:01:00,15,15.0,XGBRegressor,recentred_enbpi_updated,0.95,0.9124351162265855,0.03756488377341449,1.1662811443197958,1.165378189086912,1.9944544471537131,8862,0.26364846274779,3,0,0.003784253019004178,0.021190154421345465,,
