dataset,recalibration_strategy,block_start,block_index,n,empirical_coverage,coverage_deviation,mean_interval_width,post_shift
rico,static,21,-77,60,1.0,0.050000000000000044,0.5358628705243919,False
rico,static,81,-76,60,1.0,0.050000000000000044,0.5358628705243919,False
rico,static,141,-75,60,0.9,0.04999999999999993,0.5358628705243919,False
rico,static,201,-74,60,1.0,0.050000000000000044,0.5358628705243919,False
rico,static,261,-73,60,1.0,0.050000000000000044,0.5358628705243919,False
rico,static,321,-72,60,0.9,0.04999999999999993,0.5358628705243919,False
rico,static,381,-71,60,1.0,0.050000000000000044,0.5358628705243919,False
rico,static,441,-70,60,0.3333333333333333,0.6166666666666667,0.5358628705243934,False
rico,static,501,-69,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,561,-68,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,621,-67,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,681,-66,60,0.95,0.0,0.5358628705243937,False
rico,static,741,-65,60,0.9333333333333333,0.016666666666666607,0.5358628705243937,False
rico,static,801,-64,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,861,-63,60,0.75,0.19999999999999996,0.5358628705243937,False
rico,static,921,-62,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,981,-61,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1041,-60,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1101,-59,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1161,-58,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1221,-57,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1281,-56,60,0.9833333333333333,0.033333333333333326,0.5358628705243937,False
rico,static,1341,-55,60,0.9833333333333333,0.033333333333333326,0.5358628705243937,False
rico,static,1401,-54,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1461,-53,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1521,-52,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1581,-51,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1641,-50,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1701,-49,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1761,-48,60,0.9833333333333333,0.033333333333333326,0.5358628705243937,False
rico,static,1821,-47,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1881,-46,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,1941,-45,60,0.95,0.0,0.5358628705243937,False
rico,static,2001,-44,60,0.8,0.1499999999999999,0.5358628705243937,False
rico,static,2061,-43,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,2121,-42,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,2181,-41,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,2241,-40,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,2301,-39,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,2361,-38,60,1.0,0.050000000000000044,0.5358628705243922,False
rico,static,2421,-37,60,0.6,0.35,0.5358628705243936,False
rico,static,2481,-36,60,0.8,0.1499999999999999,0.5358628705243937,False
rico,static,2541,-35,60,0.6833333333333333,0.2666666666666666,0.5358628705243915,False
rico,static,2601,-34,60,0.75,0.19999999999999996,0.5358628705243906,False
rico,static,2661,-33,60,0.6833333333333333,0.2666666666666666,0.5358628705243937,False
rico,static,2721,-32,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,2781,-31,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,2841,-30,60,0.7833333333333333,0.16666666666666663,0.5358628705243937,False
rico,static,2901,-29,60,0.38333333333333336,0.5666666666666667,0.5358628705243937,False
rico,static,2961,-28,60,0.43333333333333335,0.5166666666666666,0.5358628705243909,False
rico,static,3021,-27,60,0.9,0.04999999999999993,0.5358628705243902,False
rico,static,3081,-26,60,0.48333333333333334,0.4666666666666666,0.5358628705243931,False
rico,static,3141,-25,60,0.6,0.35,0.5358628705243937,False
rico,static,3201,-24,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3261,-23,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3321,-22,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3381,-21,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3441,-20,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3501,-19,60,0.9,0.04999999999999993,0.5358628705243937,False
rico,static,3561,-18,60,0.9166666666666666,0.033333333333333326,0.5358628705243937,False
rico,static,3621,-17,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3681,-16,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3741,-15,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3801,-14,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3861,-13,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,3921,-12,60,0.9666666666666667,0.01666666666666672,0.5358628705243937,False
rico,static,3981,-11,60,0.9,0.04999999999999993,0.5358628705243937,False
rico,static,4041,-10,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4101,-9,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4161,-8,60,0.7666666666666667,0.18333333333333324,0.5358628705243937,False
rico,static,4221,-7,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4281,-6,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4341,-5,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4401,-4,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4461,-3,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4521,-2,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4581,-1,60,1.0,0.050000000000000044,0.5358628705243937,False
rico,static,4641,0,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,4701,1,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,4761,2,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,4821,3,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,4881,4,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,4941,5,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,5001,6,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,5061,7,60,0.8833333333333333,0.06666666666666665,0.5358628705243937,True
rico,static,5121,8,60,0.9666666666666667,0.01666666666666672,0.5358628705243937,True
rico,static,5181,9,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,5241,10,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,5301,11,60,0.5833333333333334,0.3666666666666666,0.5358628705243937,True
rico,static,5361,12,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,5421,13,60,0.95,0.0,0.5358628705243937,True
rico,static,5481,14,60,0.7333333333333333,0.21666666666666667,0.5358628705243937,True
rico,static,5541,15,60,0.7166666666666667,0.23333333333333328,0.5358628705243937,True
rico,static,5601,16,60,0.8166666666666667,0.1333333333333333,0.5358628705243937,True
rico,static,5661,17,60,0.45,0.49999999999999994,0.5358628705243937,True
rico,static,5721,18,60,0.5166666666666667,0.43333333333333324,0.5358628705243937,True
rico,static,5781,19,60,0.85,0.09999999999999998,0.5358628705243937,True
rico,static,5841,20,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,5901,21,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,5961,22,60,0.8833333333333333,0.06666666666666665,0.5358628705243937,True
rico,static,6021,23,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6081,24,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6141,25,60,0.9166666666666666,0.033333333333333326,0.5358628705243937,True
rico,static,6201,26,60,0.6833333333333333,0.2666666666666666,0.5358628705243937,True
rico,static,6261,27,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6321,28,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6381,29,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6441,30,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6501,31,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6561,32,60,1.0,0.050000000000000044,0.5358628705243934,True
rico,static,6621,33,60,0.8166666666666667,0.1333333333333333,0.5358628705243935,True
rico,static,6681,34,60,0.85,0.09999999999999998,0.5358628705243937,True
rico,static,6741,35,60,0.65,0.29999999999999993,0.5358628705243937,True
rico,static,6801,36,60,0.7666666666666667,0.18333333333333324,0.5358628705243937,True
rico,static,6861,37,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6921,38,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,6981,39,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,7041,40,60,0.95,0.0,0.5358628705243937,True
rico,static,7101,41,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,7161,42,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,7221,43,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,7281,44,60,0.9666666666666667,0.01666666666666672,0.5358628705243937,True
rico,static,7341,45,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,7401,46,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,7461,47,60,0.8833333333333333,0.06666666666666665,0.5358628705243937,True
rico,static,7521,48,60,0.7,0.25,0.5358628705243937,True
rico,static,7581,49,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,7641,50,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,7701,51,60,0.7166666666666667,0.23333333333333328,0.5358628705243937,True
rico,static,7761,52,60,0.95,0.0,0.5358628705243937,True
rico,static,7821,53,60,1.0,0.050000000000000044,0.535862870524393,True
rico,static,7881,54,60,0.9,0.04999999999999993,0.5358628705243919,True
rico,static,7941,55,60,1.0,0.050000000000000044,0.5358628705243923,True
rico,static,8001,56,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,8061,57,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,8121,58,60,0.9333333333333333,0.016666666666666607,0.5358628705243937,True
rico,static,8181,59,60,0.26666666666666666,0.6833333333333333,0.5358628705243937,True
rico,static,8241,60,60,0.03333333333333333,0.9166666666666666,0.5358628705243915,True
rico,static,8301,61,60,0.5333333333333333,0.41666666666666663,0.5358628705243902,True
rico,static,8361,62,60,0.6166666666666667,0.33333333333333326,0.5358628705243916,True
rico,static,8421,63,60,0.9166666666666666,0.033333333333333326,0.5358628705243937,True
rico,static,8481,64,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,8541,65,60,1.0,0.050000000000000044,0.5358628705243937,True
rico,static,8601,66,60,0.38333333333333336,0.5666666666666667,0.5358628705243937,True
rico,static,8661,67,60,0.7,0.25,0.5358628705243937,True
rico,static,8721,68,60,0.9333333333333333,0.016666666666666607,0.5358628705243937,True
rico,static,8781,69,60,1.0,0.050000000000000044,0.5358628705243937,True
