phase,dataset,horizon,outer_fold,scheme,boundary,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
after,pleia,1,0,chronological,inner_train->inner_calib,19812,9906,2021-01-08 00:00:00,2021-05-25 13:50:00,2021-05-25 14:00:00,2021-05-25 14:10:00,2021-08-02 09:00:00,2021-05-25 14:20:00,2021-08-02 09:10:00,0,0,,0,055bfa64a8ec5cbec507563db48b69a792e858060c6d4a32eff9d6b0058fe7ab,4e9bcd6b95d5bac72682f672fea08b27111a61706f3c7cbbc2f9b5c9348e4250
after,pleia,1,0,chronological,inner_calib->inner_select,9906,9907,2021-05-25 14:10:00,2021-08-02 09:00:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,0,0,,0,4e9bcd6b95d5bac72682f672fea08b27111a61706f3c7cbbc2f9b5c9348e4250,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
after,pleia,1,0,chronological,inner_select->outer_test,9907,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-10-10 04:30:00,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,0,0,,0,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac,77c805ec1206f5f4b8d69c832dbcdd0c7a9105f7eb908635b0cdce64c5e7f6d4
after,pleia,1,0,chronological,refit_train->refit_calibration,29719,9907,2021-01-08 00:00:00,2021-08-02 09:00:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,0,0,,0,197ca2126db8a6d54c51df4c1e25522291e7fe61047c6620379e662e13aa1aa7,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
after,pleia,1,0,chronological,refit_calibration->outer_test,9907,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-10-10 04:30:00,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,0,0,,0,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac,77c805ec1206f5f4b8d69c832dbcdd0c7a9105f7eb908635b0cdce64c5e7f6d4
after,pleia,1,0,chronological,tuning_0,6603,6603,2021-01-08 00:00:00,2021-02-22 20:20:00,2021-02-22 20:30:00,2021-02-22 20:40:00,2021-04-09 17:00:00,2021-02-22 20:50:00,2021-04-09 17:10:00,0,0,,0,c9e7633f2db7f154aa1fbed1982110e5369db5443db5a27f4833a827de3bd041,14d1953c547840f910610162488fdacd232c751db6102dbf41b1fd853df19c81
after,pleia,1,0,chronological,tuning_1,13206,6604,2021-01-08 00:00:00,2021-04-09 17:00:00,2021-04-09 17:10:00,2021-04-09 17:20:00,2021-05-25 13:50:00,2021-04-09 17:30:00,2021-05-25 14:00:00,0,0,,0,4ea8d295b69296fcc66ce32a41b7ba5726ba6813b50c3136897bdf7fadae56be,2160d12004357fe3ea7c3032a394695f2b8968e24df3af780987520639ff890f
after,pleia,1,1,chronological,inner_train->inner_calib,14858,7430,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-04-21 04:20:00,2021-04-21 04:30:00,2021-06-11 18:40:00,2021-04-21 04:40:00,2021-06-11 18:50:00,0,0,,0,082d3c719093d84e13379d5a2c367aacae289407ac707cb64d266f759ebb787b,40c000db18fbd1f504af0f4acd69a9e3b981b52d1c1d8e60423f4079ea20bb70
after,pleia,1,1,chronological,inner_calib->inner_select,7430,7430,2021-04-21 04:30:00,2021-06-11 18:40:00,2021-06-11 18:50:00,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,0,0,,0,40c000db18fbd1f504af0f4acd69a9e3b981b52d1c1d8e60423f4079ea20bb70,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03
after,pleia,1,1,chronological,inner_select->outer_test,7430,9907,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,0,0,,0,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03,c8e3a1cedc00a08cc2d4b24cfd948e6f75432fbd0b28b80c87c5d7a3c856a903
after,pleia,1,1,chronological,refit_train->refit_calibration,22289,7430,2021-01-08 00:00:00,2021-06-11 18:40:00,2021-06-11 18:50:00,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,0,0,,0,ff6e33ad4a60fdac3c9f2c0cbbf9cfac7829dad9dce22d5a71f465cb848d0d8d,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03
after,pleia,1,1,chronological,refit_calibration->outer_test,7430,9907,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,0,0,,0,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03,c8e3a1cedc00a08cc2d4b24cfd948e6f75432fbd0b28b80c87c5d7a3c856a903
after,pleia,1,1,chronological,tuning_0,4951,4952,2021-01-08 00:00:00,2021-02-11 09:00:00,2021-02-11 09:10:00,2021-02-11 09:20:00,2021-03-17 18:30:00,2021-02-11 09:30:00,2021-03-17 18:40:00,0,0,,0,772e37103d6ec8c04ebb7c7e034fb82e77efacdfb42740094dd62aba1cdcbb46,3ee052b31b48d8aee119b1a1a23488da243b59b1055ebe21d22b810798c26df1
after,pleia,1,1,chronological,tuning_1,9903,4953,2021-01-08 00:00:00,2021-03-17 18:30:00,2021-03-17 18:40:00,2021-03-17 18:50:00,2021-04-21 04:10:00,2021-03-17 19:00:00,2021-04-21 04:20:00,0,0,,0,bc9acab132bf77c6fdb966545b0c1c36c2d8d40c0debf6ad9879832e8eed3f18,af2dbfce54bc80c97b7250e3d85c70b3feb7714d2fb1b6436b4b00eeaec9ed9e
