phase,dataset,horizon,outer_fold,scheme,stage,n_scale_rows,n_outside_permitted_train,n_outer_test_scale_rows,scale_origin_max,scale_target_max,scale_membership_sha256
after,pleia,1,0,chronological,inner,19812,0,0,2021-05-25 13:50:00,2021-05-25 14:00:00,055bfa64a8ec5cbec507563db48b69a792e858060c6d4a32eff9d6b0058fe7ab
after,pleia,1,0,chronological,outer,29719,0,0,2021-08-02 09:00:00,2021-08-02 09:10:00,197ca2126db8a6d54c51df4c1e25522291e7fe61047c6620379e662e13aa1aa7
after,pleia,1,1,chronological,inner,14858,0,0,2021-04-21 04:10:00,2021-04-21 04:20:00,082d3c719093d84e13379d5a2c367aacae289407ac707cb64d266f759ebb787b
after,pleia,1,1,chronological,outer,22289,0,0,2021-06-11 18:40:00,2021-06-11 18:50:00,ff6e33ad4a60fdac3c9f2c0cbbf9cfac7829dad9dce22d5a71f465cb848d0d8d
after,pleia,1,2,chronological,inner,9905,0,0,2021-03-17 18:40:00,2021-03-17 18:50:00,858dadfb167b05cfdd85ef43e9966c224bc071a247182f46793bfa76b885b60a
after,pleia,1,2,chronological,outer,14858,0,0,2021-04-21 04:10:00,2021-04-21 04:20:00,082d3c719093d84e13379d5a2c367aacae289407ac707cb64d266f759ebb787b
after,pleia,3,0,chronological,inner,19808,0,0,2021-05-25 12:50:00,2021-05-25 13:20:00,9a8db40252dc2c5b57e829944e6b9a22e5cc74be429f3d609a0eec1e0e1f5f18
after,pleia,3,0,chronological,outer,29715,0,0,2021-08-02 08:00:00,2021-08-02 08:30:00,d245653f52ba66016741583cf542612b29fde554e261b4f0fa6270f760dc7ada
after,pleia,3,1,chronological,inner,14854,0,0,2021-04-21 03:10:00,2021-04-21 03:40:00,089fc5b718bb8a07608f15afd843ca6e63237c94488b0cd1d97e44ee8744376c
after,pleia,3,1,chronological,outer,22285,0,0,2021-06-11 17:40:00,2021-06-11 18:10:00,506ee7127ead38d9e0d410ac2ff259564bd15f3fa197a144b6fedfec7f73bfa1
after,pleia,3,2,chronological,inner,9901,0,0,2021-03-17 17:40:00,2021-03-17 18:10:00,0efdb4c0c98d76c3d85311d2342ea5b51feeb3cd64db1248be720be18479b3c6
after,pleia,3,2,chronological,outer,14855,0,0,2021-04-21 03:20:00,2021-04-21 03:50:00,227c29f26e08b12144a3144f7b4e485ceef61eeffddfb8383055cdb14249180b
after,pleia,6,0,chronological,inner,19802,0,0,2021-05-25 11:20:00,2021-05-25 12:20:00,bdb3543a2417795483a8d3c21d60c7e798bdd794820e0286658e48bd75787aa0
after,pleia,6,0,chronological,outer,29710,0,0,2021-08-02 06:40:00,2021-08-02 07:40:00,9bfb1bb756f6482d05f8b29f4641dbd1f296028fc350a4a553d24a36d22e27e9
after,pleia,6,1,chronological,inner,14848,0,0,2021-04-21 01:40:00,2021-04-21 02:40:00,e5a4c232cc1d13cc9d5203af23da48e28adca899c775ee359a1a41c6d846345c
after,pleia,6,1,chronological,outer,22280,0,0,2021-06-11 16:20:00,2021-06-11 17:20:00,24f1612079bd1cb0002f3d68e2063c78ac6c036e8372f0e93ec8183a74ff392f
after,pleia,6,2,chronological,inner,9895,0,0,2021-03-17 16:10:00,2021-03-17 17:10:00,58ca8b539f5909f1f344cb39c70775164f162fd2f6c574805aafb4f92fdabd4d
