phase,dataset,horizon,outer_fold,scheme,role,group_id,n,origin_min,origin_max,target_min,target_max,membership_sha256
after,pleia,1,0,chronological,inner_train,nan,19812,2021-01-08 00:00:00,2021-05-25 13:50:00,2021-01-08 00:10:00,2021-05-25 14:00:00,055bfa64a8ec5cbec507563db48b69a792e858060c6d4a32eff9d6b0058fe7ab
after,pleia,1,0,chronological,inner_calib,nan,9906,2021-05-25 14:10:00,2021-08-02 09:00:00,2021-05-25 14:20:00,2021-08-02 09:10:00,4e9bcd6b95d5bac72682f672fea08b27111a61706f3c7cbbc2f9b5c9348e4250
after,pleia,1,0,chronological,inner_select,nan,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
after,pleia,1,0,chronological,refit_train,nan,29719,2021-01-08 00:00:00,2021-08-02 09:00:00,2021-01-08 00:10:00,2021-08-02 09:10:00,197ca2126db8a6d54c51df4c1e25522291e7fe61047c6620379e662e13aa1aa7
after,pleia,1,0,chronological,refit_calibration,nan,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
after,pleia,1,0,chronological,outer_test,nan,9907,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,77c805ec1206f5f4b8d69c832dbcdd0c7a9105f7eb908635b0cdce64c5e7f6d4
after,pleia,1,1,chronological,inner_train,nan,14858,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,082d3c719093d84e13379d5a2c367aacae289407ac707cb64d266f759ebb787b
after,pleia,1,1,chronological,inner_calib,nan,7430,2021-04-21 04:30:00,2021-06-11 18:40:00,2021-04-21 04:40:00,2021-06-11 18:50:00,40c000db18fbd1f504af0f4acd69a9e3b981b52d1c1d8e60423f4079ea20bb70
after,pleia,1,1,chronological,inner_select,nan,7430,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03
after,pleia,1,1,chronological,refit_train,nan,22289,2021-01-08 00:00:00,2021-06-11 18:40:00,2021-01-08 00:10:00,2021-06-11 18:50:00,ff6e33ad4a60fdac3c9f2c0cbbf9cfac7829dad9dce22d5a71f465cb848d0d8d
after,pleia,1,1,chronological,refit_calibration,nan,7430,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03
after,pleia,1,1,chronological,outer_test,nan,9907,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,c8e3a1cedc00a08cc2d4b24cfd948e6f75432fbd0b28b80c87c5d7a3c856a903
after,pleia,1,2,chronological,inner_train,nan,9905,2021-01-08 00:00:00,2021-03-17 18:40:00,2021-01-08 00:10:00,2021-03-17 18:50:00,858dadfb167b05cfdd85ef43e9966c224bc071a247182f46793bfa76b885b60a
after,pleia,1,2,chronological,inner_calib,nan,4952,2021-03-17 19:00:00,2021-04-21 04:10:00,2021-03-17 19:10:00,2021-04-21 04:20:00,f764abd3596acb0b04ef1be7cb891ef057c0b9e9deb7704e618de1afee3c5bf7
after,pleia,1,2,chronological,inner_select,nan,4953,2021-04-21 04:40:00,2021-05-25 14:00:00,2021-04-21 04:50:00,2021-05-25 14:10:00,9eb8650e22c2484bd09a282820451387cd0610e0cf55aa2ec428816a260b5143
after,pleia,1,2,chronological,refit_train,nan,14858,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,082d3c719093d84e13379d5a2c367aacae289407ac707cb64d266f759ebb787b
after,pleia,1,2,chronological,refit_calibration,nan,4953,2021-04-21 04:40:00,2021-05-25 14:00:00,2021-04-21 04:50:00,2021-05-25 14:10:00,9eb8650e22c2484bd09a282820451387cd0610e0cf55aa2ec428816a260b5143
after,pleia,1,2,chronological,outer_test,nan,9907,2021-05-25 14:20:00,2021-08-02 09:20:00,2021-05-25 14:30:00,2021-08-02 09:30:00,9873f938ec58b7643a4b9bb6625e3522fa47921a83ef136da20c6e62a17a410f
after,pleia,3,0,chronological,inner_train,nan,19808,2021-01-07 23:40:00,2021-05-25 12:50:00,2021-01-08 00:10:00,2021-05-25 13:20:00,9a8db40252dc2c5b57e829944e6b9a22e5cc74be429f3d609a0eec1e0e1f5f18
after,pleia,3,0,chronological,inner_calib,nan,9904,2021-05-25 13:30:00,2021-08-02 08:00:00,2021-05-25 14:00:00,2021-08-02 08:30:00,f7779bf9e00cc6a4e1d62c2285a450f68d9f1dd1e3f2e6369a3986f936f89a3b
after,pleia,3,0,chronological,inner_select,nan,9906,2021-08-02 08:50:00,2021-10-10 03:40:00,2021-08-02 09:20:00,2021-10-10 04:10:00,7b1e40754283d2d9c9144efbcdb44852c434152aaa2b63b8b7442cb618548a5f
after,pleia,3,0,chronological,refit_train,nan,29715,2021-01-07 23:40:00,2021-08-02 08:00:00,2021-01-08 00:10:00,2021-08-02 08:30:00,d245653f52ba66016741583cf542612b29fde554e261b4f0fa6270f760dc7ada
after,pleia,3,0,chronological,refit_calibration,nan,9906,2021-08-02 08:50:00,2021-10-10 03:40:00,2021-08-02 09:20:00,2021-10-10 04:10:00,7b1e40754283d2d9c9144efbcdb44852c434152aaa2b63b8b7442cb618548a5f
after,pleia,3,0,chronological,outer_test,nan,9907,2021-10-10 04:20:00,2021-12-17 23:20:00,2021-10-10 04:50:00,2021-12-17 23:50:00,2c56104e38d2b03ffb6873b914346890d589bc0240acd42fd31d3b6d068570b6
after,pleia,3,1,chronological,inner_train,nan,14854,2021-01-07 23:40:00,2021-04-21 03:10:00,2021-01-08 00:10:00,2021-04-21 03:40:00,089fc5b718bb8a07608f15afd843ca6e63237c94488b0cd1d97e44ee8744376c
after,pleia,3,1,chronological,inner_calib,nan,7428,2021-04-21 03:50:00,2021-06-11 17:40:00,2021-04-21 04:20:00,2021-06-11 18:10:00,014c0bb8928273959199d9810d50cfafb5b7d825a6c11ecf649b7131d457215f
