phase,dataset,horizon,outer_fold,scheme,boundary,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
before,pleia,1,0,chronological,inner_train->inner_calib,19813,9907,2021-01-08 00:00:00,2021-05-25 14:00:00,2021-05-25 14:10:00,2021-05-25 14:10:00,2021-08-02 09:10:00,2021-05-25 14:20:00,2021-08-02 09:20:00,1,0,,0,3c9865c0fd88a59397b01372706b3c75ec97c714a54053b681b535a42c2b19cc,b6bdcea0efeca5c07185bc1f75980e8a2570387a5c08e31f9cd301cf38cb60bd
before,pleia,1,0,chronological,inner_calib->inner_select,9907,9907,2021-05-25 14:10:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,1,0,,0,b6bdcea0efeca5c07185bc1f75980e8a2570387a5c08e31f9cd301cf38cb60bd,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
before,pleia,1,0,chronological,inner_select->outer_test,9907,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-10-10 04:30:00,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,0,0,,0,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac,77c805ec1206f5f4b8d69c832dbcdd0c7a9105f7eb908635b0cdce64c5e7f6d4
before,pleia,1,0,chronological,refit_train->refit_calibration,29720,9907,2021-01-08 00:00:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,1,0,,0,66f18799dcd614a9ff415f567ac91b8e0bc173e88306dd5530297bb4eb0be787,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac
before,pleia,1,0,chronological,refit_calibration->outer_test,9907,9907,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-10-10 04:30:00,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,0,0,,0,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac,77c805ec1206f5f4b8d69c832dbcdd0c7a9105f7eb908635b0cdce64c5e7f6d4
before,pleia,1,1,chronological,inner_train->inner_calib,14860,7430,2021-01-08 00:00:00,2021-04-21 04:30:00,2021-04-21 04:40:00,2021-04-21 04:40:00,2021-06-11 18:50:00,2021-04-21 04:50:00,2021-06-11 19:00:00,1,0,,0,026776f02c87544f286f1843fd4cf6269acc50ba67bc521eccd91c44a3df6a8f,0589c60879f1f23d9cf9666404d8c892da0e27057bd0cd4989f823a47bf62a7c
before,pleia,1,1,chronological,inner_calib->inner_select,7430,7430,2021-04-21 04:40:00,2021-06-11 18:50:00,2021-06-11 19:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,1,0,,0,0589c60879f1f23d9cf9666404d8c892da0e27057bd0cd4989f823a47bf62a7c,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03
before,pleia,1,1,chronological,inner_select->outer_test,7430,9907,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,0,0,,0,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03,c8e3a1cedc00a08cc2d4b24cfd948e6f75432fbd0b28b80c87c5d7a3c856a903
before,pleia,1,1,chronological,refit_train->refit_calibration,22290,7430,2021-01-08 00:00:00,2021-06-11 18:50:00,2021-06-11 19:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,1,0,,0,6c3a7892e9227389e1d8299b8e1f48839b85ea920be9c38213044fbd0be69e54,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03
before,pleia,1,1,chronological,refit_calibration->outer_test,7430,9907,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-08-02 09:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,0,0,,0,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03,c8e3a1cedc00a08cc2d4b24cfd948e6f75432fbd0b28b80c87c5d7a3c856a903
