dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,point_model,conformal_method,nominal_coverage,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,normalized_mean_interval_width,n_seeds,n_crossed_repaired,coverage_std,width_std,dscp_n_clusters,dscp_silhouette
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,HistGBR-quantile,cqr,0.9,0.8904827859121488,0.0095172140878512,1.3304538426348989,1.2745756532249377,1.9883142383961532,10108,0.5384569043161886,2,0,0.0021270280965571,0.0074817059960526,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,HistGBR-quantile,quantile_uncalibrated,0.9,0.8255836960823111,0.0744163039176889,1.1541004264341692,1.098222237024208,2.0754093600867165,10108,0.4670837296068968,1,0,,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,HistGBR-quantile,cqr,0.95,0.9372774040364068,0.0127225959635931,1.647553824422792,1.573963416990308,2.5099514567698447,10108,0.6667925662389482,2,0,0.0034626038781163,0.0241147792126368,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,HistGBR-quantile,quantile_uncalibrated,0.95,0.8959240205777602,0.0540759794222397,1.41870105075193,1.3451106433194455,2.6322306276595477,10108,0.5741720242057575,1,0,,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,XGBRegressor,recentred_enbpi_static,0.9,0.851602690937871,0.048397309062129,1.3568398793538383,1.3568398793538383,2.4473227770752173,10108,0.5491357743329912,1,0,0.0,0.0,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,XGBRegressor,recentred_enbpi_static,0.95,0.9155124653739612,0.0344875346260387,1.761613655090333,1.7616136550903327,3.1201565182062767,10108,0.7129544858486062,1,0,0.0,0.0,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,XGBRegressor,recentred_enbpi_updated,0.9,0.8886030866640285,0.0113969133359714,1.5384471443268355,1.590995025634765,2.4023887056676028,10108,0.6226352694413867,1,0,0.0,0.0,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,XGBRegressor,recentred_enbpi_updated,0.95,0.941135734072022,0.0088642659279778,2.009140065867076,2.0624656677246094,3.0254674558698644,10108,0.8131325608875594,1,0,0.0,0.0,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,HistGBR-quantile,cqr,0.9,0.8875915297842866,0.0124084702157134,2.0067552580564807,1.9464144230388245,3.1137764835891817,10106,0.8123119475581694,2,0,0.0029190579853552,0.0014281197348957,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,HistGBR-quantile,quantile_uncalibrated,0.9,0.8051652483673065,0.0948347516326935,1.6274670569822312,1.5671262219645747,3.317120791374141,10106,0.6587803516829206,1,0,,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,HistGBR-quantile,cqr,0.95,0.9481496140906392,0.0018503859093607,2.575555360326842,2.500014984264652,3.8614148665215455,10106,1.0425558285653669,2,0,0.000247377795369,0.0275267593785482,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,HistGBR-quantile,quantile_uncalibrated,0.95,0.8918464278646349,0.058153572135365,2.0587180734785564,1.983177697416366,4.133008812242153,10106,0.833345910532305,1,0,,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,XGBRegressor,recentred_enbpi_static,0.9,0.8173362358994657,0.0826637641005343,1.818344879150388,1.818344879150388,3.5035337191819003,10106,0.736045546254402,1,0,0.0,0.0,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,XGBRegressor,recentred_enbpi_static,0.95,0.8967939837720166,0.0532060162279833,2.3557243982950844,2.3557243982950844,4.4412692132226725,10106,0.953570728770712,1,0,0.0,0.0,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,XGBRegressor,recentred_enbpi_updated,0.9,0.8814565604591332,0.0185434395408667,2.147036894434588,2.253414535522463,3.367541385035109,10106,0.8690963754526347,1,0,0.0,0.0,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,XGBRegressor,recentred_enbpi_updated,0.95,0.9349891153770038,0.0150108846229961,2.758355895340053,2.880984497070312,4.216257420746268,10106,1.116551428185755,1,0,0.0,0.0,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,HistGBR-quantile,dscp,0.9,0.9285572926974076,0.0285572926974074,1.6580915608891482,1.658361871527653,2.284204427429784,10106,0.6709991723703115,1,0,,,2.0,0.6088154662672661
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,HistGBR-quantile,dscp,0.9,0.9239065901444686,0.0239065901444686,2.255537358910477,2.2559138908855694,3.2264381058772567,10106,0.9130161425769698,1,0,,,2.0,0.6088154662672661
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,HistGBR-quantile,dscp,0.95,0.9642786463487036,0.0142786463487037,2.172458143890612,2.172815765503461,2.899872222310229,10106,0.8791538724062051,1,0,,,2.0,0.6088154662672661
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,HistGBR-quantile,dscp,0.95,0.9603206016227984,0.0103206016227983,2.9046245871115843,2.9051129207731705,4.139233340555231,10106,1.1757593487344669,1,0,,,2.0,0.6088154662672661
