block,room,start,end,span_days,n_rows,n_valid,coverage,missing_fraction,std,mean,forward_fill_fraction,passes_quality,selected,selection_reason
A,34,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.2445,25.8102,0.39731,True,False,
A,35,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.166,25.5708,0.57749,True,False,
A,36,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.4967,27.8412,0.7111,True,False,
A,37,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.8255,29.1951,0.75662,True,False,
A,38,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.0994,27.0803,0.49807,True,False,
A,39,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.9212,25.7706,0.52702,True,False,
A,40,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.6095,25.4983,0.70554,True,False,
A,41,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.8106,26.2693,0.80341,True,False,
A,42,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.1251,26.8343,0.52603,True,False,
A,43,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.3721,27.7416,0.55711,True,False,
A,44,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.1402,26.5875,0.72427,True,False,
A,50,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.2781,28.3907,0.53628,True,False,
A,52,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.2865,26.3225,0.67653,True,False,
A,53,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,1.8044,24.9349,0.39845,True,False,
A,54,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,2.753,27.8165,0.43567,True,False,
A,55,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,2.2696,27.2008,0.71357,True,False,
A,58,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,2.2782,26.0996,0.53194,True,False,
A,59,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.7305,26.6093,0.41487,True,False,
A,60,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.7452,26.8285,0.30954,True,False,
A,61,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.3853,27.3715,0.37564,True,False,
A,62,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.9066,29.524,0.61077,True,False,
A,64,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,2.7827,26.9828,0.50953,True,False,
A,65,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,1.9778,25.4059,0.40918,True,False,
A,67,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,1.3833,26.1314,0.41666,True,False,
A,68,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,1.9269,27.2226,0.63172,True,False,
A,69,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,1.7055,27.6082,0.53355,True,False,
A,70,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,5.2243,28.2588,0.74988,True,False,
A,71,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.9038,28.1778,0.53901,True,False,
A,72,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.8873,29.5733,0.64662,True,False,
A,73,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.9649,28.2415,0.68393,True,False,
A,74,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.1958,29.5487,0.68294,True,False,
A,75,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.1728,29.3318,0.75292,True,False,
A,76,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.3539,28.7708,0.54542,True,False,
A,77,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.2066,28.1639,0.7591,True,False,
A,78,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.5072,29.1795,0.71072,True,False,
A,79,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.3983,28.9478,0.65724,True,False,
B,2,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,0.8604,24.7881,0.32167,True,False,
B,9,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.1343,26.609,0.63128,True,False,
B,10,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.1023,26.7948,0.4509,True,False,
B,11,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,4.6178,24.8123,0.22773,True,True,"All candidates share the full span and complete coverage in the authors' gap-filled file; after excluding near-constant sensors (std>0.5), the least forward-filled series was chosen (lowest fraction of consecutive-duplicate values), with (block, room) as the final deterministic tie-break."
B,12,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,3.5132,25.6806,0.52903,True,False,
B,13,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,5.1869,27.1217,0.56113,True,False,
B,14,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,5.6038,27.7112,0.56801,True,False,
B,15,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,5.2211,28.0677,0.70342,True,False,
B,16,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,5.2613,27.3931,0.52975,True,False,
B,17,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,5.1849,27.6037,0.68427,True,False,
B,18,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,5.2305,25.8525,0.38623,True,False,
C,29,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,2.9021,26.6211,0.52609,True,False,
C,30,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,2.7782,25.8783,0.34129,True,False,
C,32,2021-01-01 00:10:00,2021-12-17 23:50:00,350,50543,50543,1.0,0.0,2.8079,26.0545,0.32909,True,False,
