dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,conformal_method,nominal_coverage,role,rule,true_positives,false_positives,false_negatives,precision,recall,f1,false_alert_events_per_day,mean_detection_delay_min,median_detection_delay_min,n_events,point_false_positives,point_true_negatives,far,k,m,n_violation_steps,n_alert_steps,selection_partition,n_selection_windows,selected_operating_rule,selection_reason
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,1-of-1,27,229,1,0.10546875,0.9642857142857143,0.1901408450704225,8.156319564679693,17.77777777777778,0.0,28,369,3012,0.10913930789707187,1,1,803,803,calibration_rule_block,4043.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,2-of-3,26,95,2,0.21487603305785125,0.9285714285714286,0.3489932885906041,3.3836260202819686,29.23076923076923,10.0,28,259,3122,0.07660455486542443,2,3,803,691,calibration_rule_block,4043.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,3-of-5,25,49,3,0.33783783783783783,0.8928571428571429,0.4901960784313726,1.7452386841454366,34.4,20.0,28,164,3217,0.048506359065365275,3,5,803,592,calibration_rule_block,4043.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,4-of-7,23,28,5,0.45098039215686275,0.8214285714285714,0.5822784810126583,0.9972792480831066,39.130434782608695,30.0,28,118,3263,0.034900916888494525,4,7,803,552,calibration_rule_block,4043.0,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,1-of-1,25,373,3,0.06281407035175879,0.8928571428571429,0.11737089201877934,5.313810842896715,12.0,0.0,28,594,8852,0.06288376032182935,1,1,1030,1030,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,2-of-3,23,145,5,0.13690476190476192,0.8214285714285714,0.23469387755102045,2.0656905421448357,22.608695652173914,10.0,28,387,9059,0.04096972263391912,2,3,1030,818,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,3-of-5,23,64,5,0.26436781609195403,0.8214285714285714,0.4,0.9117530668777206,32.608695652173914,20.0,28,238,9208,0.025195850095278426,3,5,1030,664,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,4-of-7,23,25,5,0.4791666666666667,0.8214285714285714,0.6052631578947368,0.3561535417491096,41.73913043478261,30.0,28,129,9317,0.013656574211306373,4,7,1030,561,,,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,1-of-1,0,394,0,0.0,,,5.612979817965968,,,0,634,9474,0.0627225959635932,1,1,634,634,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,2-of-3,0,153,0,0.0,,,2.179659675504551,,,0,414,9694,0.04095765730114761,2,3,634,414,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,3-of-5,0,67,0,0.0,,,0.9544914918876138,,,0,253,9855,0.025029679461812424,3,5,634,253,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,4-of-7,0,29,0,0.0,,,0.41313810842896714,,,0,144,9964,0.014246141669964385,4,7,634,144,,,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
