model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.1448171000010916,491339776,492113920,447873024,448098304,774144,1032167424,2766270464,0.05,0.140625
persistence,tuning,False,0.001036599998769816,451977216,451993600,407056384,407089152,16384,1031729152,4010340352,0.05,0.0
persistence,final_fit,False,0.0006069000010029413,451993600,451993600,407089152,407089152,0,1031729152,4010340352,0.05,0.0
persistence,calibration,False,0.008299599998281337,451993600,452579328,407089152,407592960,585728,1031729152,4010303488,0.05,0.015625
persistence,inference,False,0.01850469999772031,452579328,452587520,407592960,407597056,8192,1031729152,4010233856,0.05,0.015625
persistence,artifact_serialization,False,0.0007585999992443249,458215424,458240000,413564928,413597696,24576,1031729152,4005834752,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,1.4768277000039234,531869696,627494912,489721856,650747904,95625216,1032167424,2602508288,0.05,1.4375
xgboost,tuning,False,6.686444899998605,454283264,571936768,411283456,594087936,117653504,1031729152,3835252736,0.05,6.46875
xgboost,final_fit,False,2.725211199998739,565125120,574808064,586985472,596226048,9682944,1031729152,3854286848,0.05,2.578125
xgboost,calibration,False,0.20948499999940395,563089408,563236864,586690560,586706944,147456,1031729152,3869790208,0.05,0.21875
xgboost,inference,False,0.4154615000006743,563236864,563519488,586694656,587046912,282624,1031729152,3869671424,0.05,0.40625
xgboost,artifact_serialization,False,0.007207299997389782,572956672,576942080,595193856,599195648,3985408,1031729152,3856531456,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,2.544269300000451,634568704,649510912,657027072,693739520,14942208,1032167424,2584686592,0.05,2.5625
attention_lstm,tuning,False,618.0770438999971,564752384,681598976,588242944,719532032,116846592,1031729152,2415132672,0.05,596.734375
attention_lstm,final_fit,False,901.5987344000023,638513152,681975808,667328512,721858560,43462656,1031729152,1687752704,0.05,786.296875
attention_lstm,calibration,False,3.222609399999783,666550272,666550272,709709824,713256960,0,1031729152,3147247616,0.05,2.9375
attention_lstm,inference,False,6.60562629999913,662167552,666988544,705994752,717422592,4820992,1031729152,3201261568,0.05,5.453125
attention_lstm,artifact_serialization,False,0.008678900005179457,675205120,675377152,720642048,720674816,172032,1031729152,3256889344,0.05,0.0
