unit,archive,bytes,sha256,members,uncompressed_bytes
pleia_energy_h1_f1_s42_v1,pleia_energy_h1_f1_s42_v1.zip,12006611,ea3760817e7de4e8fc2ab1cab660058033b0dce7717fa67ae03cd325b249f677,35,12622414
pleia_energy_h3_f1_s42_v1,pleia_energy_h3_f1_s42_v1.zip,12050117,9d25c395650a7ad0fcba73e518d9457adcfe281fd828782ded752ceb242a4d53,35,12658087
pleia_energy_h6_f1_s42_v1,pleia_energy_h6_f1_s42_v1.zip,12002781,8b8696b583675992a09c9fc8b169f5890e8716060221e38ca1987f17012e9669,35,12640656
pleia_energy_h3_f0_s42_v1,pleia_energy_h3_f0_s42_v1.zip,14474522,c9d22c60944788cd85d869fb9ac6349befed0b89bafa5d01da40ce80896b19a1,35,15131905
pleia_energy_h6_f0_s42_v1,pleia_energy_h6_f0_s42_v1.zip,14417909,7f21a1f74ed1e2f9c402a80500e70a45d838156c9202fef02ed96fc694c324a4,35,15108520
pleia_energy_h1_f1_s43_v1,pleia_energy_h1_f1_s43_v1.zip,12006895,5cb9288986672dbac2fcb3b1152d53af23d9f4a886ac0ecefa6a4a5886c7a4ce,35,12624478
pleia_energy_h3_f1_s43_v1,pleia_energy_h3_f1_s43_v1.zip,12032820,292fed8e601c7cd671e313e433c04ee4b54b9dca81d52b5bacb25d199b60e848,35,12641245
pleia_energy_h6_f1_s43_v1,pleia_energy_h6_f1_s43_v1.zip,11993148,7c9f76eb2e441a9d80ee9058794aa292b8c64861d14df2245c745579c8782784,35,12634211
pleia_energy_h1_f0_s43_v1,pleia_energy_h1_f0_s43_v1.zip,14470944,65c87c570cc8b77637dd638ca4a561cddbbe0d3d1765e83ac63a0189321b9357,35,15135401
pleia_energy_h3_f0_s43_v1,pleia_energy_h3_f0_s43_v1.zip,14479048,0d870619f0e02429a91a30247b9bb786b3172a83df2d919b34dc37aa100ffbb7,35,15137446
pleia_energy_h6_f0_s43_v1,pleia_energy_h6_f0_s43_v1.zip,14410286,6d96a3d562b42f4ed0dd3b8a124456500a9834a28ecc1aa2cd6a7af4cc1aa9de,35,15100713
pleia_energy_h1_f1_s44_v1,pleia_energy_h1_f1_s44_v1.zip,12021967,f01a4a2b8d981d574f9207f5116bb637ff332fc05d2c26149e44f27fd24732c4,35,12638100
