dataset,horizon,outer_fold,model_seed,source_run,source_hash,protocol_hash,target_units,physical_minutes,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,event,pid,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,tuning,0,0.0,7428,d3eaa9b4d9389bf5da8ed1cd27be82c604c3c2736101f377a1495bbe3c438a0a,b0ae3403bbf26b91ba9647d17e6534a154d6ad2669ba8d979b314a5e9d7d1b14,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,started,17356,,,,,,,,,,,
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,tuning,0,0.0,7428,d3eaa9b4d9389bf5da8ed1cd27be82c604c3c2736101f377a1495bbe3c438a0a,b0ae3403bbf26b91ba9647d17e6534a154d6ad2669ba8d979b314a5e9d7d1b14,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,complete,17356,xgboost.sklearn.XGBRegressor,1.528617200005101,388366336.0,493178880.0,343244800.0,515170304.0,104812544.0,494301184.0,6306725888.0,0.05,0.328125
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,tuning,0,1.0,14857,b28cc54e7e6b92af8e911c7f162947cfc669f60cb50c87d127cfacfb0fb53082,83ba0c77bb451042d508a6369120a3d3e23a49912a38955856fcf435b3b7fbce,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,started,17356,,,,,,,,,,,
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,tuning,0,1.0,14857,b28cc54e7e6b92af8e911c7f162947cfc669f60cb50c87d127cfacfb0fb53082,83ba0c77bb451042d508a6369120a3d3e23a49912a38955856fcf435b3b7fbce,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,complete,17356,xgboost.sklearn.XGBRegressor,0.4361042999953497,494219264.0,499806208.0,516149248.0,521510912.0,5586944.0,499806208.0,6298701824.0,0.05,0.453125
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,tuning,1,0.0,7428,d3eaa9b4d9389bf5da8ed1cd27be82c604c3c2736101f377a1495bbe3c438a0a,b0ae3403bbf26b91ba9647d17e6534a154d6ad2669ba8d979b314a5e9d7d1b14,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,started,17356,,,,,,,,,,,
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,tuning,1,0.0,7428,d3eaa9b4d9389bf5da8ed1cd27be82c604c3c2736101f377a1495bbe3c438a0a,b0ae3403bbf26b91ba9647d17e6534a154d6ad2669ba8d979b314a5e9d7d1b14,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,complete,17356,xgboost.sklearn.XGBRegressor,0.4225342999998247,497528832.0,500088832.0,519208960.0,521785344.0,2560000.0,501112832.0,6288506880.0,0.05,0.421875
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,tuning,1,1.0,14857,b28cc54e7e6b92af8e911c7f162947cfc669f60cb50c87d127cfacfb0fb53082,83ba0c77bb451042d508a6369120a3d3e23a49912a38955856fcf435b3b7fbce,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,started,17356,,,,,,,,,,,
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,tuning,1,1.0,14857,b28cc54e7e6b92af8e911c7f162947cfc669f60cb50c87d127cfacfb0fb53082,83ba0c77bb451042d508a6369120a3d3e23a49912a38955856fcf435b3b7fbce,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,complete,17356,xgboost.sklearn.XGBRegressor,0.6400975000142353,497553408.0,503533568.0,519208960.0,525221888.0,5980160.0,505663488.0,6270869504.0,0.05,0.625
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,final_fit,0,,22289,0a6cf66caf600baaeb492b583e710133b6be24dccd2b7e6ac8840235d54ce94f,,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,started,17356,,,,,,,,,,,
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,pleia_energy_h1_f1_s42_xgboost,final_fit,0,,22289,0a6cf66caf600baaeb492b583e710133b6be24dccd2b7e6ac8840235d54ce94f,,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,complete,17356,xgboost.sklearn.XGBRegressor,0.6161379999975907,499789824.0,507600896.0,521457664.0,529334272.0,7811072.0,507600896.0,6281216000.0,0.05,0.609375
