dataset,horizon,outer_fold,model_seed,source_run,source_hash,protocol_hash,target_units,physical_minutes,command_seconds,process_cpu_seconds,preparation_seconds,action_peak_rss_MiB,lifetime_peak_rss_MiB,validation_seconds,validation_cpu_seconds,resume_seconds,output_bytes
pleia_energy,1,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,f36bc65f64a09244efd5d67467ff4b54107845e8893c642dc20345a790f70a53,kWh per 10 minutes,10,100.24387950000528,96.34375,2.609563400008483,600.20703125,607.26953125,9.18705890000274,5.125,6.195046999986516,12622414
pleia_energy,3,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,ea1016cbfb305bdfde318375e6472c7c5d7145352608bf0c9e57461d1aade77a,kWh per 10 minutes,30,93.75722240000323,90.390625,2.680736299997079,600.6953125,609.19140625,9.201840800000355,5.09375,6.166620800009696,12658087
pleia_energy,6,1,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,417858dcf4d96f77c485476c9067e3e3303649e81c8a6bfe1533aa4215559e66,kWh per 10 minutes,60,77.90153709999868,75.625,2.6982474999967963,597.48828125,607.109375,7.9535171000025,5.09375,6.310879600001499,12640656
pleia_energy,3,0,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,2e37fb412c09adb797cf213fb68ba4743e8055bd1855b5adbd4fe19f50def205,kWh per 10 minutes,30,182.94047080000746,179.296875,3.0906883999996353,617.5078125,617.94921875,9.14436299999943,5.65625,6.622678100000485,15131905
pleia_energy,6,0,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,64befd2dcc9d7debfcb4705e4daa4ddaa39cb0c664a78711d6fe757c3257e654,kWh per 10 minutes,60,103.48120609999751,100.375,3.04884159998619,616.51171875,616.51171875,9.739996699994663,5.71875,6.6822291999997105,15108520
pleia_energy,1,1,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,1a98689f32bf81cb4f5705d6f49d04567d08cf54152374b9868cc9788a7f3e90,kWh per 10 minutes,10,87.47943649999797,85.421875,2.690618699998595,591.59375,599.95703125,9.160570799998823,5.15625,6.245935699989786,12624478
pleia_energy,3,1,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,b2590da06e2b79a545bec43bdff8c779a1f6cbab3721026734a31ca33a2e5c0d,kWh per 10 minutes,30,97.80838479999511,94.875,2.733420800010208,607.94921875,609.88671875,9.145094799998333,5.09375,6.429015000001527,12641245
pleia_energy,6,1,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,db5dd9e0c7159d84191407dea45948a9d0d6374cbbebfeaf5053a9bd3ddddcf0,kWh per 10 minutes,60,73.58685019999393,71.6875,2.713129999989178,598.4140625,607.62890625,8.501134999998612,5.078125,6.215762799998629,12634211
pleia_energy,1,0,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,52768db6d93e91109aa850904e5813ea3eb00f1033b28e8dbd2606f5135f219d,kWh per 10 minutes,10,200.91052330000093,197.03125,3.0778568999958225,596.16796875,598.9921875,9.65629730001092,5.6875,6.728299200010952,15135401
pleia_energy,3,0,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,3eb185e1f8b4f8ebaa2bd3e7e80457404e7814019cf1e98cb4a1a1066cddc336,kWh per 10 minutes,30,200.4360013000114,196.59375,3.0260429000045406,618.828125,618.828125,9.084729400012293,5.765625,6.717703700007405,15137446
pleia_energy,6,0,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c316ec90721513caed8431e3a8234edc58438bc98095c78d35305dd478233aa6,kWh per 10 minutes,60,132.11120790000132,128.921875,3.069509499997366,600.05078125,602.2421875,9.714538700005505,5.640625,6.586832200002391,15100713
pleia_energy,1,1,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,fa040e5e8c32fadd6392986a0df8dbfd2e99fd2c41fcb16efc018f6301ac5588,kWh per 10 minutes,10,161.23460100000375,157.71875,2.739002000002074,599.90234375,607.62890625,8.39355589999468,5.28125,6.246941400007927,12638100
pleia_energy,3,1,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,15744cbdf50123bfed771b75586629e0389848d25f4e791833fcffa54aa0932f,kWh per 10 minutes,30,84.91113680000126,82.21875,2.7080435999960173,593.78125,595.03125,8.419268600002397,5.171875,6.275864399998682,12638619
pleia_energy,6,1,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,44aa0ec44a099dba2dbd7fec045eed74e79456d849161654051805ea201afed5,kWh per 10 minutes,60,79.3954148000048,77.078125,2.734447300012107,600.30859375,606.6171875,8.447308800008614,5.328125,6.304211900001974,12637564
pleia_energy,1,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,1c89ab32cbb43766a72a7fdbf9f5fba751fac2b5a7248e536e812457416857ec,kWh per 10 minutes,10,205.9373315999983,201.859375,3.0581852000032086,610.2578125,610.2578125,9.714316499987035,5.640625,6.681771900010062,15128452
pleia_energy,3,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,fc08af58fb2aaec38a8c2665c437f882729a6d19f769022d78b9cb06448158c3,kWh per 10 minutes,30,137.5477525000024,134.34375,3.0906998999998905,616.63671875,618.625,8.692149699985748,5.75,6.9685975999891525,15126882
pleia_energy,6,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,beab242517c7fb299c78020e552436a75640da60a4f7760aef5c1def1bdd79cf,kWh per 10 minutes,60,118.4148581999907,114.78125,3.1216247999982443,615.58984375,615.90234375,10.000294600002235,5.8125,6.73875190000399,15108422
pleia_energy,1,1,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,e5c1dae79856ba2985e5bf3d1ab459636cebb345a3f6408602b78f90761804ba,kWh per 10 minutes,10,74.98062390001724,72.171875,2.7278928000014275,599.4921875,607.54296875,9.163885999994818,5.109375,6.417011499986984,12637462
pleia_energy,3,1,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,348012fb294a1756ef25f221352a18c83e5173d14ae9c1cdbfe96d8854baf3f0,kWh per 10 minutes,30,94.38774649999687,91.8125,2.7753793000010774,602.97265625,609.31640625,9.31615519998013,5.234375,6.346423799986951,12648532
