dataset,horizon,outer_fold,model_seed,physical_minutes,target_units,source_run,source_hash,protocol_hash,n_fit,n_calibration,n_test,left_model,right_model,interpretation,mae_difference,rmse_difference,coverage90_difference,signed_coverage_deviation90_difference,absolute_coverage_deviation90_difference,mpiw90_difference,winkler90_difference,coverage95_difference,signed_coverage_deviation95_difference,absolute_coverage_deviation95_difference,mpiw95_difference,winkler95_difference,tuning_seconds_difference,final_fit_seconds_difference,calibration_seconds_difference,inference_seconds_difference,model_phase_seconds_difference,process_cpu_seconds_difference,inference_rows_per_second_difference,model_phase_seconds_ratio,model_phase_seconds_ratio_status,process_cpu_seconds_ratio,process_cpu_seconds_ratio_status,inference_rows_per_second_ratio,inference_rows_per_second_ratio_status
bdg2,1,0,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,903363aeb03f9eeee3aef13f3b9fa7469364746d3885fdee5071f9affb2052d0,103684,34534,34426,attention_lstm,xgboost,left minus right within identical seed and target support,0.11634338406073041,-0.19118445514147453,0.0057805147272409485,0.0057805147272409485,-0.0057805147272409485,2.515955322265654,0.5970287791469957,2.904781269963408e-05,2.904781269963408e-05,-2.904781269963408e-05,1.679486816406481,0.8919428747460074,657.162402099988,291.2501332999964,0.7076486000150908,0.6568531999946572,949.7770371999941,935.015625,-95446.33547523574,74.24673607639944,ok,80.05019815059445,ok,0.28260348410075187,ok
bdg2,1,0,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,903363aeb03f9eeee3aef13f3b9fa7469364746d3885fdee5071f9affb2052d0,103684,34534,34426,attention_lstm,persistence,left minus right within identical seed and target support,-2.0919071584554523,-6.148117098408406,0.006158136292337191,0.006158136292337191,-0.006158136292337191,-19.233245849609375,-33.51869657531398,-0.0007552431301923734,-0.0007552431301923734,0.0007552431301923734,-29.07048974609377,-41.85128253964908,666.2628532999952,294.59379409998655,0.9614464000333101,0.9065657999890391,962.7246596000041,946.828125,-3770123.401204204,50156.49313554102,ok,60598.0,ok,0.00987443411885434,ok
bdg2,1,0,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s42_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,903363aeb03f9eeee3aef13f3b9fa7469364746d3885fdee5071f9affb2052d0,103684,34534,34426,xgboost,persistence,left minus right within identical seed and target support,-2.2082505425161827,-5.956932643266931,0.00037762156509624223,0.00037762156509624223,-0.00037762156509624223,-21.74920117187503,-34.11572535446098,-0.0007842909428920075,-0.0007842909428920075,0.0007842909428920075,-30.74997656250025,-42.743225414395084,9.100451200007228,3.3436607999901753,0.2537978000182193,0.2497125999943819,12.947622400010005,11.8125,-3674677.0657289685,675.5380207411447,ok,757.0,ok,0.0349409496852982,ok
bdg2,1,0,43,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,bd967fc5210c19a9fad9a5e7343341181dbe2ecb2481131260439ea4feaa7bcd,103684,34534,34426,attention_lstm,xgboost,left minus right within identical seed and target support,0.3992448649949907,-0.14179124510929952,-0.0011038168825886485,-0.0011038168825886485,0.0011038168825886485,-2.267027929687629,-1.2259847878331982,-0.0002614303142972618,-0.0002614303142972618,0.0002614303142972618,-2.12603710937492,-0.6509409079161514,637.9857867000101,208.64260590000777,0.6376058000314515,0.6107955999905244,847.8767940000398,834.1875,-82321.36863195983,73.15430851409297,ok,73.83492496589359,ok,0.318234827164815,ok
bdg2,1,0,43,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,bd967fc5210c19a9fad9a5e7343341181dbe2ecb2481131260439ea4feaa7bcd,103684,34534,34426,attention_lstm,persistence,left minus right within identical seed and target support,-1.934687384068308,-6.057648929490327,0.0013942950095858775,0.0013942950095858775,-0.0013942950095858775,-22.220278906250087,-34.658062824308644,-0.002178585952477774,-0.002178585952477774,0.002178585952477774,-32.92519628906257,-42.49467299058915,645.9074462999997,211.91403829999035,0.9001881000003777,0.88697890000185,859.6086515999923,845.625,-3819131.43058214,45184.58410848586,ok,54121.0,ok,0.009961232415058585,ok
bdg2,1,0,43,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,bd967fc5210c19a9fad9a5e7343341181dbe2ecb2481131260439ea4feaa7bcd,103684,34534,34426,xgboost,persistence,left minus right within identical seed and target support,-2.3339322490632988,-5.915857684381027,0.002498111892174526,0.002498111892174526,-0.002498111892174526,-19.953250976562458,-33.432078036475446,-0.0019171556381805122,-0.0019171556381805122,0.0019171556381805122,-30.79915917968765,-41.843732082673,7.921659599989653,3.2714323999825865,0.26258229996892624,0.2761833000113256,11.731857599952491,11.4375,-3736810.06195018,617.661283747644,ok,733.0,ok,0.031301515625439785,ok
bdg2,1,0,44,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,66bc662bdf28008cfec0aac5a1d05bb2bbebdf508a16438e411f24fd29a932c9,103684,34534,34426,attention_lstm,xgboost,left minus right within identical seed and target support,1.077844460937392,0.08427378491929005,-0.0014523906349851456,-0.0014523906349851456,0.0014523906349851456,0.7669777832031741,-0.3644580629224947,0.0004066693777957653,0.0004066693777957653,-0.0004066693777957653,0.9559921874999873,-1.3825786224047647,652.2128814000171,228.65740799999912,0.7427292999927886,0.6525696000026073,882.2655883000116,870.296875,-88846.75961370958,70.99890100681736,ok,77.93232044198895,ok,0.2950644760783025,ok
bdg2,1,0,44,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,66bc662bdf28008cfec0aac5a1d05bb2bbebdf508a16438e411f24fd29a932c9,103684,34534,34426,attention_lstm,persistence,left minus right within identical seed and target support,-0.9987960793331823,-5.7057731276005725,-0.0018009643873815318,-0.0018009643873815318,0.0018009643873815318,-20.526826171874973,-33.85100227462249,-0.0007552431301923734,-0.0007552431301923734,0.0007552431301923734,-30.39016210937507,-43.251849542088394,661.070360600017,231.87393210001756,0.9901378000213299,0.917544199997792,894.8519747000537,881.59375,-4175952.9006874566,50828.68982032579,ok,56423.0,ok,0.008826795878670982,ok
bdg2,1,0,44,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,66bc662bdf28008cfec0aac5a1d05bb2bbebdf508a16438e411f24fd29a932c9,103684,34534,34426,xgboost,persistence,left minus right within identical seed and target support,-2.0766405402705743,-5.790046912519863,-0.0003485737523963861,-0.0003485737523963861,0.0003485737523963861,-21.293803955078147,-33.48654421169999,-0.0011619125079881387,-0.0011619125079881387,0.0011619125079881387,-31.346154296875056,-41.86927091968363,8.857479199999943,3.2165241000184324,0.2474085000285413,0.2649745999951847,12.586386400042102,11.296875,-4087106.141073747,715.9081211052151,ok,724.0,ok,0.02991480369303616,ok
bdg2,1,0,45,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,82f781b32fd6315cf99ab97bfc074bf27755e7597f62a7b010229ddf817c7190,103684,34534,34426,attention_lstm,xgboost,left minus right within identical seed and target support,0.058134617444526526,-0.18899417491377335,0.006245279730436204,0.006245279730436204,-0.006245279730436204,3.989493774414015,-0.5958609743440775,0.00368907221286241,0.00368907221286241,-0.00368907221286241,4.407770019531199,-1.6295883920402048,686.553708499996,237.7586847000057,0.6998227000003681,0.605803599988576,925.6180194999906,910.890625,-94350.59052117154,74.93671173447012,ok,81.74376731301939,ok,0.29735750929165977,ok
