unit,frame,rows,empty_source_None_fields_canonicalized,other_columns_hash,other_columns_unchanged,original_checkpoint_unchanged
pleia_energy_h1_f0_s42_persistence,predictions,19818,19818,a471c57ec9ebe7b82d9748bc8498c5ca026ba4547443dae1f29596b02b86afdf,True,True
pleia_energy_h1_f0_s42_persistence,calibration,9907,9907,dd4784f64c24b2e438ab15fc819283ef2d40d7cc96721f839c75f6681f706468,True,True
pleia_energy_h1_f0_s42_persistence,fitting_membership,29719,29719,20085d6d10b6737f2a3091f22d4cb8d9d6899e131d576372ddac071af2967318,True,True
pleia_energy_h1_f0_s42_xgboost,predictions,19818,19818,eb837838915db1cee47299a53c1f33a99cbadf0197e69987efd06372e66e2f61,True,True
pleia_energy_h1_f0_s42_xgboost,calibration,9907,9907,b076a214b3a08372870ecd33d11d6b2d221418ac3b8835240017a7777fe82bdd,True,True
pleia_energy_h1_f0_s42_xgboost,tuning_predictions,39624,39624,c3763636a2fe7b2962ca98fa8f4a21bd57674cd0c9e5229dc65f0f70ba1e1863,True,True
pleia_energy_h1_f0_s42_xgboost,fitting_membership,29719,29719,20085d6d10b6737f2a3091f22d4cb8d9d6899e131d576372ddac071af2967318,True,True
pleia_energy_h1_f0_s42_attention_lstm,predictions,19818,19818,320c144f497de65889c1a2efee62114b39a6eed8ac7de8659ed168ff9d154415,True,True
pleia_energy_h1_f0_s42_attention_lstm,calibration,9907,9907,3fcd3816a38066d31279e29a3a6982b5efb9d3b653be732c3f80bb55c4e01ed7,True,True
pleia_energy_h1_f0_s42_attention_lstm,tuning_predictions,39624,39624,4178df5c4ffa90e85106ddac9d838ef1f916dcfbc7f2a6845a92e7541729cdd8,True,True
pleia_energy_h1_f0_s42_attention_lstm,fitting_membership,29719,29719,20085d6d10b6737f2a3091f22d4cb8d9d6899e131d576372ddac071af2967318,True,True
