model,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
xgboost,pleia_energy_h1_f0_s42_xgboost,tuning,0,0.0,9905,d3133000cefc296d7c22a3bb817723956f0c9349719badc4d62376ba469db75f,a7ca58ee7d027d5bc18ac9badfffb59e81a441bc1b102e1df1240d6f048af5f7,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.6861146999945049,386240512,493809664,341897216,516808704,107569152,493846528,4016316416,0.05,0.65625
xgboost,pleia_energy_h1_f0_s42_xgboost,tuning,0,1.0,19810,485bdd3a4eb5f80f7a0478e7977b0027c8bbdf27cfad51f0322e8f39c26e69c9,87523e8edbdf3c02083ee71ed0f5ab69117165b0c4859134ebce16f7c3355e20,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.9164168999996036,492474368,501223424,515252224,524054528,8749056,501223424,3997220864,0.05,0.90625
xgboost,pleia_energy_h1_f0_s42_xgboost,tuning,1,0.0,9905,d3133000cefc296d7c22a3bb817723956f0c9349719badc4d62376ba469db75f,a7ca58ee7d027d5bc18ac9badfffb59e81a441bc1b102e1df1240d6f048af5f7,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.7772658000030788,498171904,501121024,520978432,523943936,2949120,502116352,3989663744,0.05,0.78125
xgboost,pleia_energy_h1_f0_s42_xgboost,tuning,1,1.0,19810,485bdd3a4eb5f80f7a0478e7977b0027c8bbdf27cfad51f0322e8f39c26e69c9,87523e8edbdf3c02083ee71ed0f5ab69117165b0c4859134ebce16f7c3355e20,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,1.263496400002623,498180096,506253312,520982528,529104896,8073216,507355136,4059242496,0.05,1.234375
xgboost,pleia_energy_h1_f0_s42_xgboost,final_fit,0,,29719,a30f90264157fd8480579f14cf83036eaf1dcd5d834a52bab0cd40a29470e7cb,,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,1.1701461999982712,501817344,506347520,524603392,529170432,4530176,509202432,4140032000,0.05,1.15625
attention_lstm,pleia_energy_h1_f0_s42_attention_lstm,tuning,0,0.0,9905,d3133000cefc296d7c22a3bb817723956f0c9349719badc4d62376ba469db75f,a7ca58ee7d027d5bc18ac9badfffb59e81a441bc1b102e1df1240d6f048af5f7,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,38.39172369999869,496807936,614203392,519512064,652079104,117395456,614924288,3367985152,0.05,37.390625
attention_lstm,pleia_energy_h1_f0_s42_attention_lstm,tuning,0,1.0,19810,485bdd3a4eb5f80f7a0478e7977b0027c8bbdf27cfad51f0322e8f39c26e69c9,87523e8edbdf3c02083ee71ed0f5ab69117165b0c4859134ebce16f7c3355e20,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,61.830750400004035,612667392,620490752,650080256,658337792,7823360,621494272,2840711168,0.05,60.375
attention_lstm,pleia_energy_h1_f0_s42_attention_lstm,tuning,1,0.0,9905,d3133000cefc296d7c22a3bb817723956f0c9349719badc4d62376ba469db75f,a7ca58ee7d027d5bc18ac9badfffb59e81a441bc1b102e1df1240d6f048af5f7,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,171.12264719999803,603553792,618348544,641503232,658567168,14794752,621494272,2766987264,0.05,151.640625
attention_lstm,pleia_energy_h1_f0_s42_attention_lstm,tuning,1,1.0,19810,485bdd3a4eb5f80f7a0478e7977b0027c8bbdf27cfad51f0322e8f39c26e69c9,87523e8edbdf3c02083ee71ed0f5ab69117165b0c4859134ebce16f7c3355e20,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,82.18690130000323,607444992,622878720,647184384,660209664,15433728,624234496,3085328384,0.05,80.109375
attention_lstm,pleia_energy_h1_f0_s42_attention_lstm,final_fit,0,,29719,a30f90264157fd8480579f14cf83036eaf1dcd5d834a52bab0cd40a29470e7cb,,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,12.0,src.attention_lstm.AttentionLSTM,63.13867949999985,605523968,620683264,644251648,662552576,15159296,624234496,2740404224,0.05,61.203125
