model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.10531479999917792,436600832,436621312,1031237632,1031286784,20480,445509632,2934988800,0.05,0.09375
persistence,tuning,False,0.000756499997805804,385478656,385495040,341041152,341073920,16384,408043520,4053233664,0.05,0.0
persistence,final_fit,False,0.0006204000019351952,385495040,385495040,341073920,341073920,0,408043520,4053237760,0.05,0.0
persistence,calibration,False,0.0052474000040092506,385495040,385581056,341073920,341082112,86016,408043520,4053262336,0.05,0.015625
persistence,inference,False,0.004110900001251139,385581056,385581056,341082112,341082112,0,408043520,4053344256,0.05,0.0
persistence,artifact_serialization,False,0.0006888999996590428,385564672,385585152,341049344,341082112,20480,408043520,4058132480,0.05,0.015625
xgboost,artifact_reload_and_predict_verification,False,0.6408340999987558,458653696,558813184,1053409280,1221210112,100159488,558813184,2797568000,0.05,0.640625
xgboost,tuning,False,4.558729800002766,386211840,506253312,341848064,529104896,120041472,507355136,3994251264,0.05,4.4375
xgboost,final_fit,False,1.1863407000055304,501792768,506347520,524587008,529170432,4554752,509202432,4139925504,0.05,1.171875
xgboost,calibration,False,0.09049660000164295,501784576,501792768,524570624,524587008,8192,509202432,4163682304,0.05,0.09375
xgboost,inference,False,0.09121669999876758,501788672,501792768,524570624,524587008,4096,509202432,4168327168,0.05,0.078125
xgboost,artifact_serialization,False,0.005070299994258676,501780480,501796864,524537856,524570624,16384,509202432,4169543680,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,0.9274483999979566,566878208,585080832,1229021184,1267527680,18202624,585080832,2777423872,0.05,0.875
attention_lstm,tuning,False,356.4512029000034,496787456,622878720,519462912,660209664,126091264,624234496,2767069184,0.05,332.34375
attention_lstm,final_fit,False,63.156503000005614,604741632,620683264,642551808,662552576,15941632,624234496,2740404224,0.05,61.21875
attention_lstm,calibration,False,0.40559380000195233,587689984,588775424,617795584,618598400,1085440,624234496,2829434880,0.05,0.40625
attention_lstm,inference,False,0.5865965000048163,588775424,588775424,618582016,619454464,0,624234496,2829434880,0.05,0.5625
attention_lstm,artifact_serialization,False,0.008894300000974908,589369344,589529088,623255552,623288320,159744,624234496,2849488896,0.05,0.0
