dataset,horizon,physical_minutes,target_units,seeds,mae_difference_mean,mae_difference_min,mae_difference_max,lstm_lower_mae_seeds,winkler95_difference_mean,lstm_lower_winkler95_seeds,lstm_coverage95_mean,xgboost_coverage95_mean,mpiw95_difference_mean,cpu_ratio_mean,cpu_ratio_min,cpu_ratio_max
bdg2,1,60,kWh per hour,5,1.704659792465965,1.4365327045686485,2.244815595877757,0,7.896832292228891,0,0.9492090069284064,0.9488394919168591,4.992014306640703,86.681375829411,66.81324278438031,143.8626817447496
bdg2,3,180,kWh per hour,5,5.243069104365292,3.6695549640445826,6.966104487696871,0,76.52822876302884,0,0.9502078521939954,0.949284064665127,30.127449218750094,56.50564348881771,40.09225092250922,76.2373188405797
bdg2,6,360,kWh per hour,5,6.8341387443501365,5.804421342929096,8.081928522989095,0,64.96538659810403,0,0.9521304849884527,0.9494226327944573,34.341233349609446,34.209290578575796,27.913513513513514,43.098958333333336
pleia,1,10,degrees C,5,0.9821418400413396,0.7694822031276982,1.3786157717194105,0,8.36710063287057,0,0.2906631674573534,0.32899969718380945,1.786550903320311,55.636194981556784,52.788,57.30869565217391
pleia,3,30,degrees C,5,0.2964093967806239,0.1870381013456881,0.5287960802568996,0,-0.41131331578076524,3,0.27570404764308065,0.30511759362067226,0.6773152160644547,45.421879230165196,42.028688524590166,49.6875
pleia,6,60,degrees C,5,0.16867035035325612,-0.17422834719612368,0.49521819415313484,1,-5.636385786804093,4,0.2718280004037549,0.30675280104976277,0.5987457275390625,27.25400534221287,25.690376569037657,28.951965065502183
pleia_energy,1,10,kWh per 10 minutes,5,-0.00010180409546094449,-0.022438580082471682,0.014458667011985116,2,1.0192360537124585,0,0.604824871303119,0.7915009589179369,-0.2498252272605896,25.879351774602345,24.60593220338983,27.325581395348838
pleia_energy,3,30,kWh per 10 minutes,5,0.026855426918979595,0.008055993173908024,0.03779190453281735,0,0.4114915244611441,0,0.6498233572221661,0.7393560109013829,-0.037805786728858946,19.517097348934133,18.694690265486727,20.637554585152838
pleia_energy,6,60,kWh per 10 minutes,5,0.025668628103079745,0.01936783698695127,0.02902428210052385,0,0.03131732866912564,2,0.6627435146865852,0.7021298072070252,0.03632505536079407,17.089801749864833,15.919831223628693,19.897872340425533
rico,5,5,degrees C,5,2.411150206562785,1.9795653190911227,2.7602704127593025,0,68.60332538294007,0,0.1339852738150023,0.6790612057063967,1.3587022399902338,21.849571571370277,13.716049382716049,27.71225071225071
rico,15,15,degrees C,5,2.443873902592386,1.9581527650082808,2.8386175558665503,0,73.87123165367363,0,0.1281091523786525,0.8017145617000725,0.6169850158691375,20.34793446836498,13.093167701863354,30.063432835820894
rico,30,30,degrees C,5,2.3589069179078668,1.9505977222128674,2.900598182145847,0,76.77339050897982,0,0.10893439415677579,0.833494195904526,-0.35387817382812586,20.28101174343738,12.781569965870307,28.731448763250885
rico,60,60,degrees C,5,1.8003805486167348,1.2280265662320857,2.5429967031912972,0,66.36792158377209,0,0.16557402516700326,0.8564548702811869,-2.1374047851562494,14.176968423563698,11.809128630705395,17.09051724137931
