priority,dataset,horizon,outer_fold,model_seed,models,argv,output,command_exists,prerequisite,learned_fit_invocations,scenario_low_model_seconds,scenario_high_model_seconds,estimate_basis,fit_n,original_priority,updated_low_model_seconds,updated_high_model_seconds
6,pleia_energy,1,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,83.91538030533671,769.5885403928788,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",22289,7,45.94242338637986,959.6967178335415
7,pleia_energy,3,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f1_s42_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,83.90032079072316,769.4504294789047,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",22285,8,45.934178525975824,959.5244899690641
8,pleia_energy,6,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f1_s42_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,83.88149639745623,769.2777908364369,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",22280,9,45.92387245047078,959.3092051384675
9,pleia_energy,3,0,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f0_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f0_s42_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,111.87336918538652,1025.9914521860287,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",29715,10,61.249006726469446,1279.4377482356176
10,pleia_energy,6,0,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f0_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f0_s42_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,111.8545447921196,1025.818813543561,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",29710,11,61.238700650964404,1279.222463405021
14,pleia_energy,1,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s43_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,83.91538030533671,769.5885403928788,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",22289,15,45.94242338637986,959.6967178335415
15,pleia_energy,3,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f1_s43_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,83.90032079072316,769.4504294789047,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",22285,16,45.934178525975824,959.5244899690641
16,pleia_energy,6,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f1_s43_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,83.88149639745623,769.2777908364369,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",22280,17,45.92387245047078,959.3092051384675
17,pleia_energy,1,0,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f0_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f0_s43_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,111.88842870000008,1026.129563100003,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",29719,18,61.25725158687348,1279.609976100095
18,pleia_energy,3,0,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""0"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f0_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f0_s43_v1,True,separate authorization and fresh freeze/readiness; broader methods need their own adapter implementation,10,111.87336918538652,1025.9914521860287,"same-dataset observed model-phase seconds per fit row; min/max rates times 0.5/3; planning scenario, not a confidence interval or deadline",29715,19,61.249006726469446,1279.4377482356176
