dataset,horizon,outer_fold,model,physical_minutes,target_units,metric,nominal_level,source_runs,protocol_hashes,n_fit,n_calibration,n_test,model_seeds,n_seed_rows,n_measured,mean,sample_std,minimum,maximum,interpretation,deterministic_baseline_alias,independent_baseline_realizations
bdg2,1,2,attention_lstm,60,kWh per hour,mae,,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,19.453115239790215,0.33294306613053887,19.09463833441331,19.931864463380457,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,rmse,,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,36.646945918020634,0.7347036821032867,35.917441042667775,37.71495828709621,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,coverage90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,0.9003752886836027,0.0028965627131306796,0.8965069284064665,0.9035796766743649,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,signed_coverage_deviation90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,0.00037528868360272585,0.0028965627131306796,-0.0034930715935335144,0.0035796766743648734,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,absolute_coverage_deviation90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,0.002361431870669728,0.0012632010712396045,0.0006928406466512049,0.0035796766743648734,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,mpiw90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,97.53179389648426,1.876999538704387,95.48613525390624,100.19955859375,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,winkler90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,178.64404924040696,2.4919395376932165,176.2896792719958,182.4966493130092,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,coverage95,0.95,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,0.9492090069284064,0.0017790500314630662,0.946824480369515,0.9517321016166281,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,signed_coverage_deviation95,0.95,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,-0.000790993071593471,0.0017790500314630662,-0.003175519630484902,0.0017321016166281789,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,absolute_coverage_deviation95,0.95,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s45_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11|d17374d7dfe7206b1bc2d78ed29eb81be4f2ec7661fd25177f694623751f05b4|b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,51664,17370,34640,42|43|44|45|46,5,5,0.0014838337182447425,0.0010931163864542543,0.0003752886836027036,0.003175519630484902,training-seed variability on same evaluation support; not a population confidence interval,False,
