dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds,phase,historical_training_use
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P1S101,0.9,"within original group, sample weighted",157,0.5235668789808918,0.5524698452733015,1.0,3.600000000000002,3.600000000000002,0,0,1.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P3S0,0.9,"within original group, sample weighted",157,2.0426751592356687,2.375686290383996,0.554140127388535,3.600000000000002,15.931210191082801,0,0,3.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P3S1,0.9,"within original group, sample weighted",157,0.4261146496815286,0.43369248549464423,1.0,3.600000000000002,3.600000000000002,0,0,3.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P3S2,0.9,"within original group, sample weighted",157,0.6847133757961783,0.8061467679430143,0.9872611464968153,3.600000000000002,3.638216560509556,0,0,3.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P3S3,0.9,"within original group, sample weighted",157,0.3878980891719742,0.608066791503973,1.0,3.600000000000002,3.600000000000002,0,0,3.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P3S4,0.9,"within original group, sample weighted",157,0.7108280254777071,0.8665768367621758,0.9808917197452229,3.600000000000002,3.638216560509555,0,0,3.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P3S5,0.9,"within original group, sample weighted",157,0.3649681528662419,0.4847351368182855,1.0,3.600000000000002,3.600000000000002,0,0,3.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S0,0.9,"within original group, sample weighted",157,0.9203821656050956,1.0884746529266056,0.89171974522293,3.600000000000002,4.3898089171974535,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S1,0.9,"within original group, sample weighted",157,1.1617834394904458,1.2402485881909135,0.9044585987261147,3.600000000000002,3.9312101910828043,0,0,4.0,True
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,True,persistence,P4S2,0.9,"within original group, sample weighted",157,0.6407643312101912,0.7109695542049389,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
