dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,nominal_level,frozen_radius,finite_sample_rank,calibration_exceedance,test_absolute_error_exceedance,test_exceedance,test_coverage,floating_boundary_ties,signed_coverage_deviation,absolute_coverage_deviation,calibration_abs_n,calibration_abs_minimum,calibration_abs_maximum,calibration_abs_mean,calibration_abs_std,calibration_abs_median,calibration_abs_q90,calibration_abs_q95,calibration_abs_q99,test_abs_n,test_abs_minimum,test_abs_maximum,test_abs_mean,test_abs_std,test_abs_median,test_abs_q90,test_abs_q95,test_abs_q99,test_quantiles_use
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,0.9,0.1999999999999993,4008,0.0853548966756514,0.07202024850437183,0.07179015186378279,0.9282098481362172,2,0.028209848136217186,0.028209848136217186,4452,0.0,1.1000000000000014,0.08751123090745731,0.12507466273196388,0.09999999999999787,0.1999999999999993,0.3000000000000007,0.6999999999999993,8692,0.0,0.7000000000000028,0.07447077772664519,0.09978408903465359,0.09999999999999787,0.1999999999999993,0.29999999999999716,0.5,retrospective diagnostic only; never used to choose a radius or decision
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,0.95,0.3000000000000007,4231,0.04065588499550764,0.02761159687068569,0.02761159687068569,0.9723884031293143,0,0.022388403129314338,0.022388403129314338,4452,0.0,1.1000000000000014,0.08751123090745731,0.12507466273196388,0.09999999999999787,0.1999999999999993,0.3000000000000007,0.6999999999999993,8692,0.0,0.7000000000000028,0.07447077772664519,0.09978408903465359,0.09999999999999787,0.1999999999999993,0.29999999999999716,0.5,retrospective diagnostic only; never used to choose a radius or decision
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,0.9,0.1712005615234382,4008,0.09973045822102426,0.43200644270593647,0.43200644270593647,0.5679935572940635,0,-0.3320064427059365,0.3320064427059365,4452,2.2888183579539145e-06,0.7558292388916001,0.0741006503315092,0.08757361487002686,0.04506492614745916,0.17119293212890696,0.28008804321289205,0.41374130249023366,8692,7.629394538355427e-07,2.620930480957032,0.24349519415380105,0.3317085944127916,0.14358444213867294,0.5268291473388658,0.7287136077880856,1.9974395751953118,retrospective diagnostic only; never used to choose a radius or decision
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,0.95,0.28125152587890767,4231,0.049640610961365676,0.26530142659917166,0.26530142659917166,0.7346985734008283,0,-0.21530142659917162,0.21530142659917162,4452,2.2888183579539145e-06,0.7558292388916001,0.0741006503315092,0.08757361487002686,0.04506492614745916,0.17119293212890696,0.28008804321289205,0.41374130249023366,8692,7.629394538355427e-07,2.620930480957032,0.24349519415380105,0.3317085944127916,0.14358444213867294,0.5268291473388658,0.7287136077880856,1.9974395751953118,retrospective diagnostic only; never used to choose a radius or decision
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,0.9,0.680936431884767,4008,0.09973045822102426,0.8331799355729407,0.8331799355729407,0.16682006442705938,0,-0.7331799355729407,0.7331799355729407,4452,3.356933593678946e-05,1.1727645874023445,0.31671605765658895,0.240500585260847,0.25891590118408203,0.6808128356933594,0.7529136657714872,0.9347084045410163,8692,0.000687789916991477,7.464942169189452,2.2230605132449237,1.5363565856179158,1.9150590896606445,4.723123931884764,4.971760559082032,5.714406585693359,retrospective diagnostic only; never used to choose a radius or decision
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,0.95,0.7530731201171861,4231,0.049640610961365676,0.8118959963184538,0.8118959963184538,0.18810400368154626,0,-0.7618959963184537,0.7618959963184537,4452,3.356933593678946e-05,1.1727645874023445,0.31671605765658895,0.240500585260847,0.25891590118408203,0.6808128356933594,0.7529136657714872,0.9347084045410163,8692,0.000687789916991477,7.464942169189452,2.2230605132449237,1.5363565856179158,1.9150590896606445,4.723123931884764,4.971760559082032,5.714406585693359,retrospective diagnostic only; never used to choose a radius or decision
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,persistence,0.9,57.90300000000036,15634,0.09994242947610824,0.10508083140877598,0.10508083140877598,0.894919168591224,0,-0.005080831408776021,0.005080831408776021,17370,0.0,536.0,20.350356102475534,31.987330096093714,7.0,57.90300000000036,82.61200000000002,146.27500000000003,34640,0.0,724.0,20.987969087759815,36.000157964459234,6.187749999999994,59.359999999999985,85.35600000000002,163.42399999999998,retrospective diagnostic only; never used to choose a radius or decision
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,persistence,0.95,82.69999999999999,16503,0.04991364421416235,0.05323325635103926,0.05323325635103926,0.9467667436489607,0,-0.0032332563510392154,0.0032332563510392154,17370,0.0,536.0,20.350356102475534,31.987330096093714,7.0,57.90300000000036,82.61200000000002,146.27500000000003,34640,0.0,724.0,20.987969087759815,36.000157964459234,6.187749999999994,59.359999999999985,85.35600000000002,163.42399999999998,retrospective diagnostic only; never used to choose a radius or decision
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,xgboost,0.9,46.79399255371095,15634,0.09994242947610824,0.09624711316397229,0.09624711316397229,0.9037528868360277,0,0.0037528868360277023,0.0037528868360277023,17370,0.00019409179687457367,521.2507333755493,17.599521214609,27.271115589167845,7.679096467590338,46.79399255371095,67.79461962890628,128.58514404296875,34640,0.00022220611572265625,692.7745761871338,17.75433961896247,30.114272686201492,7.410681756210327,45.57985327148435,69.28335229492188,140.10595703125,retrospective diagnostic only; never used to choose a radius or decision
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,xgboost,0.95,67.92203674316406,16503,0.04991364421416235,0.05216512702078522,0.05216512702078522,0.9478348729792148,0,-0.002165127020785196,0.002165127020785196,17370,0.00019409179687457367,521.2507333755493,17.599521214609,27.271115589167845,7.679096467590338,46.79399255371095,67.79461962890628,128.58514404296875,34640,0.00022220611572265625,692.7745761871338,17.75433961896247,30.114272686201492,7.410681756210327,45.57985327148435,69.28335229492188,140.10595703125,retrospective diagnostic only; never used to choose a radius or decision
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,attention_lstm,0.9,49.30093554687471,15634,0.09994242947610824,0.09743071593533487,0.09743071593533487,0.9025692840646651,0,0.002569284064665056,0.002569284064665056,17370,0.0012756347656246447,532.6347045898438,19.380736374818124,27.271100063695492,9.47171853027345,49.30093554687471,70.51854394531279,133.4188378906249,34640,0.0004062500000259206,706.6919097900391,19.208323272641653,30.488675446678037,8.774520874023438,48.45902636718745,70.87207446289062,144.97421264648438,retrospective diagnostic only; never used to choose a radius or decision
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,attention_lstm,0.95,70.5193984375,16503,0.04991364421416235,0.05037528868360277,0.05037528868360277,0.9496247113163973,0,-0.0003752886836027036,0.0003752886836027036,17370,0.0012756347656246447,532.6347045898438,19.380736374818124,27.271100063695492,9.47171853027345,49.30093554687471,70.51854394531279,133.4188378906249,34640,0.0004062500000259206,706.6919097900391,19.208323272641653,30.488675446678037,8.774520874023438,48.45902636718745,70.87207446289062,144.97421264648438,retrospective diagnostic only; never used to choose a radius or decision
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,persistence,0.9,0.0390625,4459,0.09125782354128811,0.4396891087110124,0.4396891087110124,0.5603108912889876,0,-0.33968910871101243,0.33968910871101243,4953,0.0,0.4453125,0.021470573389864727,0.03485470331610063,0.015625,0.0390625,0.0625,0.21875,9907,0.0,2.546875,0.12760863530836783,0.2054799729385427,0.03125,0.4296875,0.59375,0.890625,retrospective diagnostic only; never used to choose a radius or decision
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,persistence,0.95,0.0625,4707,0.04219664849586109,0.3571212274149591,0.3571212274149591,0.6428787725850409,0,-0.30712122741495906,0.30712122741495906,4953,0.0,0.4453125,0.021470573389864727,0.03485470331610063,0.015625,0.0390625,0.0625,0.21875,9907,0.0,2.546875,0.12760863530836783,0.2054799729385427,0.03125,0.4296875,0.59375,0.890625,retrospective diagnostic only; never used to choose a radius or decision
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,xgboost,0.9,0.1061200499534607,4459,0.09973753280839895,0.33117997375593017,0.33117997375593017,0.6688200262440699,0,-0.23117997375593013,0.23117997375593013,4953,5.960464477539062e-07,0.540462851524353,0.04292053960349472,0.07059109367697741,0.017484009265899658,0.1059996485710144,0.204860657453537,0.3645453006029129,9907,1.5109777450561523e-05,2.4063560962677,0.12377272844555232,0.17508504930855698,0.04997572302818298,0.3419603705406189,0.4731379747390747,0.8162712156772614,retrospective diagnostic only; never used to choose a radius or decision
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,xgboost,0.95,0.2052161991596222,4707,0.04966686856450636,0.197133340062582,0.197133340062582,0.802866659937418,0,-0.14713334006258194,0.14713334006258194,4953,5.960464477539062e-07,0.540462851524353,0.04292053960349472,0.07059109367697741,0.017484009265899658,0.1059996485710144,0.204860657453537,0.3645453006029129,9907,1.5109777450561523e-05,2.4063560962677,0.12377272844555232,0.17508504930855698,0.04997572302818298,0.3419603705406189,0.4731379747390747,0.8162712156772614,retrospective diagnostic only; never used to choose a radius or decision
