dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,candidate_id,selected_candidate,prediction_source,group_id,aggregation,n,bias,mae,rmse,truth_mean,truth_min,truth_max,prediction_min,prediction_max,phase
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S75,within original group,212,0.08443396226415097,0.08443396226415097,0.11875930946627158,25.887735849056604,24.9,28.3,24.9,28.6,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S76,within original group,212,0.03773584905660381,0.03773584905660381,0.06142951168339517,23.54056603773585,23.0,24.6,23.0,24.6,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S77,within original group,212,-0.10896226415094341,0.11367924528301879,0.23158600016343409,29.39150943396227,25.6,29.9,24.9,29.9,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S78,within original group,212,0.04575471698113206,0.06462264150943405,0.10924267602064203,27.03820754716981,26.6,28.4,26.7,28.7,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S79,within original group,212,0.03537735849056604,0.03537735849056604,0.05947886892886081,25.512264150943402,24.8,26.3,24.8,26.3,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S80,within original group,212,-0.059433962264150916,0.059433962264150916,0.09265476598846577,27.233018867924528,25.5,27.9,25.3,27.9,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S81,within original group,212,0.07735849056603776,0.07735849056603776,0.09007334537569824,25.767924528301887,24.4,27.6,24.4,27.7,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S82,within original group,212,0.0023584905660376855,0.011792452830188595,0.03434014098717201,23.82358490566038,23.7,23.9,23.7,23.9,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S83,within original group,212,-0.14103773584905663,0.14103773584905663,0.1528039809814312,27.894339622641507,24.8,30.6,24.5,30.6,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S85,within original group,212,0.0589622641509434,0.0589622641509434,0.07678688960424389,27.569339622641515,26.4,28.9,26.5,29.0,1.0
