dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,candidate_id,selected_candidate,prediction_source,aggregation,n,bias,mae,rmse,truth_mean,truth_min,truth_max,prediction_min,prediction_max
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,sample weighted,4452,0.00799640610961366,0.08751123090745731,0.1526495554937938,26.69912398921833,18.9,35.6,18.9,35.5
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,sample weighted,8692,-0.014231477220432581,0.07447077772664519,0.12451008457023498,20.407857800276112,13.7,31.0,13.7,30.9
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,fit,0,0,new inference from unchanged saved final model,sample weighted,12932,0.004167955459325705,0.11292143519950512,0.20120077210574525,28.323646767708013,16.0,40.2,16.0,40.2
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,inner0_validation,-1,0,deterministic persistence on identical existing inner rows,sample weighted,4240,-0.008183962264150942,0.1005424528301887,0.18749213819995883,29.01132075471698,21.7,39.6,21.7,39.5
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,inner1_validation,-1,0,deterministic persistence on identical existing inner rows,sample weighted,4452,0.00500898472596586,0.13852201257861635,0.2429463131047947,26.22524707996406,16.0,39.6,16.0,39.6
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,calibration,-1,1,saved prediction stream,sample weighted,4452,0.011559128225760126,0.0741006503315092,0.11471723672123725,26.69912398921833,18.9,35.6,18.701692581176758,35.43955612182617
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,test,-1,1,saved prediction stream,sample weighted,8692,0.08041658375156786,0.24349519415380105,0.41148572415493,20.407857800276112,13.7,31.0,16.085878372192383,30.948633193969727
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,fit,1,1,new inference from unchanged saved final model,sample weighted,12932,1.8005359294804095e-06,0.026368562849984633,0.03442093308834457,28.323646767708013,16.0,40.2,16.043365478515625,40.19087219238281
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,inner0_validation,0,1,saved prediction stream,sample weighted,4240,0.13059245100561187,0.16488105207119355,0.33077304180546896,29.01132075471698,21.7,39.6,23.588909149169922,39.62004089355469
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,inner1_validation,0,1,saved prediction stream,sample weighted,4452,0.5515059244921907,0.624049494915574,1.331790767291406,26.22524707996406,16.0,39.6,21.740100860595703,39.65985107421875
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,inner0_validation,1,1,saved prediction stream,sample weighted,4240,0.08320862212271068,0.15950760103621575,0.3328669571909419,29.01132075471698,21.7,39.6,23.591846466064453,39.67221450805664
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,inner1_validation,1,1,saved prediction stream,sample weighted,4452,0.5150792843355109,0.5825871325353191,1.2991093128237658,26.22524707996406,16.0,39.6,21.699010848999023,39.638973236083984
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,calibration,-1,1,saved prediction stream,sample weighted,4452,0.11294655958383021,0.31671605765658895,0.39768026439382387,26.69912398921833,18.9,35.6,19.092391967773438,35.648406982421875
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,test,-1,1,saved prediction stream,sample weighted,8692,1.8951655246560826,2.2230605132449237,2.702293397046354,20.407857800276112,13.7,31.0,17.99043083190918,29.017024993896484
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,fit,1,1,new inference from unchanged saved final model,sample weighted,12932,-0.013459502850528668,0.08453568093665349,0.11171016840747575,28.323646767708013,16.0,40.2,16.349485397338867,40.016632080078125
