dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,selected_candidate,final_epochs,candidate_id,inner_fold,mae,best_epoch,seconds,n_train,n_validation,estimator_class
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,1,,0,0,0.16488105207119355,,0.7626299999974435,4240,4240,xgboost.sklearn.XGBRegressor
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,1,,0,1,0.624049494915574,,0.6932788999984041,8480,4452,xgboost.sklearn.XGBRegressor
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,1,,1,0,0.15950760103621575,,0.8554053000043496,4240,4240,xgboost.sklearn.XGBRegressor
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,1,,1,1,0.5825871325353191,,1.1579140999965603,8480,4452,xgboost.sklearn.XGBRegressor
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,1,18.0,0,0,2.0817898998620374,2,9.499362800001109,4240,4240,src.attention_lstm.AttentionLSTM
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,1,18.0,0,1,1.0248417101994571,12,32.5769866000046,8480,4452,src.attention_lstm.AttentionLSTM
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,1,18.0,1,0,2.0004561722953365,11,16.92151460000605,4240,4240,src.attention_lstm.AttentionLSTM
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,1,18.0,1,1,0.9764398903002743,24,54.837592799995036,8480,4452,src.attention_lstm.AttentionLSTM
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,xgboost,1,,0,0,0.3624334422196492,,0.6178289000017685,4040,4040,xgboost.sklearn.XGBRegressor
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,xgboost,1,,0,1,0.9028391609209879,,0.651682299998356,8080,4242,xgboost.sklearn.XGBRegressor
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,xgboost,1,,1,0,0.37743279806458135,,0.7917482999982894,4040,4040,xgboost.sklearn.XGBRegressor
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,xgboost,1,,1,1,0.87250182148647,,1.046717900004296,8080,4242,xgboost.sklearn.XGBRegressor
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,attention_lstm,1,16.0,0,0,2.0198828474365835,2,7.651356200003647,4040,4040,src.attention_lstm.AttentionLSTM
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,attention_lstm,1,16.0,0,1,1.1630511644031574,21,38.39017180000519,8080,4242,src.attention_lstm.AttentionLSTM
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,attention_lstm,1,16.0,1,0,1.9885598313926467,4,7.072338599995419,4040,4040,src.attention_lstm.AttentionLSTM
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,attention_lstm,1,16.0,1,1,1.1082710361435748,27,41.7877307000017,8080,4242,src.attention_lstm.AttentionLSTM
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,xgboost,1,,0,0,0.6260564763278247,,0.585708099999465,3740,3740,xgboost.sklearn.XGBRegressor
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,xgboost,1,,0,1,1.460439177848985,,0.5865090000006603,7480,3927,xgboost.sklearn.XGBRegressor
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,xgboost,1,,1,0,0.6112138707370044,,0.749861600001168,3740,3740,xgboost.sklearn.XGBRegressor
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,xgboost,1,,1,1,1.3290686776142009,,0.9709031999955187,7480,3927,xgboost.sklearn.XGBRegressor
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,attention_lstm,0,18.0,0,0,1.7309137272962272,29,23.991070600000967,3740,3740,src.attention_lstm.AttentionLSTM
