dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,role,membership_hash,row_id_hash,origin_min,origin_max,target_min,target_max,groups,n,minimum,maximum,mean,std,median,q90,q95,q99,reference_role,below_reference_min,above_reference_max
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,fit,3658387a50ac69383d169c4cd64e0f10af6cb1173d670d23cd36cc41340234e7,c755dd01ece762dbd51ba428c055e8553cdf95dcc026a35d8a864ea2dda9baaa,2023-07-26 15:24:00,2023-08-07 22:55:00,2023-07-26 15:29:00,2023-08-07 23:00:00,61,12932,16.0,40.2,28.323646767708013,5.065784139368516,27.4,37.0,38.6,39.5,fit,0.0,0.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,calibration,5d80e479d7f2d8194826bd75f476bb30f29d341ebeb04f975816feb43ded72c5,95fbd3e9e78192059585691a00d55cc264e607ec334a8f3a3988fe57e1814fdc,2023-08-07 23:24:00,2023-08-12 02:55:00,2023-08-07 23:29:00,2023-08-12 03:00:00,21,4452,18.9,35.6,26.69912398921833,3.472027437191231,26.5,31.9,33.7,35.2,fit,0.0,0.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,test,0083f660ce00ba82b7680ac8a176432167c878e986a4911db7dc1df20306108f,7d1aee54ebd66b5f6541f1af4efedc077913db45c4fb7ea01f732b52411d52d0,2023-08-12 07:24:00,2024-02-04 10:55:00,2023-08-12 07:29:00,2024-02-04 11:00:00,41,8692,13.7,31.0,20.407857800276112,3.8098519156245043,19.3,24.9,28.5,30.4,fit,0.10768522779567419,0.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,inner0_train,c1a4e771c1a038bd72f692838b5d8582f89cb22ed86367cf0f4b67f5ee82d04c,d0fae55550952c749ca4cb3c93ec3f59e8b3a9f62c2bdde723c9cc80c6bf88de,2023-07-26 15:24:00,2023-07-30 22:55:00,2023-07-26 15:29:00,2023-07-30 23:00:00,20,4240,23.5,40.2,29.83929245283019,4.878514066739688,28.2,38.3,38.8,39.8,inner0_train,0.0,0.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,inner0_validation,e3a07ebc686275bff2d1dc7d8558595990613af830655e24b8a205e8d43a0609,28e29d294b80eeb6a5f8994b0744951494a3e4717e07f370f158f948a33d0e48,2023-07-30 23:24:00,2023-08-03 22:55:00,2023-07-30 23:29:00,2023-08-03 23:00:00,20,4240,21.7,39.6,29.01132075471698,4.673453144447135,28.2,37.4,39.3,39.5,inner0_train,0.0544811320754717,0.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,inner1_train,6e488b9c421d5b5bde8e49d51a5acc9fd405fbdec90e71ed8be66f739b614b6e,2208aa8747a405f6e07db0aca45f47b897d2142c3d45af5770fdc650c204e411,2023-07-26 15:24:00,2023-08-03 22:55:00,2023-07-26 15:29:00,2023-08-03 23:00:00,40,8480,21.7,40.2,29.42530660377359,4.794988652705972,28.2,38.0,38.8,39.5,inner1_train,0.0,0.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,inner1_validation,4ed20a262cd2134ba3c9e63f62e81a4e9e1ba38dc0ab4bbcbffcb4b038b50f0f,f610fdc1f2fd8e841130d8948f2add6ece5b3ea6a1cb4ee8babd9615dfaf6e16,2023-08-03 23:24:00,2023-08-07 22:55:00,2023-08-03 23:29:00,2023-08-07 23:00:00,21,4452,16.0,39.6,26.22524707996406,4.902383174335529,26.0,33.1,35.4,39.2,inner1_train,0.21293800539083557,0.0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,fit,43b916ba9404ba05674434bee730459042f5429db85147bf7480e4994566518e,78091d5eff830e5cec75e981f2374fa92a1411659cefc3dbe1f2a66d39d9d20a,2023-07-26 15:24:00,2023-08-07 22:45:00,2023-07-26 15:39:00,2023-08-07 23:00:00,61,12322,16.0,40.2,28.318552183087164,5.102219354816462,27.4,37.2,38.6,39.5,fit,0.0,0.0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,calibration,33982386d1966661ed68b05d6d47cf1b0655579aae4145632efa839b722621cd,b24b1ffac74ec3618d19e253737eb069d0f486f2215540f259dccc4a7533bdc7,2023-08-07 23:24:00,2023-08-12 02:45:00,2023-08-07 23:39:00,2023-08-12 03:00:00,21,4242,18.9,35.6,26.690334747760488,3.504575164362067,26.5,31.9,33.8,35.2,fit,0.0,0.0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,test,94377b43ba0ad98a55be4a3e803052ff54825de93fe43932bd54dd5a5999210f,70ee9d673d19e218dbcf71db42bc92f130090496931b95a3f5272b32330ac9ff,2023-08-12 07:24:00,2024-02-04 10:45:00,2023-08-12 07:39:00,2024-02-04 11:00:00,41,8282,13.7,31.0,20.42777106978991,3.8311795584674155,19.3,25.0,28.7,30.4,fit,0.10697899058198503,0.0
