model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.11683780000021216,494428160,495030272,451100672,451354624,602112,1034117120,5322473472,0.05,0.125
persistence,tuning,False,0.0007016000017756596,452943872,452960256,407318528,407351296,16384,1031667712,4436987904,0.05,0.0
persistence,final_fit,False,0.0005004999984521419,452960256,452976640,407351296,407367680,16384,1031667712,4436992000,0.05,0.0
persistence,calibration,False,0.007029500004136935,452976640,453287936,407367680,407625728,311296,1031667712,4436987904,0.05,0.015625
persistence,inference,False,0.012976799989701249,453287936,453292032,407625728,407629824,4096,1031667712,4436987904,0.05,0.0
persistence,artifact_serialization,False,0.0006723999977111816,457015296,457031680,412569600,412602368,16384,1031667712,4434538496,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,1.1490211000054842,535875584,630571008,495005696,654266368,94695424,1034117120,5184753664,0.05,1.125
xgboost,tuning,False,6.355394099999103,456499200,570925056,413593600,593084416,114425856,1031667712,4258422784,0.05,6.046875
xgboost,final_fit,False,2.035436500009382,563879936,584429568,585981952,606064640,20549632,1031667712,4275453952,0.05,1.9375
xgboost,calibration,False,0.17482260000542738,562073600,562073600,586039296,586039296,0,1031667712,4302823424,0.05,0.1875
xgboost,inference,False,0.29817609999736305,561238016,561250304,583921664,583938048,12288,1031667712,4310532096,0.05,0.296875
xgboost,artifact_serialization,False,0.004665799991926178,571584512,573009920,593358848,594948096,1425408,1031667712,4302237696,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,2.189430900005391,632807424,648880128,654082048,690794496,16072704,1034117120,5167542272,0.05,2.1875
attention_lstm,tuning,False,379.2760275000037,563466240,683130880,586952704,722505728,119664640,1031667712,4039729152,0.05,369.0
attention_lstm,final_fit,False,164.28734670000267,668860416,684412928,714289152,723165184,15552512,1031667712,5024976896,0.05,160.109375
attention_lstm,calibration,False,0.7026669999904698,674689024,674689024,711868416,716390400,0,1031667712,5188435968,0.05,0.703125
attention_lstm,inference,False,1.4243972999975085,673587200,674357248,716390400,719392768,770048,1031667712,5179781120,0.05,1.390625
attention_lstm,artifact_serialization,False,0.0052900000009685755,687181824,687415296,733163520,733196288,233472,1031667712,5178335232,0.05,0.015625
