model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.0882535000127973,397279232,397303808,352120832,352169984,24576,410890240,4435718144,0.05,0.09375
persistence,tuning,False,0.0006683000101475045,381566976,381583360,336662528,336695296,16384,408018944,4278722560,0.05,0.0
persistence,final_fit,False,0.0003922000032616779,381583360,381583360,336695296,336695296,0,408018944,4278726656,0.05,0.0
persistence,calibration,False,0.002562900001066737,381583360,381644800,336695296,336695296,61440,408018944,4278685696,0.05,0.03125
persistence,inference,False,0.0044329000083962455,381644800,381644800,336695296,336695296,0,408018944,4278685696,0.05,0.0
persistence,artifact_serialization,False,0.0006104999920353293,381628416,381644800,336662528,336695296,16384,408018944,4278689792,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,0.5063210999942385,409481216,515538944,364736512,540008448,106057728,515538944,4320231424,0.05,0.5
xgboost,tuning,False,2.777250400002231,382529536,499298304,338538496,521977856,116768768,500314112,4192538624,0.05,2.71875
xgboost,final_fit,False,0.7059333999932278,496328704,499769344,519000064,522473472,3440640,500314112,4105572352,0.05,0.671875
xgboost,calibration,False,0.07128479999664705,497446912,497471488,520138752,520159232,24576,500314112,4107096064,0.05,0.0625
xgboost,inference,False,0.10245550000399817,497471488,497475584,520142848,520159232,4096,500314112,4120322048,0.05,0.109375
xgboost,artifact_serialization,False,0.004457700008060783,497475584,497500160,520110080,520142848,24576,500314112,4133838848,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,0.7036423999961698,518758400,537088000,543035392,584826880,18329600,537088000,4255989760,0.05,0.6875
attention_lstm,tuning,False,57.05709859999479,498114560,625377280,522944512,665788416,127262720,626917376,4080295936,0.05,55.953125
attention_lstm,final_fit,False,10.890947799998685,622174208,622784512,661020672,662093824,610304,626917376,4175286272,0.05,10.5
attention_lstm,calibration,False,0.20740630000364035,610549760,611524608,650997760,651931648,974848,626917376,4183240704,0.05,0.1875
attention_lstm,inference,False,0.38474690000293776,607346688,609456128,651259904,653139968,2109440,626917376,4183687168,0.05,0.375
attention_lstm,artifact_serialization,False,0.004386500004329719,612749312,612904960,656433152,656465920,155648,626917376,4183552000,0.05,0.0
