model,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
xgboost,pleia_energy_h3_f2_s46_xgboost,tuning,0,0.0,4948,7f6c44aaa5daad2694fa017cefa1278679d7bef992944c84a7733d2dc225cf3a,9b0e93b4c44af31d884df28503f714ae44f186ebfdf2b6729a147b695171cd28,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",46,,xgboost.sklearn.XGBRegressor,0.4450953999912599,386867200,491495424,341434368,513220608,104628224,491495424,4958531584,0.05,0.4375
xgboost,pleia_energy_h3_f2_s46_xgboost,tuning,0,1.0,9897,f225687ee3a7271535187df9619592f2eb4d939d1176664139384492ba1d0c0f,c3ed8ab04358a77f71f21f14022f82a23f888754c748e204fb78f6fbb286cd5b,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",46,,xgboost.sklearn.XGBRegressor,0.5078177000104915,491626496,495714304,513187840,517193728,4087808,495714304,4950941696,0.05,0.53125
xgboost,pleia_energy_h3_f2_s46_xgboost,tuning,1,0.0,4948,7f6c44aaa5daad2694fa017cefa1278679d7bef992944c84a7733d2dc225cf3a,9b0e93b4c44af31d884df28503f714ae44f186ebfdf2b6729a147b695171cd28,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",46,,xgboost.sklearn.XGBRegressor,0.6092420000059064,494170112,495673344,515637248,517586944,1503232,497545216,4959748096,0.05,0.578125
xgboost,pleia_energy_h3_f2_s46_xgboost,tuning,1,1.0,9897,f225687ee3a7271535187df9619592f2eb4d939d1176664139384492ba1d0c0f,c3ed8ab04358a77f71f21f14022f82a23f888754c748e204fb78f6fbb286cd5b,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",46,,xgboost.sklearn.XGBRegressor,0.7809918999992078,495849472,499040256,517554176,520527872,3190784,500015104,4965232640,0.05,0.78125
xgboost,pleia_energy_h3_f2_s46_xgboost,final_fit,0,,14855,4defd32b78e1f7feb3f91d8f0b36f81df6eba009e06a64511d97f77044d5b0ee,,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",46,,xgboost.sklearn.XGBRegressor,0.7128283000056399,496119808,499916800,517558272,521379840,3796992,500015104,5015302144,0.05,0.71875
attention_lstm,pleia_energy_h3_f2_s46_attention_lstm,tuning,0,0.0,4948,7f6c44aaa5daad2694fa017cefa1278679d7bef992944c84a7733d2dc225cf3a,9b0e93b4c44af31d884df28503f714ae44f186ebfdf2b6729a147b695171cd28,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",46,,src.attention_lstm.AttentionLSTM,10.103315399988787,498540544,614162432,524283904,651603968,115621888,614162432,4746956800,0.05,9.65625
attention_lstm,pleia_energy_h3_f2_s46_attention_lstm,tuning,0,1.0,9897,f225687ee3a7271535187df9619592f2eb4d939d1176664139384492ba1d0c0f,c3ed8ab04358a77f71f21f14022f82a23f888754c748e204fb78f6fbb286cd5b,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",46,,src.attention_lstm.AttentionLSTM,12.966420199998538,612212736,626860032,650010624,665042944,14647296,627019776,4821909504,0.05,12.78125
attention_lstm,pleia_energy_h3_f2_s46_attention_lstm,tuning,1,0.0,4948,7f6c44aaa5daad2694fa017cefa1278679d7bef992944c84a7733d2dc225cf3a,9b0e93b4c44af31d884df28503f714ae44f186ebfdf2b6729a147b695171cd28,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",46,,src.attention_lstm.AttentionLSTM,12.073838399999659,621559808,621559808,659869696,659869696,0,627019776,4487516160,0.05,11.765625
attention_lstm,pleia_energy_h3_f2_s46_attention_lstm,tuning,1,1.0,9897,f225687ee3a7271535187df9619592f2eb4d939d1176664139384492ba1d0c0f,c3ed8ab04358a77f71f21f14022f82a23f888754c748e204fb78f6fbb286cd5b,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",46,,src.attention_lstm.AttentionLSTM,28.084913799990318,581685248,627384320,615899136,665587712,45699072,627384320,4411961344,0.05,27.296875
attention_lstm,pleia_energy_h3_f2_s46_attention_lstm,final_fit,0,,14855,4defd32b78e1f7feb3f91d8f0b36f81df6eba009e06a64511d97f77044d5b0ee,,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",46,4.0,src.attention_lstm.AttentionLSTM,8.733139599993592,609570816,619663360,651923456,658276352,10092544,627384320,4630081536,0.05,8.703125
