model,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
xgboost,pleia_h1_f2_s43_xgboost,tuning,0,0.0,4951,752abc6e8ec94b18e8b59cd84507ddebfd0ff7fa981f4954aa0ab72e638ed4dc,cc64be43b32af82d53d765f13c3bf23f3f9bcb58d1e05fb4e8cce9177ff7a3cf,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",43,,xgboost.sklearn.XGBRegressor,0.41507950000232086,390709248,495927296,347746304,518361088,105218048,1244573696,4437954560,0.05,0.40625
xgboost,pleia_h1_f2_s43_xgboost,tuning,0,1.0,9903,f85bab086984391791004a8e72180b1b3eaa86a9e674bd05023cd4009ab28915,f1a6dae2f649d8aaf14ffa4ddde2216ae56b88db292af4ed1b6e12a5337d0298,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",43,,xgboost.sklearn.XGBRegressor,0.49748429999453947,497053696,499412992,519364608,522354688,2359296,1244573696,4430958592,0.05,0.484375
xgboost,pleia_h1_f2_s43_xgboost,tuning,1,0.0,4951,752abc6e8ec94b18e8b59cd84507ddebfd0ff7fa981f4954aa0ab72e638ed4dc,cc64be43b32af82d53d765f13c3bf23f3f9bcb58d1e05fb4e8cce9177ff7a3cf,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",43,,xgboost.sklearn.XGBRegressor,0.5282327999884728,497471488,500707328,520400896,522743808,3235840,1244573696,4423426048,0.05,0.515625
xgboost,pleia_h1_f2_s43_xgboost,tuning,1,1.0,9903,f85bab086984391791004a8e72180b1b3eaa86a9e674bd05023cd4009ab28915,f1a6dae2f649d8aaf14ffa4ddde2216ae56b88db292af4ed1b6e12a5337d0298,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",43,,xgboost.sklearn.XGBRegressor,0.7789543000108097,500748288,504029184,522711040,526012416,3280896,1244573696,4413087744,0.05,0.78125
xgboost,pleia_h1_f2_s43_xgboost,final_fit,0,,14858,384cdf1be124724dc9e2a8f9bcf5de31eb730e9c94224991093edf1b01f4a2ee,,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",43,,xgboost.sklearn.XGBRegressor,0.6648584000067785,501731328,505540608,523722752,527552512,3809280,1244573696,4415963136,0.05,0.65625
attention_lstm,pleia_h1_f2_s43_attention_lstm,tuning,0,0.0,4951,752abc6e8ec94b18e8b59cd84507ddebfd0ff7fa981f4954aa0ab72e638ed4dc,cc64be43b32af82d53d765f13c3bf23f3f9bcb58d1e05fb4e8cce9177ff7a3cf,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",43,,src.attention_lstm.AttentionLSTM,27.791690699988976,502435840,622137344,524656640,659521536,119701504,1244573696,4340043776,0.05,27.28125
attention_lstm,pleia_h1_f2_s43_attention_lstm,tuning,0,1.0,9903,f85bab086984391791004a8e72180b1b3eaa86a9e674bd05023cd4009ab28915,f1a6dae2f649d8aaf14ffa4ddde2216ae56b88db292af4ed1b6e12a5337d0298,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",43,,src.attention_lstm.AttentionLSTM,47.46180150000146,594206720,628285440,621326336,667131904,34078720,1244573696,4305485824,0.05,46.453125
attention_lstm,pleia_h1_f2_s43_attention_lstm,tuning,1,0.0,4951,752abc6e8ec94b18e8b59cd84507ddebfd0ff7fa981f4954aa0ab72e638ed4dc,cc64be43b32af82d53d765f13c3bf23f3f9bcb58d1e05fb4e8cce9177ff7a3cf,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",43,,src.attention_lstm.AttentionLSTM,27.395689900004072,620589056,627568640,657956864,663851008,6979584,1244573696,4285272064,0.05,26.078125
attention_lstm,pleia_h1_f2_s43_attention_lstm,tuning,1,1.0,9903,f85bab086984391791004a8e72180b1b3eaa86a9e674bd05023cd4009ab28915,f1a6dae2f649d8aaf14ffa4ddde2216ae56b88db292af4ed1b6e12a5337d0298,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",43,,src.attention_lstm.AttentionLSTM,47.687359599993215,624930816,627146752,661700608,664166400,2215936,1244573696,4326887424,0.05,46.46875
attention_lstm,pleia_h1_f2_s43_attention_lstm,final_fit,0,,14858,384cdf1be124724dc9e2a8f9bcf5de31eb730e9c94224991093edf1b01f4a2ee,,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",43,28.0,src.attention_lstm.AttentionLSTM,58.69840399999521,620576768,625356800,657813504,663379968,4780032,1244573696,4273516544,0.05,57.875
