model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.08708800000022165,405368832,405389312,360484864,360534016,20480,1244954624,4895002624,0.05,0.078125
persistence,tuning,False,0.000676499999826774,393666560,393682944,348295168,348327936,16384,1244213248,4756275200,0.05,0.0
persistence,final_fit,False,0.0004400999896461144,393682944,393682944,348327936,348327936,0,1244213248,4756295680,0.05,0.0
persistence,calibration,False,0.0025367000052938238,393682944,393752576,348327936,348327936,69632,1244213248,4756344832,0.05,0.0
persistence,inference,False,0.003732599987415597,393744384,393752576,348303360,348327936,8192,1244213248,4757430272,0.05,0.0
persistence,artifact_serialization,False,0.0007310999935725704,393736192,393752576,348295168,348327936,16384,1244213248,4757467136,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,0.5328886000061175,417730560,520409088,373104640,542318592,102678528,1244954624,4787519488,0.05,0.484375
xgboost,tuning,False,2.8340858000010485,388837376,504143872,345567232,526544896,115306496,1244213248,4632064000,0.05,2.8125
xgboost,final_fit,False,0.7294323999958578,500854784,504778752,523227136,527237120,3923968,1244213248,4637917184,0.05,0.734375
xgboost,calibration,False,0.051417800001217984,501891072,501903360,524312576,524312576,12288,1244213248,4664479744,0.05,0.0625
xgboost,inference,False,0.10582490000524558,501903360,501907456,524312576,524328960,4096,1244213248,4661288960,0.05,0.09375
xgboost,artifact_serialization,False,0.004659799989894964,501895168,501907456,524279808,524312576,12288,1244213248,4661309440,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,0.7013627999986056,525918208,548384768,547749888,593268736,22466560,1244954624,4762767360,0.05,0.6875
attention_lstm,tuning,False,152.95563120000588,502005760,629444608,525414400,666505216,127438848,1244213248,4485980160,0.05,149.78125
attention_lstm,final_fit,False,60.242110899998806,621629440,625836032,661250048,663945216,4206592,1244213248,4640276480,0.05,59.53125
attention_lstm,calibration,False,0.1863286000007065,619122688,620130304,655998976,657248256,1007616,1244213248,4728807424,0.05,0.1875
attention_lstm,inference,False,0.3778485999937402,620130304,620367872,657248256,658329600,237568,1244213248,4728438784,0.05,0.375
attention_lstm,artifact_serialization,False,0.0045301000063773245,623202304,623382528,661135360,661307392,180224,1244213248,4727853056,0.05,0.0
