model,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
xgboost,rico_h30_f2_s45_xgboost,tuning,0,0.0,3740,345e2c1252453bed7212a13b5adee9f6e7759589eb8a4ccb39a23037b2a9e842,6151ffb29e649e0bea8ac19360af1e36099255dcb7569666f8ba5babecd917fc,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",45,,xgboost.sklearn.XGBRegressor,0.4811637999955565,433238016,533827584,387350528,551358464,100589568,533827584,5365600256,0.05,0.46875
xgboost,rico_h30_f2_s45_xgboost,tuning,0,1.0,7480,c2f1e03552cf8d6a64dcd96c7c1a0fb51d13977011474ec4a03c2a1cd95eb644,beb05cfd551711702b12b167d79032244560974f8f73e7e7850de1bb07d26a60,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",45,,xgboost.sklearn.XGBRegressor,0.547758700005943,533913600,537882624,551325696,554438656,3969024,537882624,5365669888,0.05,0.578125
xgboost,rico_h30_f2_s45_xgboost,tuning,1,0.0,3740,345e2c1252453bed7212a13b5adee9f6e7759589eb8a4ccb39a23037b2a9e842,6151ffb29e649e0bea8ac19360af1e36099255dcb7569666f8ba5babecd917fc,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",45,,xgboost.sklearn.XGBRegressor,0.6752166000078432,534818816,538025984,551333888,554606592,3207168,541028352,5354049536,0.05,0.65625
xgboost,rico_h30_f2_s45_xgboost,tuning,1,1.0,7480,c2f1e03552cf8d6a64dcd96c7c1a0fb51d13977011474ec4a03c2a1cd95eb644,beb05cfd551711702b12b167d79032244560974f8f73e7e7850de1bb07d26a60,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",45,,xgboost.sklearn.XGBRegressor,0.9074672999995528,538046464,544227328,554573824,560758784,6180864,546263040,5356191744,0.05,0.875
xgboost,rico_h30_f2_s45_xgboost,final_fit,1,,11407,1acb2956bf1dfd95e707a3d0c5ce82159d373ca71b997635518d119e44765e51,,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",45,,xgboost.sklearn.XGBRegressor,1.188760999997612,541089792,548007936,557588480,564535296,6918144,550109184,5325946880,0.05,1.15625
attention_lstm,rico_h30_f2_s45_attention_lstm,tuning,0,0.0,3740,345e2c1252453bed7212a13b5adee9f6e7759589eb8a4ccb39a23037b2a9e842,6151ffb29e649e0bea8ac19360af1e36099255dcb7569666f8ba5babecd917fc,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",45,,src.attention_lstm.AttentionLSTM,7.322023000000627,535736320,646139904,555012096,678281216,110403584,646176768,5128712192,0.05,7.125
attention_lstm,rico_h30_f2_s45_attention_lstm,tuning,0,1.0,7480,c2f1e03552cf8d6a64dcd96c7c1a0fb51d13977011474ec4a03c2a1cd95eb644,beb05cfd551711702b12b167d79032244560974f8f73e7e7850de1bb07d26a60,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",45,,src.attention_lstm.AttentionLSTM,13.667247099991073,645222400,645414912,676745216,676794368,192512,647553024,5162668032,0.05,13.40625
attention_lstm,rico_h30_f2_s45_attention_lstm,tuning,1,0.0,3740,345e2c1252453bed7212a13b5adee9f6e7759589eb8a4ccb39a23037b2a9e842,6151ffb29e649e0bea8ac19360af1e36099255dcb7569666f8ba5babecd917fc,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",45,,src.attention_lstm.AttentionLSTM,6.261587300003157,632643584,646893568,665554944,679391232,14249984,648884224,5162823680,0.05,6.203125
attention_lstm,rico_h30_f2_s45_attention_lstm,tuning,1,1.0,7480,c2f1e03552cf8d6a64dcd96c7c1a0fb51d13977011474ec4a03c2a1cd95eb644,beb05cfd551711702b12b167d79032244560974f8f73e7e7850de1bb07d26a60,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",45,,src.attention_lstm.AttentionLSTM,18.598970500010182,646098944,646848512,678490112,678539264,749568,648884224,5202616320,0.05,18.296875
attention_lstm,rico_h30_f2_s45_attention_lstm,final_fit,1,,11407,1acb2956bf1dfd95e707a3d0c5ce82159d373ca71b997635518d119e44765e51,,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",45,7.0,src.attention_lstm.AttentionLSTM,12.129291899997042,636203008,646672384,667676672,679505920,10469376,648884224,5267824640,0.05,11.84375
