model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.08784079999895766,427732992,427954176,379330560,379379712,221184,473477120,4935213056,0.05,0.09375
persistence,tuning,False,0.0007188000017777085,424112128,424136704,377413632,377446400,24576,471568384,4940152832,0.05,0.0
persistence,final_fit,False,0.0005070999905001372,424136704,424157184,377446400,377466880,20480,471568384,4940111872,0.05,0.0
persistence,calibration,False,0.002093400005833246,424157184,424259584,377466880,377466880,102400,471568384,4939988992,0.05,0.015625
persistence,inference,False,0.003692999991471879,424259584,424288256,377466880,377466880,28672,471568384,4939988992,0.05,0.0
persistence,artifact_serialization,False,0.00046690000453963876,424271872,424288256,377434112,377466880,16384,471568384,4939988992,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,0.590909799997462,428969984,530018304,380272640,549826560,101048320,530018304,4816220160,0.05,0.59375
xgboost,tuning,False,3.012374100013403,427995136,537075712,379895808,554467328,109080576,538951680,4801466368,0.05,2.953125
xgboost,final_fit,False,0.6318780000001425,535273472,539238400,552636416,556625920,3964928,539238400,4814204928,0.05,0.671875
xgboost,calibration,False,0.05299630000081379,535285760,535285760,552636416,552636416,0,539238400,4821909504,0.05,0.046875
xgboost,inference,False,0.10378490001312457,535285760,535289856,552636416,552652800,4096,539238400,4822450176,0.05,0.09375
xgboost,artifact_serialization,False,0.004355999990366399,535289856,535306240,552603648,552636416,16384,539238400,4822335488,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,0.5497386999923037,531742720,552054784,550703104,599134208,20312064,552886272,4788723712,0.05,0.53125
attention_lstm,tuning,False,39.00032749999082,535592960,640802816,552906752,674000896,105209856,641376256,4679495680,0.05,38.484375
attention_lstm,final_fit,False,5.609762000007322,635215872,637968384,669376512,671719424,2752512,641376256,4709249024,0.05,5.578125
attention_lstm,calibration,False,0.13998809999611694,635129856,635269120,668774400,668798976,139264,641376256,4737122304,0.05,0.140625
attention_lstm,inference,False,0.2693571999989217,635269120,635441152,668782592,669044736,172032,641376256,4730191872,0.05,0.265625
attention_lstm,artifact_serialization,False,0.0048131999938050285,636088320,636391424,669712384,669888512,303104,641376256,4730957824,0.05,0.015625
