dataset,horizon,physical_minutes,target_units,seeds,mae_difference_mean,mae_difference_min,mae_difference_max,lstm_lower_mae_seeds,winkler95_difference_mean,lstm_lower_winkler95_seeds,lstm_coverage95_mean,xgboost_coverage95_mean,mpiw95_difference_mean,cpu_ratio_mean,cpu_ratio_min,cpu_ratio_max
bdg2,1,60,kWh per hour,2,1.6570834135482269,1.4539836536791846,1.8601831734172691,0,9.35897251766464,0,0.9506784064665127,0.9484266743648961,7.5785943603515875,109.56313658901402,75.26359143327842,143.8626817447496
bdg2,3,180,kWh per hour,2,5.401083053411169,4.871923693028748,5.930242413793589,0,83.94427577206471,0,0.9495814087759815,0.9492494226327945,32.21210327148445,51.736777715038585,49.55797101449275,53.91558441558441
bdg2,6,360,kWh per hour,2,5.852289227986908,5.804421342929096,5.90015711304472,0,67.1949190167962,0,0.9517032332563511,0.9491483833718245,34.1382697753907,35.506235923423425,27.913513513513514,43.098958333333336
pleia,1,10,degrees C,2,0.7909126192021465,0.7694822031276982,0.8123430352765948,0,6.36146808010885,0,0.285656606439891,0.33067528010497627,1.4274890899658172,55.04834782608695,52.788,57.30869565217391
pleia,3,30,degrees C,2,0.2464004795185748,0.23718290905592943,0.2556180499812202,0,-1.8225407695991827,2,0.2765721207227213,0.29746643787221155,0.6568161010742184,42.70972241355558,42.028688524590166,43.390756302521005
pleia,6,60,degrees C,2,0.15509482982770617,0.12636250501397672,0.18382715464143562,0,-6.6787130754169794,2,0.27202987786413646,0.31825981629151107,0.559109115600585,27.22670560880168,26.584415584415584,27.868995633187772
pleia_energy,1,10,kWh per 10 minutes,2,-0.012871558199189816,-0.022438580082471682,-0.0033045363159079494,2,0.9127729114735772,0,0.620722721308166,0.7870192792974664,-0.2765112817287445,26.50430855481728,25.683035714285715,27.325581395348838
pleia_energy,3,30,kWh per 10 minutes,2,0.022923948853362686,0.008055993173908024,0.03779190453281735,0,0.43130334343133625,0,0.6598869486221863,0.7366003835671748,-0.0425114780664444,20.467082377322182,20.296610169491526,20.637554585152838
pleia_energy,6,60,kWh per 10 minutes,2,0.027610716081992517,0.02715642238266114,0.028065009781323896,0,0.06216606591771123,0,0.6659937417987282,0.7075804986373271,0.028687402606010437,16.03260283648395,15.919831223628693,16.145374449339208
rico,5,5,degrees C,2,2.1427226073611347,1.9795653190911227,2.3058798956311466,0,62.237358071844625,0,0.1743557294063507,0.7046709618039577,1.1340030670165966,20.71415004748338,13.716049382716049,27.71225071225071
rico,15,15,degrees C,2,2.1915895232426545,1.9581527650082808,2.4250262814770283,0,69.67939676802041,0,0.14477179425259598,0.7946751992272398,0.34303016662597585,19.26360294117647,15.341911764705882,23.185294117647057
rico,30,30,degrees C,2,2.246645695348133,2.002048774342098,2.4912426163541674,0,75.83601635313096,0,0.11353854180253031,0.8191600365201512,-0.39811401367187216,22.981613214371833,20.879310344827587,25.083916083916083
rico,60,60,degrees C,2,1.681449554328391,1.4407682432157203,1.9221308654410618,0,66.0906897683089,0,0.17034332763709803,0.8429392574180519,-2.231548309326172,15.047341954022988,13.004166666666666,17.09051724137931
