dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,actual_exit,point_cells,interval_cells,tuning_fits,final_fits,saved_model_checks,max_absolute_prediction_difference,completed_resume_fits,all_run_files_unchanged,actual_seed_verified,audit,resume
pleia_energy,1,2,43,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9a5f8e926042af5fac0c3fceb0e887889cd310cf57cdaa89b6239e4da7611673,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\pleia_energy_h1_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\pleia_energy_h1_f2_s43_v1\resume_v1.json
pleia_energy,3,2,43,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0994b58ad507c89e4477b9d8f239790b940d570f5a1e8d13854e7914fd34622b,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\pleia_energy_h3_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\pleia_energy_h3_f2_s43_v1\resume_v1.json
pleia_energy,6,2,43,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b93741f34b2850dc828bbe017dd62253e0e099a5101de4a74885b6a91db639c5,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\pleia_energy_h6_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\pleia_energy_h6_f2_s43_v1\resume_v1.json
rico,5,2,43,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\rico_h5_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\rico_h5_f2_s43_v1\resume_v1.json
rico,15,2,43,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6118ae753e7869a6676eab873bbd97832260b434782324da367a8542c2dd9c41,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\rico_h15_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\rico_h15_f2_s43_v1\resume_v1.json
rico,30,2,43,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,050b5ce09462d58b7bce831cbc47f90ab7c8a1dad2cdbf0f11daf141c77b099b,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\rico_h30_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\rico_h30_f2_s43_v1\resume_v1.json
rico,60,2,43,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,85ad761357274da3f86ef8417ede058f4bfe3615117513b11d0b1ac2c3765dfe,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\rico_h60_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\rico_h60_f2_s43_v1\resume_v1.json
bdg2,1,2,43,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\bdg2_h1_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\bdg2_h1_f2_s43_v1\resume_v1.json
bdg2,3,2,43,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,6225a33e725729d2d0c357a6cdf095480c5fe7a60e3289df38edacdb5f0da356,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\bdg2_h3_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\bdg2_h3_f2_s43_v1\resume_v1.json
bdg2,6,2,43,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,077b77572186c5f9d9893e3c98265d76a061cc7ec7c7da76d384cccbee2ffa0f,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\bdg2_h6_f2_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\fold2_multiseed_batch_v1\receipts\bdg2_h6_f2_s43_v1\resume_v1.json
