dataset,horizon,outer_fold,model_seed,model_phase_seconds,fit_n
bdg2,1,1,42,1150.0078999999896,77682
bdg2,1,2,42,1539.5680277999927,51664
bdg2,1,2,43,735.3563254000182,51664
bdg2,1,2,44,757.2276017999538,51664
bdg2,3,2,42,539.4835387000057,51634
bdg2,3,2,43,443.8518657999957,51634
bdg2,3,2,44,554.5747745999979,51634
bdg2,6,2,42,407.5120203999977,51584
bdg2,6,2,43,255.95262879997608,51584
bdg2,6,2,44,259.9596229000308,51584
pleia,1,0,42,342.043187700001,29719
pleia,1,2,42,215.1341342999949,14858
pleia,1,2,43,214.55209639997338,14858
pleia,1,2,44,222.57651139999507,14858
pleia,3,0,42,316.5358313999992,29715
pleia,3,2,42,168.73746670001856,14855
pleia,3,2,43,168.95492620002187,14855
pleia,3,2,44,189.48730410002463,14855
pleia,6,0,42,223.77685740000015,29710
pleia,6,2,42,105.71054949999234,14850
pleia,6,2,43,101.80366099998355,14850
pleia,6,2,44,108.1490714000538,14850
pleia_energy,1,0,42,426.5366587000317,29719
pleia_energy,1,2,42,96.21239310001693,14858
pleia_energy,1,2,43,116.725467799959,14858
pleia_energy,1,2,44,108.40333759998612,14858
pleia_energy,3,2,42,79.75703890000295,14855
pleia_energy,3,2,43,79.81790749999345,14855
pleia_energy,3,2,44,72.20451170000888,14855
pleia_energy,6,2,42,63.82444129999931,14850
pleia_energy,6,2,43,62.13102279997838,14850
pleia_energy,6,2,44,65.16629629996896,14850
rico,5,2,42,163.50009970000247,12932
rico,5,2,43,77.26368860001094,12932
rico,5,2,44,126.56399370000872,12932
rico,15,2,42,131.20833799998945,12322
rico,15,2,43,70.26644829999714,12322
rico,15,2,44,132.77329690000624,12322
rico,30,2,42,101.78210930000205,11407
rico,30,2,43,118.72612410000875,11407
rico,30,2,44,134.1892519999965,11407
rico,60,2,42,53.38241730001755,9577
rico,60,2,43,66.90508849998878,9577
rico,60,2,44,70.24328550000791,9577
