dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,n_fit,n_calibration,n_test,mae,rmse,selected_candidate,final_epochs,estimator_class,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_rows_per_second,model_phase_seconds,process_cpu_seconds,cpu_measurement_status,coverage90,mpiw90,winkler90,rank90,q90,coverage_deviation90,coverage95,mpiw95,winkler95,rank95,q95,coverage_deviation95,signed_coverage_deviation90,absolute_coverage_deviation90,signed_coverage_deviation95,absolute_coverage_deviation95,deterministic_baseline_alias
pleia_energy,1,2,43,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9a5f8e926042af5fac0c3fceb0e887889cd310cf57cdaa89b6239e4da7611673,True,persistence,14858,4953,9907,0.12760863530836783,0.24188010063684087,0,,src.pilot_forecasters.Persistence,0.0,0.00042729999404400587,0.002486400000634603,0.005361499992432073,1847803.7888620805,0.008275199987110682,0.015625,measured,0.5603108912889876,0.078125,2.097025777228223,4459,0.0390625,-0.33968910871101243,0.6428787725850409,0.125,3.783587362470977,4707,0.0625,-0.30712122741495906,-0.33968910871101243,0.33968910871101243,-0.30712122741495906,0.30712122741495906,True
pleia_energy,1,2,43,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9a5f8e926042af5fac0c3fceb0e887889cd310cf57cdaa89b6239e4da7611673,True,xgboost,14858,4953,9907,0.1511315438887769,0.24385366270656145,1,,xgboost.sklearn.XGBRegressor,2.9386590999929467,0.9799857999896631,0.06087149999802932,0.13724599999841303,72184.25309382098,4.116762399979052,4.03125,measured,0.6840617745028768,0.3288354277610779,1.6151078535465537,4459,0.16441771388053894,-0.21593822549712327,0.7711718986575149,0.4667136073112488,2.2974087363645754,4707,0.2333568036556244,-0.17882810134248506,-0.21593822549712327,0.21593822549712327,-0.17882810134248506,0.17882810134248506,False
pleia_energy,1,2,43,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9a5f8e926042af5fac0c3fceb0e887889cd310cf57cdaa89b6239e4da7611673,True,attention_lstm,14858,4953,9907,0.1286929638063052,0.22771109100449605,0,9.0,src.attention_lstm.AttentionLSTM,93.2409495000029,18.787344999989728,0.19604999999864958,0.3760857000015676,26342.4001496433,112.60043019999284,110.15625,measured,0.5776723528818007,0.151836097240448,1.6559600614028585,4459,0.075918048620224,-0.3223276471181993,0.638336529726456,0.18179559707641602,2.9571747471083643,4707,0.09089779853820801,-0.3116634702735439,-0.3223276471181993,0.3223276471181993,-0.3116634702735439,0.3116634702735439,False
pleia_energy,3,2,43,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0994b58ad507c89e4477b9d8f239790b940d570f5a1e8d13854e7914fd34622b,True,persistence,14855,4952,9907,0.13126135560714647,0.257541502923049,0,,src.pilot_forecasters.Persistence,0.0,0.0003704000118887052,0.002419599986751564,0.004583300004014745,2161542.991146544,0.007373300002655014,0.015625,measured,0.5711113354194004,0.078125,2.1860568915918046,4458,0.0390625,-0.3288886645805996,0.6392449782981731,0.125,3.9634475623296628,4706,0.0625,-0.3107550217018269,-0.3288886645805996,0.3288886645805996,-0.3107550217018269,0.3107550217018269,True
pleia_energy,3,2,43,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0994b58ad507c89e4477b9d8f239790b940d570f5a1e8d13854e7914fd34622b,True,xgboost,14855,4952,9907,0.12097164125725939,0.22595912463705314,0,,xgboost.sklearn.XGBRegressor,3.0019547999982024,0.6468208000005689,0.051988699997309595,0.09333319999859668,106146.58021099627,3.7940974999946775,3.6875,measured,0.6710406783082669,0.20214924216270447,1.553685468577275,4458,0.10107462108135223,-0.22895932169173316,0.7372564853134148,0.2754065990447998,2.5496136793048687,4706,0.1377032995223999,-0.21274351468658514,-0.22895932169173316,0.22895932169173316,-0.21274351468658514,0.21274351468658514,False
pleia_energy,3,2,43,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,0994b58ad507c89e4477b9d8f239790b940d570f5a1e8d13854e7914fd34622b,True,attention_lstm,14855,4952,9907,0.15876354579007673,0.2585929217543702,1,8.0,src.attention_lstm.AttentionLSTM,59.09416940000665,16.340059800000745,0.19350379999377765,0.3887036999949487,25487.27990016237,76.01643669999612,74.84375,measured,0.5771676592308469,0.2269691824913025,1.706536331781528,4458,0.11348459124565125,-0.3228323407691531,0.6606439890986171,0.2646532654762268,2.9377796090827193,4706,0.1323266327381134,-0.28935601090138285,-0.3228323407691531,0.3228323407691531,-0.28935601090138285,0.28935601090138285,False
pleia_energy,6,2,43,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b93741f34b2850dc828bbe017dd62253e0e099a5101de4a74885b6a91db639c5,True,persistence,14850,4951,9907,0.12998936988997678,0.25754481604675455,0,,src.pilot_forecasters.Persistence,0.0,0.000630000009550713,0.002550699995481409,0.004096899996511638,2418169.837788438,0.00727760000154376,0.0,measured,0.5607146462097506,0.078125,2.156516541334411,4457,0.0390625,-0.3392853537902494,0.6406581205208438,0.125,3.899036035126675,4705,0.0625,-0.30934187947915615,-0.3392853537902494,0.3392853537902494,-0.30934187947915615,0.30934187947915615,True
pleia_energy,6,2,43,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b93741f34b2850dc828bbe017dd62253e0e099a5101de4a74885b6a91db639c5,True,xgboost,14850,4951,9907,0.1275753094787926,0.2453679381741562,0,,xgboost.sklearn.XGBRegressor,2.800623100003577,0.6621644999977434,0.04706459998851642,0.09128829999826849,108524.31253718068,3.601140499988105,3.546875,measured,0.6616533764005249,0.17726391553878784,1.721472655559953,4457,0.08863195776939392,-0.23834662359947512,0.7303926516604421,0.24725034832954407,2.914543624129172,4705,0.12362517416477203,-0.21960734833955786,-0.23834662359947512,0.23834662359947512,-0.21960734833955786,0.21960734833955786,False
pleia_energy,6,2,43,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b93741f34b2850dc828bbe017dd62253e0e099a5101de4a74885b6a91db639c5,True,attention_lstm,14850,4951,9907,0.15473173186145373,0.2650504133471614,0,4.0,src.attention_lstm.AttentionLSTM,49.0571581999975,8.833134899992729,0.1935898000083398,0.43872179999016225,22581.508373238237,58.52260469998873,57.265625,measured,0.5892803068537398,0.2132309079170227,1.8033140359702668,4457,0.10661545395851135,-0.31071969314626025,0.6870899364085999,0.2753656506538391,3.010165868035787,4705,0.13768282532691956,-0.2629100635914,-0.31071969314626025,0.31071969314626025,-0.2629100635914,0.2629100635914,False
rico,5,2,43,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,74eb284e91314998933d2de50059b1b6b26eb11ff0398586688a4f60985be4fd,True,persistence,12932,4452,8692,0.07447077772664519,0.12451008457023498,0,,src.pilot_forecasters.Persistence,0.0,0.0003485000052023679,0.002747199992882088,0.004165400008787401,2086714.356763625,0.007261100006871857,0.015625,measured,0.9282098481362172,0.3999999999999986,0.6013345605154169,4008,0.1999999999999993,0.028209848136217186,0.9723884031293143,0.6000000000000014,0.7808559595029918,4231,0.3000000000000007,0.022388403129314338,0.028209848136217186,0.028209848136217186,0.022388403129314338,0.022388403129314338,True
