dataset,horizon,outer_fold,model,physical_minutes,target_units,metric,nominal_level,source_runs,protocol_hashes,n_fit,n_calibration,n_test,model_seeds,n_seed_rows,n_measured,mean,sample_std,minimum,maximum,interpretation,deterministic_baseline_alias,independent_baseline_realizations
bdg2,1,2,attention_lstm,60,kWh per hour,mae,,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,19.30442111933684,0.27093040968963644,19.09463833441331,19.610301750955557,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,rmse,,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,36.555789547820744,1.0055880608917116,35.917441042667775,37.71495828709621,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,coverage90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,0.9008852963818321,0.0038252846825059497,0.8965069284064665,0.9035796766743649,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,signed_coverage_deviation90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,0.0008852963818321383,0.00382528468250595,-0.0034930715935335144,0.0035796766743648734,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,absolute_coverage_deviation90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,0.003214010777521148,0.0005600263482275791,0.002569284064665056,0.0035796766743648734,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,mpiw90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,98.09585498046856,2.3971084926053887,95.48613525390624,100.19955859375,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,winkler90,0.9,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,178.45443162218763,3.503609046605931,176.2896792719958,182.4966493130092,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,coverage95,0.95,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,0.9493937644341801,0.0024619481966693143,0.946824480369515,0.9517321016166281,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,signed_coverage_deviation95,0.95,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,-0.000606235565819809,0.0024619481966693143,-0.003175519630484902,0.0017321016166281789,training-seed variability on same evaluation support; not a population confidence interval,False,
bdg2,1,2,attention_lstm,60,kWh per hour,absolute_coverage_deviation95,0.95,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1|smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e|58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e|e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,42|43|44,3,3,0.0017609699769052616,0.001400338664622958,0.0003752886836027036,0.003175519630484902,training-seed variability on same evaluation support; not a population confidence interval,False,
