dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,unit,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,pleia_energy_h1_f2_s42_persistence,0.8008277999979327,390340608,391970816,345325568,350437376,1630208,408387584,4781006848,0.05,0.6875
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,pleia_energy_h1_f2_s42_xgboost,1.4515931999994791,504770560,510709760,525758464,531918848,5939200,510906368,4662059008,0.05,1.25
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,pleia_energy_h1_f2_s42_attention_lstm,1.317580299997644,594436096,600842240,623296512,629456896,6406144,621289472,4646625280,0.05,1.21875
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,pleia_energy_h3_f2_s42_persistence,0.8475136999986717,390131712,392458240,344895488,347049984,2326528,407572480,4720275456,0.05,0.78125
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,pleia_energy_h3_f2_s42_xgboost,1.3665716999967117,507662336,511021056,529199104,532783104,3358720,512471040,4631007232,0.05,1.25
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,pleia_energy_h3_f2_s42_attention_lstm,1.348079900002631,632561664,638369792,672075776,677187584,5808128,640008192,4590661632,0.05,1.203125
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,pleia_energy_h6_f2_s42_persistence,0.8282239999971353,390078464,392425472,344567808,346714112,2347008,408784896,4856877056,0.05,0.75
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,pleia_energy_h6_f2_s42_xgboost,1.4260462000020198,506171392,509358080,528158720,531353600,3186688,512303104,4733087744,0.05,1.234375
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,pleia_energy_h6_f2_s42_attention_lstm,1.360060799997882,631037952,638242816,674082816,680497152,7204864,639033344,4601901056,0.05,1.25
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,rico_h15_f2_s42_persistence,0.6975383999961196,437407744,437612544,389320704,389402624,204800,489213952,4819451904,0.05,0.609375
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,rico_h15_f2_s42_xgboost,1.072452800006431,548954112,548986880,566022144,566071296,32768,552984576,4769042432,0.05,0.9375
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,rico_h15_f2_s42_attention_lstm,1.1390969999993104,628092928,629956608,649547776,651710464,1863680,652881920,4715503616,0.05,0.984375
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,rico_h30_f2_s42_persistence,0.5899688999998034,433438720,433778688,386486272,386564096,339968,482242560,4467531776,0.05,0.515625
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,rico_h30_f2_s42_xgboost,0.9779000999988057,545980416,546021376,562089984,562139136,40960,550002688,4338393088,0.05,0.859375
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,rico_h30_f2_s42_attention_lstm,0.9979855999990832,654192640,655601664,685969408,688123904,1409024,659603456,4745740288,0.05,0.875
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,rico_h60_f2_s42_persistence,0.5448971999940113,426954752,427433984,380911616,382066688,479232,471871488,5163450368,0.05,0.46875
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,rico_h60_f2_s42_xgboost,0.8230134999976144,538054656,538787840,557101056,558202880,733184,542171136,5046308864,0.05,0.6875
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,rico_h60_f2_s42_attention_lstm,0.8471702000024379,599310336,601710592,624795648,626950144,2400256,642281472,4999876608,0.05,0.75
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,bdg2_h3_f2_s42_persistence,3.1067929999990156,461029376,466276352,419311616,424615936,5246976,1032384512,4984942592,0.05,2.890625
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,bdg2_h3_f2_s42_xgboost,4.175596499997482,573063168,578150400,595369984,600604672,5087232,1032384512,4913000448,0.05,3.953125
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,bdg2_h3_f2_s42_attention_lstm,4.5260161999976845,682602496,688525312,722419712,728645632,5922816,1032384512,4949143552,0.05,4.25
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,bdg2_h6_f2_s42_persistence,2.698183799999242,460615680,465649664,418385920,425119744,5033984,1032368128,5154410496,0.05,2.5
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,bdg2_h6_f2_s42_xgboost,3.8523070000010193,570740736,576053248,594407424,600145920,5312512,1032368128,5010743296,0.05,3.71875
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,bdg2_h6_f2_s42_attention_lstm,3.9327539000005345,648826880,655273984,691863552,698454016,6447104,1032368128,5090050048,0.05,3.6875
bdg2,1,1,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,bdg2_h1_f1_s42_persistence,3.0835346999956528,463081472,467320832,421507072,425959424,4239360,1031094272,5186580480,0.05,3.015625
bdg2,1,1,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,bdg2_h1_f1_s42_xgboost,5.2479103000005125,577437696,579809280,599887872,602423296,2371584,1031094272,5066928128,0.05,4.8125
bdg2,1,1,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,bdg2_h1_f1_s42_attention_lstm,5.171777999996266,676442112,683491328,725749760,732889088,7049216,1031094272,4705189888,0.05,4.921875
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,pleia_h1_f2_s42_persistence,1.2395271999994293,394989568,399392768,350212096,354471936,4403200,1243840512,4552470528,0.05,1.125
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,pleia_h1_f2_s42_xgboost,1.4757463000059943,510898176,515932160,533098496,538206208,5033984,1243840512,4521336832,0.05,1.234375
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,pleia_h1_f2_s42_attention_lstm,1.2706235000005108,624574464,628641792,660447232,664698880,4067328,1243840512,4782387200,0.05,1.140625
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,pleia_h3_f2_s42_persistence,0.8203573999999207,395067392,398401536,350396416,353603584,3334144,1244626944,4943777792,0.05,0.6875
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,pleia_h3_f2_s42_xgboost,1.3215283999961684,509726720,510713856,532692992,536498176,987136,1244626944,4816191488,0.05,1.171875
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,pleia_h3_f2_s42_attention_lstm,1.3914638999995077,635158528,640147456,675082240,679333888,4988928,1244626944,4810407936,0.05,1.234375
pleia,6,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,pleia_h6_f2_s42_persistence,0.8414888999977848,395137024,398938112,350679040,353935360,3801088,1244151808,5075664896,0.05,0.6875
