dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,n_fit,n_calibration,n_test,mae,rmse,selected_candidate,final_epochs,estimator_class,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_rows_per_second,model_phase_seconds,process_cpu_seconds,cpu_measurement_status,coverage90,mpiw90,winkler90,rank90,q90,coverage_deviation90,coverage95,mpiw95,winkler95,rank95,q95,coverage_deviation95
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,False,persistence,12932,4452,8692,0.07447077772664519,0.12451008457023498,0,,src.pilot_forecasters.Persistence,0.0,0.0005201999956625514,0.003924500000721309,0.003927400000975467,2213169.017121028,0.008372099997359328,0.015625,measured,0.9282098481362172,0.3999999999999986,0.6013345605154169,4008,0.1999999999999993,0.028209848136217186,0.9723884031293143,0.6000000000000014,0.7808559595029918,4231,0.3000000000000007,0.022388403129314338
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,False,xgboost,12932,4452,8692,0.24349519415380105,0.41148572415493,1,,xgboost.sklearn.XGBRegressor,3.8201040999992983,1.6232746000023326,0.1166499000028125,0.20028820000152336,43397.4642536799,5.760316800005967,5.484375,measured,0.5679935572940635,0.3424011230468764,2.866583804759457,4008,0.1712005615234382,-0.3320064427059365,0.7346985734008283,0.5625030517578153,4.1114770709343516,4231,0.28125152587890767,-0.21530142659917162
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,False,attention_lstm,12932,4452,8692,2.2230605132449237,2.702293397046354,1,18.0,src.attention_lstm.AttentionLSTM,114.35792370000127,42.65705210000306,0.23083839999890188,0.4855965999959153,17899.631093119504,157.73141079999914,151.984375,measured,0.16682006442705938,1.361872863769534,33.32642641677539,4008,0.680936431884767,-0.7331799355729407,0.18810400368154626,1.5061462402343722,63.06255947732726,4231,0.7530731201171861,-0.7618959963184537
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,False,persistence,51664,17370,34640,20.987969087759815,41.67140770234165,0,,src.pilot_forecasters.Persistence,0.0,0.0006069000010029413,0.008299599998281337,0.01850469999772031,1871956.8544352236,0.027411199997004587,0.03125,measured,0.894919168591224,115.80600000000072,207.41386443418008,15634,57.90300000000036,-0.005080831408776021,0.9467667436489607,165.40000000000003,273.690915473441,16503,82.69999999999999,-0.0032332563510392154
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,False,xgboost,51664,17370,34640,17.75433961896247,34.95834656737017,1,,xgboost.sklearn.XGBRegressor,6.686444899998605,2.725211199998739,0.20948499999940395,0.4154615000006743,83377.16009773176,10.036602599997423,9.671875,measured,0.9037528868360277,93.5879851074219,172.1690876859106,15634,46.79399255371095,0.0037528868360277023,0.9478348729792148,135.84407348632817,232.59199136116771,16503,67.92203674316406,-0.002165127020785196
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,False,attention_lstm,51664,17370,34640,19.208323272641653,36.034969313698255,0,29.0,src.attention_lstm.AttentionLSTM,618.0770438999971,901.5987344000023,3.222609399999783,6.60562629999913,5244.014485046567,1529.5040139999983,1391.421875,measured,0.9025692840646651,98.60187109374942,176.57696628155787,15634,49.30093554687471,0.002569284064665056,0.9496247113163973,141.03879687500006,236.97746255500203,16503,70.5193984375,-0.0003752886836027036
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,True,persistence,14858,4953,9907,0.12760863530836783,0.24188010063684087,0,,src.pilot_forecasters.Persistence,0.0,0.00038930000300752,0.0039366999990306795,0.0035684000031324103,2776314.312101627,0.00789440000517061,0.015625,measured,0.5603108912889876,0.078125,2.097025777228223,4459,0.0390625,-0.33968910871101243,0.6428787725850409,0.125,3.783587362470977,4707,0.0625,-0.30712122741495906
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,True,xgboost,14858,4953,9907,0.12377272844555232,0.21441656372173365,0,,xgboost.sklearn.XGBRegressor,2.9368235000001732,0.6655583000028855,0.04806010000174865,0.09245499999815365,107154.83208261148,3.742896900002961,3.5,measured,0.6688200262440699,0.2122400999069214,1.5212555512646029,4459,0.1061200499534607,-0.23117997375593013,0.802866659937418,0.4104323983192444,2.0013129589078003,4707,0.2052161991596222,-0.14713334006258194
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,True,attention_lstm,14858,4953,9907,0.12046819212964437,0.22024027508302332,0,7.0,src.attention_lstm.AttentionLSTM,77.31889980000415,14.578470799999195,0.1863630000007106,0.3778682000047411,26218.136376323007,92.4616018000088,89.890625,measured,0.5419400423942666,0.10988640785217285,1.7599119923965982,4459,0.054943203926086426,-0.3580599576057334,0.6031089128898759,0.14232784509658813,3.167092771111166,4707,0.07116392254829407,-0.34689108711012406
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,True,persistence,14855,4952,9907,0.13126135560714647,0.257541502923049,0,,src.pilot_forecasters.Persistence,0.0,0.0005610000007436611,0.003707399999257177,0.004190100000414532,2364382.711395883,0.00845850000041537,0.0,measured,0.5711113354194004,0.078125,2.1860568915918046,4458,0.0390625,-0.3288886645805996,0.6392449782981731,0.125,3.9634475623296628,4706,0.0625,-0.3107550217018269
