priority,dataset,horizon,outer_fold,model_seed,models,argv,output,command_exists,prerequisite,learned_fit_invocations,scenario_low_model_seconds,scenario_high_model_seconds,estimate_basis,fit_n,original_priority,updated_low_model_seconds,updated_high_model_seconds
6,pleia_energy,1,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s42_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,83.91538030533671,769.5885403928788,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",22289,7,47.89841657022507,959.6967178335415
7,pleia_energy,3,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f1_s42_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,83.90032079072316,769.4504294789047,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",22285,8,47.8898206858749,959.5244899690641
8,pleia_energy,6,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f1_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f1_s42_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,83.88149639745623,769.2777908364369,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",22280,9,47.879075830437195,959.3092051384675
9,pleia_energy,3,0,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f0_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f0_s42_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,111.87336918538652,1025.9914521860287,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",29715,10,63.856675866312436,1279.4377482356176
10,pleia_energy,6,0,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""0"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f0_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f0_s42_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,111.8545447921196,1025.818813543561,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",29710,11,63.84593101087473,1279.222463405021
11,pleia_energy,1,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.93856703201996,513.0129899572612,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14858,12,31.92941241869999,639.7404026008685
12,pleia_energy,3,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.9272723960598,512.9094067717805,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14855,13,31.922965505437364,639.6112317025105
13,pleia_energy,6,2,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f2_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.90844800279286,512.7367681293127,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14850,14,31.912220649999654,639.3959468719139
14,pleia_energy,1,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,83.91538030533671,769.5885403928788,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",22289,15,47.89841657022507,959.6967178335415
15,pleia_energy,3,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f1_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,83.90032079072316,769.4504294789047,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",22285,16,47.8898206858749,959.5244899690641
16,pleia_energy,6,1,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""1"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f1_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f1_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,83.88149639745623,769.2777908364369,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",22280,17,47.879075830437195,959.3092051384675
17,pleia_energy,1,0,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""0"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f0_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f0_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,111.88842870000008,1026.129563100003,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",29719,18,63.86527175066261,1279.609976100095
18,pleia_energy,3,0,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""0"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f0_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f0_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,111.87336918538652,1025.9914521860287,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",29715,19,63.856675866312436,1279.4377482356176
19,pleia_energy,6,0,43,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""0"", ""--model-seed"", ""43"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f0_s43_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f0_s43_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,111.8545447921196,1025.818813543561,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",29710,20,63.84593101087473,1279.222463405021
20,pleia_energy,1,2,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s44_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.93856703201996,513.0129899572612,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14858,21,31.92941241869999,639.7404026008685
21,pleia_energy,3,2,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s44_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.9272723960598,512.9094067717805,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14855,22,31.922965505437364,639.6112317025105
22,pleia_energy,6,2,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f2_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f2_s44_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,55.90844800279286,512.7367681293127,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",14850,23,31.912220649999654,639.3959468719139
23,pleia_energy,1,1,44,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""44"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f1_s44_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f1_s44_v1,True,separate authorization; frozen protocols and readiness; broader methods require separate implementation,10,83.91538030533671,769.5885403928788,"same-dataset actual model-phase seconds per fitting row; min/max observed rates times [0.5,3]; not wall-time guarantees",22289,24,47.89841657022507,959.6967178335415
