dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,command_seconds,process_cpu_seconds,preparation_seconds,preparation_peak_rss_MiB,action_peak_rss_MiB,lifetime_peak_rss_MiB,validation_seconds,validation_cpu_seconds,resume_seconds,output_bytes
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,110.98648040000262,105.1875,3.44220900000073,386.6015625,591.5703125,592.5078125,31.20583120000083,7.796875,9.685463099995104,9955054
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,93.39108940000006,89.15625,3.4791751999946428,382.66015625,608.796875,610.359375,11.886917199997697,7.28125,8.741188499996497,10007666
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,77.48377459999756,74.34375,3.4664975999985472,378.1171875,608.67578125,609.4296875,11.280965499994636,6.765625,8.469220200000564,9976525
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,150.4393473999953,144.984375,9.895946099997673,456.04296875,622.19140625,622.63671875,24.82768990000477,20.0625,21.954233500000555,8809470
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,119.6752880999993,115.3125,8.947365799998806,436.578125,625.23046875,629.046875,25.812096200002998,20.765625,21.86565089999931,8235348
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,70.47132340000098,67.734375,8.742106400000921,437.66796875,611.62109375,612.52734375,23.00515450000239,18.40625,21.436424200001056,6414677
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,578.6451535000015,564.828125,16.412399399996502,948.71875,948.53125,984.55859375,27.89338530000532,23.171875,21.89557480000076,34602170
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,441.96570449999854,429.0625,13.891027599995141,801.9296875,802.1171875,984.54296875,27.62231850000535,22.78125,21.33436879999499,33935891
bdg2,1,1,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,1191.6557694000003,1160.15625,15.86876630000188,966.8671875,966.7421875,983.328125,31.606493300001603,26.328125,23.347980200000165,43567723
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,234.5422483000002,227.4375,8.310258299999987,1061.375,1061.375,1186.21875,14.738878099997237,10.328125,12.548238099996524,9777684
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,185.80945880000218,180.25,6.918182699999306,1150.98046875,1150.66796875,1186.96875,14.960778000000573,10.53125,12.154508799998439,9799633
pleia,6,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,122.98747770000045,118.59375,7.21129259999725,1172.68359375,1172.62109375,1186.515625,15.036990499997046,10.546875,12.720976399999927,9788397
