model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.1340552999972715,502190080,505073664,458956800,461991936,2883584,1032892416,4850810880,0.05,0.125
persistence,tuning,False,0.0006636000034632161,456679424,456695808,413130752,413163520,16384,1031094272,5215125504,0.05,0.0
persistence,final_fit,False,0.0004378000012366101,456695808,456695808,413163520,413163520,0,1031094272,5215129600,0.05,0.0
persistence,calibration,False,0.010219900002994109,456695808,457318400,413163520,413949952,622592,1031094272,5214543872,0.05,0.015625
persistence,inference,False,0.011965700003202073,457318400,457318400,413949952,413949952,0,1031094272,5210353664,0.05,0.015625
persistence,artifact_serialization,False,0.0006605000016861595,459636736,459653120,416579584,416612352,16384,1031094272,5207179264,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,1.5009222000007867,554397696,649105408,510853120,671551488,94707712,1032892416,4694777856,0.05,1.484375
xgboost,tuning,False,8.711014000000432,457822208,585494528,412844032,605274112,127672320,1031094272,5091631104,0.05,8.21875
xgboost,final_fit,False,3.714042799998424,565784576,592846848,587194368,613306368,27062272,1031094272,5089792000,0.05,3.46875
xgboost,calibration,False,0.3062480000007781,567214080,567296000,587550720,587620352,81920,1031094272,5116481536,0.05,0.265625
xgboost,inference,False,0.4174739999943995,567296000,567300096,587620352,587636736,4096,1031094272,5113356288,0.05,0.375
xgboost,artifact_serialization,False,0.006400099999154918,577773568,581185536,597995520,601432064,3411968,1031094272,5103587328,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,2.515187299999525,651091968,670724096,673193984,709906432,19632128,1032892416,4683055104,0.05,2.5
attention_lstm,tuning,False,808.4900932999954,564252672,682622976,583712768,722915328,118370304,1031094272,4437458944,0.05,788.171875
attention_lstm,final_fit,False,326.0098871000009,656527360,677863424,716537856,727392256,21336064,1031094272,4666236928,0.05,318.1875
attention_lstm,calibration,False,0.9959116999962134,675602432,677269504,725028864,727187456,1667072,1031094272,4731281408,0.05,0.984375
attention_lstm,inference,False,1.340605699995649,677269504,677511168,727187456,727552000,241664,1031094272,4725125120,0.05,1.34375
attention_lstm,artifact_serialization,False,0.004565499999444,681771008,681930752,736215040,736247808,159744,1031094272,4729344000,0.05,0.015625
