model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.09851570000319043,395849728,395870208,350961664,351010816,20480,407982080,4630257664,0.05,0.09375
persistence,tuning,False,0.0008159999997587875,387678208,387694592,342712320,342745088,16384,408387584,4794007552,0.05,0.0
persistence,final_fit,False,0.00038930000300752,387694592,387702784,342745088,342753280,8192,408387584,4794011648,0.05,0.0
persistence,calibration,False,0.0039366999990306795,387702784,387776512,342753280,342753280,73728,408387584,4794036224,0.05,0.015625
persistence,inference,False,0.0035684000031324103,387776512,387776512,342753280,342753280,0,408387584,4794052608,0.05,0.0
persistence,artifact_serialization,False,0.0008994999952847138,387760128,387776512,342720512,342753280,16384,408387584,4794400768,0.05,0.015625
xgboost,artifact_reload_and_predict_verification,False,0.5570851000011317,410120192,516390912,365596672,540729344,106270720,516390912,4513398784,0.05,0.53125
xgboost,tuning,False,2.9368235000001732,384479232,499531776,340942848,520593408,115052544,500547584,4668342272,0.05,2.6875
xgboost,final_fit,False,0.6655583000028855,496574464,499970048,517611520,521003008,3395584,500547584,4665745408,0.05,0.671875
xgboost,calibration,False,0.04806010000174865,497643520,497659904,518668288,518668288,16384,500547584,4666871808,0.05,0.046875
xgboost,inference,False,0.09245499999815365,497659904,497664000,518668288,518684672,4096,500547584,4667527168,0.05,0.09375
xgboost,artifact_serialization,False,0.005516999997780658,497676288,497684480,518635520,518668288,8192,500547584,4669566976,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,0.8137523000041256,517791744,536928256,542007296,570757120,19136512,536928256,4473708544,0.05,0.765625
attention_lstm,tuning,False,77.31889980000415,497541120,620306432,520994816,659341312,122765312,621289472,4359729152,0.05,75.015625
attention_lstm,final_fit,False,14.578470799999195,613859328,620281856,652443648,659308544,6422528,621289472,4587323392,0.05,14.3125
attention_lstm,calibration,False,0.1863630000007106,587735040,588791808,617943040,619008000,1056768,621289472,4659912704,0.05,0.1875
attention_lstm,inference,False,0.3778682000047411,588787712,589660160,618991616,620089344,872448,621289472,4660342784,0.05,0.375
attention_lstm,artifact_serialization,False,0.02153829999588197,592891904,593211392,623247360,623435776,319488,621289472,4660756480,0.05,0.015625
