model,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
xgboost,pleia_energy_h3_f2_s42_xgboost,tuning,0,0.0,4948,7f6c44aaa5daad2694fa017cefa1278679d7bef992944c84a7733d2dc225cf3a,9b0e93b4c44af31d884df28503f714ae44f186ebfdf2b6729a147b695171cd28,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.4357763000007253,388825088,492871680,343379968,514670592,104046592,492871680,4630892544,0.05,0.4375
xgboost,pleia_energy_h3_f2_s42_xgboost,tuning,0,1.0,9897,f225687ee3a7271535187df9619592f2eb4d939d1176664139384492ba1d0c0f,c3ed8ab04358a77f71f21f14022f82a23f888754c748e204fb78f6fbb286cd5b,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.488026599996374,493051904,497057792,514637824,518668288,4005888,497057792,4617101312,0.05,0.46875
xgboost,pleia_energy_h3_f2_s42_xgboost,tuning,1,0.0,4948,7f6c44aaa5daad2694fa017cefa1278679d7bef992944c84a7733d2dc225cf3a,9b0e93b4c44af31d884df28503f714ae44f186ebfdf2b6729a147b695171cd28,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.5622001000010641,495513600,497016832,517111808,519061504,1503232,498831360,4621328384,0.05,0.546875
xgboost,pleia_energy_h3_f2_s42_xgboost,tuning,1,1.0,9897,f225687ee3a7271535187df9619592f2eb4d939d1176664139384492ba1d0c0f,c3ed8ab04358a77f71f21f14022f82a23f888754c748e204fb78f6fbb286cd5b,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.7629365000029793,496521216,500797440,519028736,522391552,4276224,501764096,4628217856,0.05,0.765625
xgboost,pleia_energy_h3_f2_s42_xgboost,final_fit,0,,14855,4defd32b78e1f7feb3f91d8f0b36f81df6eba009e06a64511d97f77044d5b0ee,,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.6465017000009539,497848320,501153792,519421952,522768384,3305472,501764096,4633346048,0.05,0.640625
attention_lstm,pleia_energy_h3_f2_s42_attention_lstm,tuning,0,0.0,4948,7f6c44aaa5daad2694fa017cefa1278679d7bef992944c84a7733d2dc225cf3a,9b0e93b4c44af31d884df28503f714ae44f186ebfdf2b6729a147b695171cd28,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,11.0100128999984,496910336,613535744,520626176,651128832,116625408,614088704,4487139328,0.05,10.34375
attention_lstm,pleia_energy_h3_f2_s42_attention_lstm,tuning,0,1.0,9897,f225687ee3a7271535187df9619592f2eb4d939d1176664139384492ba1d0c0f,c3ed8ab04358a77f71f21f14022f82a23f888754c748e204fb78f6fbb286cd5b,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,20.68072630000097,579178496,625467392,611966976,663105536,46288896,626515968,4466053120,0.05,20.0625
attention_lstm,pleia_energy_h3_f2_s42_attention_lstm,tuning,1,0.0,4948,7f6c44aaa5daad2694fa017cefa1278679d7bef992944c84a7733d2dc225cf3a,9b0e93b4c44af31d884df28503f714ae44f186ebfdf2b6729a147b695171cd28,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,12.411577200000465,620552192,620552192,657870848,657870848,0,626515968,4546658304,0.05,11.984375
attention_lstm,pleia_energy_h3_f2_s42_attention_lstm,tuning,1,1.0,9897,f225687ee3a7271535187df9619592f2eb4d939d1176664139384492ba1d0c0f,c3ed8ab04358a77f71f21f14022f82a23f888754c748e204fb78f6fbb286cd5b,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,15.620865500000946,581554176,624881664,614854656,663908352,43327488,627056640,4535476224,0.05,15.453125
attention_lstm,pleia_energy_h3_f2_s42_attention_lstm,final_fit,0,,14855,4defd32b78e1f7feb3f91d8f0b36f81df6eba009e06a64511d97f77044d5b0ee,,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,7.0,src.attention_lstm.AttentionLSTM,14.452186900001834,623542272,623575040,661204992,661254144,32768,627056640,4573577216,0.05,14.140625
