model,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
xgboost,pleia_h3_f2_s42_xgboost,tuning,0,0.0,4948,9045076e0bafbd9249b70f81f0b14960b016f8e5a9e1c2620f18219bc7a7ffb1,97aa85ca1b8529524d6eb72957ecf06448228df7b726404089cebc2eb362d640,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.4457020999980159,390029312,495824896,346324992,519122944,105795584,1244626944,4837240832,0.05,0.4375
xgboost,pleia_h3_f2_s42_xgboost,tuning,0,1.0,9897,14306cf160390d2c21ef7a943805828e48ccbf6c3302dee8446fdba7c978ae43,f20c95efa9606ad29cc22338d48c8b74ba7452fef13b146055a9f901db81013d,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.5295557000063127,495964160,499392512,519090176,522485760,3428352,1244626944,4844396544,0.05,0.53125
xgboost,pleia_h3_f2_s42_xgboost,tuning,1,0.0,4948,9045076e0bafbd9249b70f81f0b14960b016f8e5a9e1c2620f18219bc7a7ffb1,97aa85ca1b8529524d6eb72957ecf06448228df7b726404089cebc2eb362d640,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.524171800003387,497512448,501329920,520527872,525488128,3817472,1244626944,4841459712,0.05,0.53125
xgboost,pleia_h3_f2_s42_xgboost,tuning,1,1.0,9897,14306cf160390d2c21ef7a943805828e48ccbf6c3302dee8446fdba7c978ae43,f20c95efa9606ad29cc22338d48c8b74ba7452fef13b146055a9f901db81013d,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.7694326000055298,500998144,504459264,524218368,527532032,3461120,1244626944,4839190528,0.05,0.765625
xgboost,pleia_h3_f2_s42_xgboost,final_fit,0,,14855,8f8e422dc2da8297203b38dc554162d8877222b9fb902b17a1658f7c432eca27,,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.6785808999993606,501248000,505430016,524226560,528429056,4182016,1244626944,4844789760,0.05,0.6875
attention_lstm,pleia_h3_f2_s42_attention_lstm,tuning,0,0.0,4948,9045076e0bafbd9249b70f81f0b14960b016f8e5a9e1c2620f18219bc7a7ffb1,97aa85ca1b8529524d6eb72957ecf06448228df7b726404089cebc2eb362d640,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,14.05718689999776,501886976,620163072,525602816,658272256,118276096,1244626944,4731969536,0.05,13.609375
attention_lstm,pleia_h3_f2_s42_attention_lstm,tuning,0,1.0,9897,14306cf160390d2c21ef7a943805828e48ccbf6c3302dee8446fdba7c978ae43,f20c95efa9606ad29cc22338d48c8b74ba7452fef13b146055a9f901db81013d,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,48.095996600000944,618434560,633315328,655990784,671211520,14880768,1244626944,4693803008,0.05,46.84375
attention_lstm,pleia_h3_f2_s42_attention_lstm,tuning,1,0.0,4948,9045076e0bafbd9249b70f81f0b14960b016f8e5a9e1c2620f18219bc7a7ffb1,97aa85ca1b8529524d6eb72957ecf06448228df7b726404089cebc2eb362d640,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,16.97144219999609,628113408,628113408,665448448,665497600,0,1244626944,4743577600,0.05,16.625
attention_lstm,pleia_h3_f2_s42_attention_lstm,tuning,1,1.0,9897,14306cf160390d2c21ef7a943805828e48ccbf6c3302dee8446fdba7c978ae43,f20c95efa9606ad29cc22338d48c8b74ba7452fef13b146055a9f901db81013d,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,48.21922099999938,619446272,634818560,656388096,671801344,15372288,1244626944,4740153344,0.05,47.328125
attention_lstm,pleia_h3_f2_s42_attention_lstm,final_fit,0,,14855,8f8e422dc2da8297203b38dc554162d8877222b9fb902b17a1658f7c432eca27,,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,17.0,src.attention_lstm.AttentionLSTM,35.81605180000042,628375552,628375552,665452544,665452544,0,1244626944,4697935872,0.05,35.203125
