model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.08904110000003129,399613952,399720448,354914304,354963456,106496,1244610560,5099700224,0.05,0.09375
persistence,tuning,False,0.0005780999999842606,385208320,385224704,339918848,339951616,16384,1244151808,5101600768,0.05,0.0
persistence,final_fit,False,0.00044380000326782465,385224704,385224704,339951616,339951616,0,1244151808,5102641152,0.05,0.0
persistence,calibration,False,0.002950900001451373,385224704,385302528,339951616,339951616,77824,1244151808,5102620672,0.05,0.0
persistence,inference,False,0.004368699999758974,385302528,385302528,339951616,339951616,0,1244151808,5102620672,0.05,0.015625
persistence,artifact_serialization,False,0.0007495000027120113,385679360,385699840,340307968,340340736,20480,1244151808,5102387200,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,0.5066426999983378,414564352,518918144,369876992,541806592,104353792,1244610560,4985729024,0.05,0.5
xgboost,tuning,False,2.8564358000003267,390545408,504406016,348217344,526376960,113860608,1244151808,4975968256,0.05,2.765625
xgboost,final_fit,False,0.6883738999968045,501080064,504766464,523059200,526802944,3686400,1244151808,4986228736,0.05,0.65625
xgboost,calibration,False,0.05059129999426659,501854208,501870592,523874304,523878400,16384,1244151808,4988022784,0.05,0.046875
xgboost,inference,False,0.10419019999972079,501870592,501874688,523878400,523894784,4096,1244151808,4986175488,0.05,0.109375
xgboost,artifact_serialization,False,0.005138799999258481,501882880,501915648,523845632,523878400,32768,1244151808,4986716160,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,0.7023454000009224,524566528,548020224,547229696,593616896,23453696,1244610560,4908371968,0.05,0.703125
attention_lstm,tuning,False,76.29643309999665,501071872,633835520,523177984,668975104,132763648,1244151808,4814692352,0.05,74.5625
attention_lstm,final_fit,False,25.133865499999956,629055488,629055488,663953408,664023040,0,1244151808,4838555648,0.05,24.578125
attention_lstm,calibration,False,0.18938730000081705,618487808,620085248,654880768,656076800,1597440,1244151808,4878737408,0.05,0.1875
attention_lstm,inference,False,0.38350899999932153,620085248,622288896,656076800,658157568,2203648,1244151808,4873883648,0.05,0.390625
attention_lstm,artifact_serialization,False,0.004398299999593291,600915968,601067520,628658176,628690944,151552,1244151808,4892110848,0.05,0.0
