model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.09547120000206633,435933184,435986432,389120000,389169152,53248,489132032,4706811904,0.05,0.078125
persistence,tuning,False,0.0005834000039612874,432398336,432422912,384294912,384327680,24576,489213952,4902207488,0.05,0.0
persistence,final_fit,False,0.0008008000004338101,432422912,432422912,384327680,384327680,0,489213952,4902141952,0.05,0.0
persistence,calibration,False,0.002819699999236036,432422912,432549888,384327680,384327680,126976,489213952,4902117376,0.05,0.0
persistence,inference,False,0.004285000002710149,432549888,432943104,384327680,384749568,393216,489213952,4902117376,0.05,0.015625
persistence,artifact_serialization,False,0.0005372000014176592,432939008,432955392,384716800,384749568,16384,489213952,4902117376,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,0.7439057000010507,437170176,540073984,389894144,560451584,102903808,540073984,4615024640,0.05,0.734375
xgboost,tuning,False,3.4355953999984195,437600256,547610624,389353472,564736000,110010368,547618816,4750921728,0.05,3.359375
xgboost,final_fit,False,1.7844410999969114,542220288,550412288,559276032,567549952,8192000,551510016,4762972160,0.05,1.734375
xgboost,calibration,False,0.08020929999474902,543117312,543129600,560197632,560214016,12288,551510016,4775260160,0.05,0.078125
xgboost,inference,False,0.15021739999792771,543125504,543129600,560197632,560214016,4096,551510016,4776804352,0.05,0.140625
xgboost,artifact_serialization,False,0.005521799997950438,543141888,544206848,560164864,561573888,1064960,551510016,4776607744,0.05,0.015625
attention_lstm,artifact_reload_and_predict_verification,False,0.6745014999978594,541646848,566132736,561885184,609275904,24485888,566513664,4599607296,0.05,0.671875
attention_lstm,tuning,False,95.37711919999856,538112000,652877824,557449216,683749376,114765824,652881920,4446834688,0.05,93.4375
attention_lstm,final_fit,False,29.80647339999996,625905664,646848512,647790592,677273600,20942848,652881920,4559745024,0.05,29.171875
attention_lstm,calibration,False,0.19235240000125486,612368384,615825408,633905152,637267968,3457024,652881920,4738174976,0.05,0.1875
attention_lstm,inference,False,0.37402429999929154,615825408,617701376,637251584,639541248,1875968,652881920,4734119936,0.05,0.375
attention_lstm,artifact_serialization,False,0.004629600000043865,617631744,617918464,639057920,639234048,286720,652881920,4735447040,0.05,0.0
