model,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
xgboost,rico_h60_f2_s42_xgboost,tuning,0,0.0,3140,22588283823f5cf623bcc91aa361fa5d19b88e311ff609821b043a108ad9a688,3ae24d650d1c6c4b4fbe67913cd9aaec655ad61aeb14792f09bbc36a7c8e1c2e,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.4513435999979265,426950656,528736256,380882944,548122624,101785600,528736256,5071822848,0.05,0.421875
xgboost,rico_h60_f2_s42_xgboost,tuning,0,1.0,6280,a4c22c28f3d14d68c5ee6227a596d95aec2abeebf95ff53d998f6f5cfe2929fa,c8ca90bbb79db289670910140b103bad17eb2f5fff302bc4c08a14067628ac7a,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.4874316999994335,528822272,531939328,548098048,551092224,3117056,531963904,5051367424,0.05,0.484375
xgboost,rico_h60_f2_s42_xgboost,tuning,1,0.0,3140,22588283823f5cf623bcc91aa361fa5d19b88e311ff609821b043a108ad9a688,3ae24d650d1c6c4b4fbe67913cd9aaec655ad61aeb14792f09bbc36a7c8e1c2e,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.6057791000057478,530329600,533942272,549445632,553127936,3612672,535973888,5046132736,0.05,0.625
xgboost,rico_h60_f2_s42_xgboost,tuning,1,1.0,6280,a4c22c28f3d14d68c5ee6227a596d95aec2abeebf95ff53d998f6f5cfe2929fa,c8ca90bbb79db289670910140b103bad17eb2f5fff302bc4c08a14067628ac7a,"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.8381918000013684,533970944,538648576,553095168,557793280,4677632,540454912,5039124480,0.05,0.828125
xgboost,rico_h60_f2_s42_xgboost,final_fit,0,,9577,b55b01650f54022e47250d3d5d1c109365d4c2a13ac32cf20d2f6a5d68617df3,,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0, 'reg_alpha': 0.0}",42,,xgboost.sklearn.XGBRegressor,0.6550544999990962,535953408,539906048,555069440,559042560,3952640,540454912,5045272576,0.05,0.640625
attention_lstm,rico_h60_f2_s42_attention_lstm,tuning,0,0.0,3140,22588283823f5cf623bcc91aa361fa5d19b88e311ff609821b043a108ad9a688,3ae24d650d1c6c4b4fbe67913cd9aaec655ad61aeb14792f09bbc36a7c8e1c2e,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,7.969533800001955,535441408,626962432,554401792,662695936,91521024,627273728,4960509952,0.05,7.734375
attention_lstm,rico_h60_f2_s42_attention_lstm,tuning,0,1.0,6280,a4c22c28f3d14d68c5ee6227a596d95aec2abeebf95ff53d998f6f5cfe2929fa,c8ca90bbb79db289670910140b103bad17eb2f5fff302bc4c08a14067628ac7a,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,11.567846500001906,623828992,639533056,658444288,674455552,15704064,641236992,4947447808,0.05,11.359375
attention_lstm,rico_h60_f2_s42_attention_lstm,tuning,1,0.0,3140,22588283823f5cf623bcc91aa361fa5d19b88e311ff609821b043a108ad9a688,3ae24d650d1c6c4b4fbe67913cd9aaec655ad61aeb14792f09bbc36a7c8e1c2e,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,7.523488400001952,637394944,637394944,671703040,671703040,0,641236992,4963958784,0.05,7.453125
attention_lstm,rico_h60_f2_s42_attention_lstm,tuning,1,1.0,6280,a4c22c28f3d14d68c5ee6227a596d95aec2abeebf95ff53d998f6f5cfe2929fa,c8ca90bbb79db289670910140b103bad17eb2f5fff302bc4c08a14067628ac7a,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.0005, 'max_epochs': 30, 'patience': 5}",42,,src.attention_lstm.AttentionLSTM,12.724925199996505,629915648,641331200,665956352,676683776,11415552,641761280,4930613248,0.05,12.578125
attention_lstm,rico_h60_f2_s42_attention_lstm,final_fit,0,,9577,b55b01650f54022e47250d3d5d1c109365d4c2a13ac32cf20d2f6a5d68617df3,,"{'hidden_size': 64, 'dropout': 0.2, 'batch_size': 256, 'learning_rate': 0.001, 'max_epochs': 30, 'patience': 5}",42,6.0,src.attention_lstm.AttentionLSTM,8.289894600005937,639991808,640012288,674361344,674410496,20480,642281472,4947349504,0.05,8.15625
