priority,dataset,horizon,outer_fold,model_seed,models,argv,output,command_exists,prerequisite,learned_fit_invocations,scenario_low_model_seconds,scenario_high_model_seconds,estimate_basis,fit_n,original_priority,updated_low_model_seconds,updated_high_model_seconds,batch_order,new_tuning_fits,new_final_fits,point_cells,interval_cells,authorized
3,pleia_energy,1,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.93856703201996,513.0129899572612,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14858,4,106.62340043347808,639.7404026008685,1,8,2,3,6,False
4,pleia_energy,3,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.9272723960598,512.9094067717805,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14855,5,106.60187195041843,639.6112317025105,2,8,2,3,6,False
5,pleia_energy,6,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia_energy"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1""]",outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.90844800279286,512.7367681293127,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14850,6,106.56599114531899,639.3959468719139,3,8,2,3,6,False
47,rico,15,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""15"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/rico_h15_f2_s42_v1""]",outputs/matched_forecasting005/rico_h15_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,46.39083476703122,425.4506704976021,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",12322,48,77.89391542311438,467.36349253868633,4,8,2,3,6,False
48,rico,30,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""30"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/rico_h30_f2_s42_v1""]",outputs/matched_forecasting005/rico_h30_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,42.94597079918237,393.857798925998,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",11407,49,72.10971378278411,432.65828269670465,5,8,2,3,6,False
49,rico,60,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""rico"", ""--horizon"", ""60"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/rico_h60_f2_s42_v1""]",outputs/matched_forecasting005/rico_h60_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,36.05624286348466,330.67205578278976,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",9577,50,60.54131050212356,363.24786301274133,6,8,2,3,6,False
106,bdg2,3,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""3"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/bdg2_h3_f2_s42_v1""]",outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,194.39574438897014,1782.8047330362917,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",51634,107,769.3370194664062,4616.022116798437,7,8,2,3,6,False
107,bdg2,6,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""6"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/bdg2_h6_f2_s42_v1""]",outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,194.20750045630083,1781.078346611614,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",51584,108,768.592028743756,4611.552172462536,8,8,2,3,6,False
108,bdg2,1,1,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""bdg2"", ""--horizon"", ""1"", ""--outer-fold"", ""1"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/bdg2_h1_f1_s42_v1""]",outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,292.4633035523875,2682.183004836449,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",77682,109,1157.4473863382532,6944.68431802952,9,8,2,3,6,False
150,pleia,1,2,42,persistence|xgboost|attention_lstm,"[""C:/cfs_venv/Scripts/python.exe"", ""-B"", ""-m"", ""src.matched_forecasting005"", ""run"", ""--matrix"", ""outputs/amendment005/support_design_v1/experiment_matrix.csv"", ""--dataset"", ""pleia"", ""--horizon"", ""1"", ""--outer-fold"", ""2"", ""--model-seed"", ""42"", ""--out"", ""outputs/matched_forecasting005/pleia_h1_f2_s42_v1""]",outputs/matched_forecasting005/pleia_h1_f2_s42_v1,True,separate scoped authorization; fresh protocol/readiness and current-source identity; no implementation blocker in matched runner,10,55.93856703201996,513.0129899572612,"same-dataset measured model phases / fit rows; min/max across measured horizons x [0.5,3]; no operational timings",14858,151,55.95551240742515,513.0129899572612,10,8,2,3,6,False
