model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.11512180000136141,437211136,437276672,393818112,393879552,65536,487292928,4071358464,0.05,0.109375
persistence,tuning,False,0.0006192000000737607,432840704,432885760,388190208,388243456,45056,488292352,3301019648,0.05,0.0
persistence,final_fit,False,0.0005201999956625514,432885760,432885760,388243456,388243456,0,488292352,3301023744,0.05,0.0
persistence,calibration,False,0.003924500000721309,432885760,432967680,388243456,388255744,81920,488292352,3301048320,0.05,0.0
persistence,inference,False,0.003927400000975467,432967680,433012736,388255744,388296704,45056,488292352,3301142528,0.05,0.015625
persistence,artifact_serialization,False,0.0007771000018692575,433258496,433274880,388263936,388296704,16384,488292352,3301122048,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,0.8291430000026594,438616064,540622848,394444800,563527680,102006784,540622848,3968077824,0.05,0.796875
xgboost,tuning,False,3.8201040999992983,431996928,546492416,383926272,564908032,114495488,547467264,3101323264,0.05,3.625
xgboost,final_fit,False,1.6232746000023326,541884416,549711872,560283648,568143872,7827456,550801408,2844528640,0.05,1.5625
xgboost,calibration,False,0.1166499000028125,542154752,542187520,560541696,560558080,32768,550801408,2846441472,0.05,0.125
xgboost,inference,False,0.20028820000152336,542187520,542191616,560541696,560558080,4096,550801408,2846441472,0.05,0.171875
xgboost,artifact_serialization,False,0.009555500000715256,542208000,543281152,560508928,561930240,1073152,550801408,2886160384,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,0.8292558999964967,543424512,566829056,565432320,609861632,23404544,567713792,3938054144,0.05,0.828125
attention_lstm,tuning,False,114.35792370000127,538906624,650149888,558174208,684748800,111243264,652087296,2805882880,0.05,109.6875
attention_lstm,final_fit,False,42.65705210000306,636665856,648073216,669745152,683536384,11407360,652087296,3117195264,0.05,41.625
attention_lstm,calibration,False,0.23083839999890188,641093632,646356992,674836480,681877504,5263360,652087296,3204628480,0.05,0.234375
attention_lstm,inference,False,0.4855965999959153,646352896,646352896,681861120,681861120,0,652087296,3208904704,0.05,0.4375
attention_lstm,artifact_serialization,False,0.010740500001702458,634314752,634474496,670875648,670908416,159744,652087296,3220692992,0.05,0.0
