model,phase,nested,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
persistence,artifact_reload_and_predict_verification,False,0.10756509999919217,533680128,533700608,608219136,608268288,20480,533700608,4317220864,0.05,0.109375
persistence,tuning,False,0.0007557999997516163,338079744,338096128,293519360,293556224,16384,339193856,4534059008,0.05,0.0
persistence,final_fit,False,0.0005555000025196932,338096128,338096128,293556224,293556224,0,339193856,4534059008,0.05,0.015625
persistence,calibration,False,0.0010201000040979125,338096128,338104320,293556224,293556224,8192,339193856,4534050816,0.05,0.0
persistence,inference,False,0.0012683000022661872,338096128,338104320,293556224,293556224,8192,339193856,4534050816,0.05,0.0
persistence,artifact_serialization,False,0.0006364999935613014,338087936,338104320,293519360,293556224,16384,339193856,4534050816,0.05,0.0
xgboost,artifact_reload_and_predict_verification,False,0.12756290000106674,535814144,535871488,609009664,609058816,57344,535871488,4317835264,0.05,0.125
xgboost,tuning,False,0.6327990000063437,338120704,444071936,293519360,466898944,105951232,444092416,4414586880,0.05,0.515625
xgboost,final_fit,False,0.010208499996224418,444067840,444194816,466882560,467009536,126976,444219392,4416491520,0.05,0.015625
xgboost,calibration,False,0.005718000000342727,444194816,444198912,467009536,467009536,4096,444219392,4416454656,0.05,0.0
xgboost,inference,False,0.006403700004739221,444198912,444198912,467009536,467009536,0,444219392,4416294912,0.05,0.0
xgboost,artifact_serialization,False,0.0011538999970071018,444182528,444203008,466976768,467009536,20480,444219392,4416311296,0.05,0.0
attention_lstm,artifact_reload_and_predict_verification,False,0.1345415000032517,536367104,536494080,609009664,609058816,126976,537989120,4300861440,0.05,0.140625
attention_lstm,tuning,False,2.6270380999994813,444473344,528424960,467341312,596213760,83951616,528441344,4331864064,0.05,2.015625
attention_lstm,final_fit,False,0.06255009999586036,528420864,529051648,596197376,596877312,630784,529051648,4331528192,0.05,0.0625
attention_lstm,calibration,False,0.0034435999987181276,529027072,529027072,596811776,596811776,0,529051648,4331540480,0.05,0.0
attention_lstm,inference,False,0.004701999998360407,529027072,529469440,596811776,602030080,442368,529473536,4331540480,0.05,0.03125
attention_lstm,artifact_serialization,False,0.021249499994155485,529477632,529649664,601997312,602030080,172032,529653760,4326752256,0.05,0.015625
