model,unit,phase,candidate_id,inner_fold,n_train,train_row_id_hash,validation_row_id_hash,parameters,seed,final_epochs,estimator_class,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
xgboost,fixture_energy_h3_f1_s43_xgboost,tuning,0,0.0,125,61851e5eaae501146582fdbe76d75d55f7f22bdc9304d4881a5dd695b121c1c6,36d960810c90335d53a0e2ef1192d96e55c81fb6abb5bbe146eb72ec59774e42,"{'n_estimators': 2, 'max_depth': 2}",43,,xgboost.sklearn.XGBRegressor,0.1420263000036357,338526208,444153856,294264832,466841600,105627648,444153856,4400156672,0.05,0.125
xgboost,fixture_energy_h3_f1_s43_xgboost,tuning,0,1.0,251,722d39ab3d4aeefbf9380e6a9d41ed8f67a8b49d13363f20515c696cc0333c32,bbf924e750115bb8367f53d817ec0163e197b38bef758f104219507280473ce5,"{'n_estimators': 2, 'max_depth': 2}",43,,xgboost.sklearn.XGBRegressor,0.0057594999962020665,444243968,444411904,466808832,467001344,167936,444411904,4402712576,0.05,0.015625
xgboost,fixture_energy_h3_f1_s43_xgboost,tuning,1,0.0,125,61851e5eaae501146582fdbe76d75d55f7f22bdc9304d4881a5dd695b121c1c6,36d960810c90335d53a0e2ef1192d96e55c81fb6abb5bbe146eb72ec59774e42,"{'n_estimators': 3, 'max_depth': 2}",43,,xgboost.sklearn.XGBRegressor,0.0071553999950992875,444399616,444432384,466968576,467001344,32768,444436480,4395483136,0.05,0.0
xgboost,fixture_energy_h3_f1_s43_xgboost,tuning,1,1.0,251,722d39ab3d4aeefbf9380e6a9d41ed8f67a8b49d13363f20515c696cc0333c32,bbf924e750115bb8367f53d817ec0163e197b38bef758f104219507280473ce5,"{'n_estimators': 3, 'max_depth': 2}",43,,xgboost.sklearn.XGBRegressor,0.005615499998384621,444416000,444436480,466968576,467001344,20480,444440576,4408020992,0.05,0.0
xgboost,fixture_energy_h3_f1_s43_xgboost,final_fit,1,,386,3317fb1cc8c2edbddccbd7566385f31c562b87f480b64f0741f2e2fed5558507,,"{'n_estimators': 3, 'max_depth': 2}",43,,xgboost.sklearn.XGBRegressor,0.006240700000489596,444420096,444461056,466968576,467001344,40960,444465152,4407029760,0.05,0.015625
attention_lstm,fixture_energy_h3_f1_s43_attention_lstm,tuning,0,0.0,125,61851e5eaae501146582fdbe76d75d55f7f22bdc9304d4881a5dd695b121c1c6,36d960810c90335d53a0e2ef1192d96e55c81fb6abb5bbe146eb72ec59774e42,"{'hidden_size': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 2, 'patience': 1}",43,,src.attention_lstm.AttentionLSTM,1.6890863000007812,444661760,526450688,467263488,589381632,81788928,526454784,4340146176,0.05,1.59375
attention_lstm,fixture_energy_h3_f1_s43_attention_lstm,tuning,0,1.0,251,722d39ab3d4aeefbf9380e6a9d41ed8f67a8b49d13363f20515c696cc0333c32,bbf924e750115bb8367f53d817ec0163e197b38bef758f104219507280473ce5,"{'hidden_size': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 2, 'patience': 1}",43,,src.attention_lstm.AttentionLSTM,0.045935499998449814,526450688,528130048,589348864,595427328,1679360,528134144,4345647104,0.05,0.046875
attention_lstm,fixture_energy_h3_f1_s43_attention_lstm,tuning,1,0.0,125,61851e5eaae501146582fdbe76d75d55f7f22bdc9304d4881a5dd695b121c1c6,36d960810c90335d53a0e2ef1192d96e55c81fb6abb5bbe146eb72ec59774e42,"{'hidden_size': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.002, 'max_epochs': 2, 'patience': 1}",43,,src.attention_lstm.AttentionLSTM,0.026915599999483675,528117760,528150528,595394560,595427328,32768,528154624,4336177152,0.05,0.03125
attention_lstm,fixture_energy_h3_f1_s43_attention_lstm,tuning,1,1.0,251,722d39ab3d4aeefbf9380e6a9d41ed8f67a8b49d13363f20515c696cc0333c32,bbf924e750115bb8367f53d817ec0163e197b38bef758f104219507280473ce5,"{'hidden_size': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.002, 'max_epochs': 2, 'patience': 1}",43,,src.attention_lstm.AttentionLSTM,0.05487629999697674,528142336,528171008,595394560,595443712,28672,528171008,4339875840,0.05,0.0625
attention_lstm,fixture_energy_h3_f1_s43_attention_lstm,final_fit,1,,386,3317fb1cc8c2edbddccbd7566385f31c562b87f480b64f0741f2e2fed5558507,,"{'hidden_size': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.002, 'max_epochs': 2, 'patience': 1}",43,2.0,src.attention_lstm.AttentionLSTM,0.06008770000335062,528175104,528920576,595394560,596197376,745472,528920576,4336971776,0.05,0.0625
