stage,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
dscp_assignment_000000_000064,0.6937677999958396,576856064,576884736,661229568,661278720,28672,1035825152,2540675072,0.05,0.6875
dscp_assignment_000064_000576,5.578880299988668,576864256,576884736,661229568,661278720,20480,1035825152,2505003008,0.05,5.515625
dscp_assignment_000576_001088,5.642199200010509,576864256,576884736,661229568,661278720,20480,1035825152,2527592448,0.05,5.578125
dscp_assignment_001088_001600,5.676567400005297,576864256,576884736,661229568,661278720,20480,1035825152,2524999680,0.05,5.546875
dscp_assignment_001600_002112,5.588308799997321,576864256,576884736,661229568,661278720,20480,1035825152,2525642752,0.05,5.46875
dscp_assignment_002112_002624,5.667175299997325,576864256,576884736,661229568,661278720,20480,1035825152,2453184512,0.05,5.609375
dscp_assignment_002624_003136,5.665720999997575,576864256,576884736,661229568,661278720,20480,1035825152,2453467136,0.05,5.484375
dscp_assignment_003136_003648,5.720606899994891,576864256,576884736,661229568,661278720,20480,1035825152,2460446720,0.05,5.65625
dscp_assignment_003648_004160,5.857699999993201,576864256,576884736,661229568,661278720,20480,1035825152,2427260928,0.05,5.734375
dscp_assignment_004160_004672,5.703372400006629,576864256,576884736,661229568,661475328,20480,1035825152,2437701632,0.05,5.640625
dscp_assignment_004672_005184,5.757503000000725,576831488,576913408,661426176,661475328,81920,1035825152,2449104896,0.05,5.703125
dscp_assignment_005184_005696,5.762509799998952,576892928,576913408,661426176,661475328,20480,1035825152,2507247616,0.05,5.640625
dscp_assignment_005696_006208,5.710038299992448,576892928,576913408,661426176,661475328,20480,1035825152,2489704448,0.05,5.640625
dscp_assignment_006208_006720,5.810685899996315,576892928,576913408,661426176,661475328,20480,1035825152,2488520704,0.05,5.671875
dscp_assignment_006720_007232,5.812765700000455,576892928,576913408,661426176,661475328,20480,1035825152,2472546304,0.05,5.546875
dscp_assignment_007232_007744,5.764647400006652,576892928,576913408,661426176,661475328,20480,1035825152,2470301696,0.05,5.609375
dscp_assignment_007744_008256,5.78763260001142,576892928,576913408,661426176,661475328,20480,1035825152,2463649792,0.05,5.5625
dscp_assignment_008256_008768,5.827863099999377,576892928,576913408,661426176,661475328,20480,1035825152,2463281152,0.05,5.703125
dscp_assignment_008768_009280,5.787705700000515,576892928,576913408,661426176,661475328,20480,1035825152,2535469056,0.05,5.5625
dscp_assignment_009280_009792,5.699643600004492,576892928,576913408,661426176,661475328,20480,1035825152,2533212160,0.05,5.59375
dscp_assignment_009792_010304,5.507584399994812,576892928,576913408,661426176,661475328,20480,1035825152,2529034240,0.05,5.484375
dscp_assignment_010304_010816,5.700743000008515,576892928,576913408,661426176,661475328,20480,1035825152,2538696704,0.05,5.625
dscp_assignment_010816_011328,5.6894177999929525,576892928,576913408,661426176,661475328,20480,1035825152,2517278720,0.05,5.5625
dscp_assignment_011328_011840,5.715452100004768,576892928,576913408,661426176,661475328,20480,1035825152,2478399488,0.05,5.625
dscp_assignment_011840_012352,5.823523200000636,576892928,576913408,661426176,661475328,20480,1035825152,2446958592,0.05,5.703125
dscp_assignment_012352_012864,5.806777300007525,576892928,576913408,661426176,661475328,20480,1035825152,2489479168,0.05,5.75
dscp_assignment_012864_013376,5.893767599991406,576892928,576974848,661426176,661508096,81920,1035825152,2428452864,0.05,5.859375
dscp_assignment_013376_013888,5.816043200000422,576954368,576974848,661458944,661508096,20480,1035825152,2515439616,0.05,5.609375
dscp_assignment_013888_014400,5.854492200000095,576954368,576974848,661458944,661508096,20480,1035825152,2490892288,0.05,5.65625
dscp_assignment_014400_014912,5.668727399999625,576954368,576974848,661458944,661508096,20480,1035825152,2556198912,0.05,5.578125
dscp_assignment_014912_015424,5.719200500010629,576954368,576974848,661458944,661508096,20480,1035825152,2550747136,0.05,5.65625
dscp_assignment_015424_015936,5.738292900001397,576954368,576974848,661458944,661508096,20480,1035825152,2541531136,0.05,5.671875
dscp_assignment_015936_016448,5.766098299995065,576954368,576974848,661458944,661508096,20480,1035825152,2533384192,0.05,5.609375
dscp_assignment_016448_016960,5.71166169999924,576954368,576974848,661458944,661508096,20480,1035825152,2517766144,0.05,5.640625
dscp_assignment_016960_017472,5.7239223000069614,576954368,576974848,661458944,661508096,20480,1035825152,2519957504,0.05,5.6875
dscp_assignment_017472_017984,5.583665400001337,576954368,577875968,661458944,662409216,921600,1035825152,2525933568,0.05,5.5
dscp_assignment_017984_018496,5.647777899997891,576954368,576974848,661458944,661508096,20480,1035825152,2498596864,0.05,5.53125
dscp_assignment_018496_019008,5.655319299999974,576954368,576974848,661458944,661508096,20480,1035825152,2496118784,0.05,5.59375
dscp_assignment_019008_019520,5.634144900002866,576954368,576974848,661458944,661508096,20480,1035825152,2479230976,0.05,5.609375
dscp_assignment_019520_020032,5.579745499999262,576954368,576974848,661458944,661508096,20480,1035825152,2441977856,0.05,5.5
dscp_assignment_020032_020544,5.625274000005447,576954368,576974848,661458944,661508096,20480,1035825152,2491125760,0.05,5.484375
dscp_assignment_020544_021056,5.5605617000110215,576954368,576974848,661458944,661508096,20480,1035825152,2459062272,0.05,5.453125
dscp_assignment_021056_021568,5.569002200005343,576954368,576974848,661458944,661508096,20480,1035825152,2461081600,0.05,5.5
dscp_assignment_021568_022080,5.532815500002471,576954368,576974848,661458944,661508096,20480,1035825152,2480078848,0.05,5.53125
dscp_assignment_022080_022592,5.60489219998999,576954368,576974848,661458944,661508096,20480,1035825152,2489335808,0.05,5.546875
dscp_assignment_022592_023104,5.581020600002375,576937984,576958464,661426176,661475328,20480,1035825152,2489556992,0.05,5.53125
dscp_assignment_023104_023616,5.59733380000398,576937984,576958464,661426176,661475328,20480,1035825152,2533564416,0.05,5.53125
dscp_assignment_023616_024128,5.716671899994253,576937984,576958464,661426176,661475328,20480,1035825152,2501689344,0.05,5.5625
dscp_assignment_024128_024640,5.846688499994343,576937984,576958464,661426176,661475328,20480,1035825152,2510729216,0.05,5.78125
dscp_assignment_024640_025152,5.766206000000238,576937984,576958464,661426176,661475328,20480,1035825152,2483478528,0.05,5.71875
dscp_assignment_025152_025664,5.698061700008111,576937984,576958464,661426176,661475328,20480,1035825152,2459508736,0.05,5.640625
dscp_assignment_025664_026176,5.698498199999449,576937984,576958464,661426176,661475328,20480,1035825152,2464440320,0.05,5.640625
dscp_assignment_026176_026688,5.719520700004068,576937984,576958464,661426176,661475328,20480,1035825152,2460618752,0.05,5.65625
dscp_assignment_026688_027200,5.834775499999523,576937984,576958464,661426176,661475328,20480,1035825152,2455392256,0.05,5.703125
dscp_assignment_027200_027712,5.790663000007044,576937984,576958464,661426176,661475328,20480,1035825152,2440335360,0.05,5.6875
dscp_assignment_027712_028224,5.897310200001812,576937984,576958464,661426176,661475328,20480,1035825152,2470666240,0.05,5.53125
dscp_assignment_028224_028736,5.900587700001779,576937984,576958464,661426176,661475328,20480,1035825152,2482319360,0.05,5.671875
dscp_assignment_028736_029248,5.837325799991959,576937984,576958464,661426176,661475328,20480,1035825152,2470928384,0.05,5.640625
dscp_assignment_029248_029760,5.901214600002277,576937984,576958464,661426176,661475328,20480,1035825152,2468241408,0.05,5.734375
dscp_assignment_029760_030272,5.861629199993331,576937984,576958464,661426176,661475328,20480,1035825152,2469343232,0.05,5.59375
dscp_assignment_030272_030784,5.815088600007584,576937984,576958464,661426176,661475328,20480,1035825152,2467778560,0.05,5.75
dscp_assignment_030784_031296,5.79722789999505,576937984,576958464,661426176,661475328,20480,1035825152,2357329920,0.05,5.734375
dscp_assignment_031296_031808,5.731051300012041,576937984,576958464,661426176,661475328,20480,1035825152,2338119680,0.05,5.640625
dscp_assignment_031808_032320,5.764016700006323,576937984,576958464,661426176,661475328,20480,1035825152,2532192256,0.05,5.71875
dscp_assignment_032320_032832,5.73108769999817,576937984,576958464,661426176,661475328,20480,1035825152,2500554752,0.05,5.59375
dscp_assignment_032832_033344,5.907197900000028,576937984,576958464,661426176,661475328,20480,1035825152,2492071936,0.05,5.65625
dscp_assignment_033344_033856,5.804155499994522,576937984,576958464,661426176,661475328,20480,1035825152,2510127104,0.05,5.546875
dscp_assignment_033856_034368,5.831786599999759,576937984,576958464,661426176,661475328,20480,1035825152,2515361792,0.05,5.53125
dscp_assignment_034368_034590,2.4935125000047265,576937984,576958464,661426176,661475328,20480,1035825152,2532519936,0.05,2.421875
dscp_fit,0.732246400002623,575594496,608870400,627609600,693346304,33275904,1035825152,2522017792,0.05,0.6875
dscp_joint,10.236799799997243,555524096,664272896,609480704,734162944,108748800,1035825152,2464198656,0.05,10.078125
historical_h1,5.468926000001375,472829952,617259008,426102784,652795904,144429056,1035825152,2363555840,0.05,5.34375
historical_h3,5.287350200000219,604897280,630390784,655376384,698064896,25493504,1035825152,2385629184,0.05,5.15625
historical_h6,5.039659000001848,619446272,640389120,669814784,707715072,20942848,1035825152,2443452416,0.05,4.96875
owner_cal_h1_cqr_l90,1.5879360999970231,590073856,593162240,607502336,610615296,3088384,1035825152,2370686976,0.05,1.546875
owner_cal_h1_cqr_l95,1.5548909999924945,602472448,605532160,619986944,623104000,3059712,1035825152,2416619520,0.05,1.546875
owner_cal_h1_enbpi,1.3022477000049548,600412160,613609472,619208704,631209984,13197312,1035825152,2359918592,0.05,1.234375
owner_cal_h3_cqr_l90,1.6004369000002043,605249536,608325632,656400384,659509248,3076096,1035825152,2400419840,0.05,1.53125
owner_cal_h3_cqr_l95,1.60922009999922,607277056,610349056,658526208,661639168,3072000,1035825152,2412281856,0.05,1.5625
owner_cal_h3_enbpi,1.313701899998705,604471296,616886272,656310272,667844608,12414976,1035825152,2400907264,0.05,1.296875
owner_cal_h6_cqr_l90,1.5454341000004206,618004480,621080576,668393472,671498240,3076096,1035825152,2497912832,0.05,1.53125
owner_cal_h6_cqr_l95,1.6323893999942811,619966464,623034368,671309824,674418688,3067904,1035825152,2533998592,0.05,1.59375
owner_cal_h6_enbpi,1.3222196999995504,614223872,626728960,666263552,678100992,12505088,1035825152,2489704448,0.05,1.28125
owner_fit_h1_cqr_l90,13.194701699991128,591556608,613781504,611532800,631328768,22224896,1035825152,2333335552,0.05,12.84375
owner_fit_h1_cqr_l95,12.706061300006695,599674880,626233344,620109824,643813376,26558464,1035825152,2337107968,0.05,12.453125
owner_fit_h1_enbpi,3.6144353999989107,599756800,639098880,620355584,657891328,39342080,1035825152,2354356224,0.05,3.53125
owner_fit_h3_cqr_l90,13.573347600002307,610287616,630046720,662745088,681267200,19759104,1035825152,2312024064,0.05,13.140625
owner_fit_h3_cqr_l95,12.999914300002274,603504640,631029760,656220160,682340352,27525120,1035825152,2348404736,0.05,12.625
owner_fit_h3_enbpi,3.5837610000016866,604729344,641507328,657973248,693673984,36777984,1035825152,2392870912,0.05,3.484375
owner_fit_h6_cqr_l90,13.078522499999963,621416448,641732608,672768000,692187136,20316160,1035825152,2349613056,0.05,12.921875
owner_fit_h6_cqr_l95,13.298423500003992,614924288,643694592,667492352,695099392,28770304,1035825152,2390634496,0.05,12.765625
owner_fit_h6_enbpi,3.628523999999743,614887424,650735616,668073984,703131648,35848192,1035825152,2479267840,0.05,3.625
preparation_h1,0.0005488000024342909,472825856,472842240,426102784,426135552,16384,1035825152,2532466688,0.05,0.0
preparation_h3,0.0006531999970320612,604897280,604913664,655376384,655409152,16384,1035825152,2460303360,0.05,0.0
preparation_h6,0.0005698000022675842,619446272,619462656,669814784,669847552,16384,1035825152,2488909824,0.05,0.0
raw_h1_cqr_l90,13.44486259999394,587452416,604295168,604852224,621834240,16842752,1035825152,2356932608,0.05,12.984375
raw_h1_cqr_l95,13.22022200000356,599814144,615129088,617340928,632713216,15314944,1035825152,2383712256,0.05,13.015625
raw_h1_enbpi,14.942930600009277,603000832,689311744,620515328,740511744,86310912,1035825152,2303787008,0.05,14.828125
raw_h3_cqr_l90,13.253573599999072,602611712,617975808,653754368,668573696,15364096,1035825152,2358657024,0.05,13.03125
raw_h3_cqr_l95,13.431089299992891,604631040,621228032,655880192,672460800,16596992,1035825152,2403000320,0.05,12.9375
raw_h3_enbpi,15.959155100004864,606240768,694292480,658120704,746123264,88051712,1035825152,2307325952,0.05,15.71875
raw_h6_cqr_l90,13.093674799994915,615366656,631230464,665751552,682209280,15863808,1035825152,2393145344,0.05,13.03125
raw_h6_cqr_l95,13.528340399992885,617320448,633475072,668667904,685150208,16154624,1035825152,2492944384,0.05,13.4375
raw_h6_enbpi,15.426503099995898,616169472,703266816,667430912,754262016,87097344,1035825152,2404941824,0.05,15.15625
seasonal_h1,0.21287229999143165,572850176,596164608,592830464,628781056,23314432,1035825152,2363478016,0.05,0.21875
seasonal_h3,0.22197669999150094,595021824,614514688,647446528,679985152,19492864,1035825152,2381922304,0.05,0.21875
seasonal_h6,0.20427299999573734,605184000,622018560,656789504,686563328,16834560,1035825152,2486267904,0.05,0.1875
stream_h1_l90_cqr,11.026021500001661,589000704,623243264,613052416,640786432,34242560,1035825152,2321027072,0.05,10.65625
stream_h1_l90_dscp,8.140630499998224,580812800,607686656,665030656,692068352,26873856,1035825152,2450128896,0.05,7.84375
stream_h1_l90_quantile_uncalibrated,11.471165800001472,587849728,622178304,605155328,640569344,34328576,1035825152,2334351360,0.05,10.90625
stream_h1_l90_recentred_enbpi_static,10.250183900003321,600567808,621281280,651517952,672382976,20713472,1035825152,2312482816,0.05,10.078125
stream_h1_l90_recentred_enbpi_updated,22.638773099999526,591761408,646934528,646172672,697643008,55173120,1035825152,2312265728,0.05,22.5
stream_h1_l95_cqr,10.204733399994439,591994880,620990464,613949440,639156224,28995584,1035825152,2365071360,0.05,10.125
stream_h1_l95_dscp,7.835737600005814,575623168,606679040,659378176,691081216,31055872,1035825152,2442358784,0.05,7.59375
