model_seed,horizon,alias,requested_model_seed,source_model_seed,source_stage,source_hashes,target_support_hash,learned_fits
43,1,True,43,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h1,"{'calibration.csv.gz': 'da7b4af57fc65c92d3b03708bfd9973d7dec55396abecd50f7b58195da6fc5b9', 'interval_90.csv.gz': '09d6c18dd4048ba84ae88964e8d244d1ace8829d4f7c250eaf52d6ea08473ced', 'interval_95.csv.gz': '9e68df442ffb436039be0a9d2cd2ef9f51efe42d5fef22a7412e051b8f047331', 'point.json': 'b9277335e227cc38cdb62b1121e6624753225679dc8b0517c5493646b0b9e77b', 'calibration.json': '7cacf33210875ac500b244276ee294dd312c6a22ef01138553ff6f2c13e5394b'}",b57c00d734ecf2193bf555669b2e5662f0e8634317096680bd62d91bca9d41b9,0
43,3,True,43,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h3,"{'calibration.csv.gz': '4936eb4ac20166a230df308be342aedd3cafb5ec2a199340e1fa7f53adad1fe7', 'interval_90.csv.gz': '9174a9ac965c499264b30a1b059012afa4111a213d06917f2b96f2c7f43e8e22', 'interval_95.csv.gz': '91271afe441f14970ba790601052255cee384eeeed34033f6c0a6d8e2b621ad0', 'point.json': 'd30ad1a6c85650981b7c306b03524d83e43c26598be4a214fac6e89219c65b3b', 'calibration.json': '3dd08d3b9972800aa1579ddb7649a1ddd6a1a2c066e0e5d46bf7983dd8c40cb9'}",c96bb83824e1a9ba2a796cae7018992bad567e577c67a2840e377bec1990828c,0
43,6,True,43,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h6,"{'calibration.csv.gz': '5c74962a4bb33ecacc8c1db016ae392e5651557823dfad5593e3591deb60354e', 'interval_90.csv.gz': '0f72a5fbe3b8051d8f2bdb9422d797e6e661c42cdf5e1f29380f0b19d483fea3', 'interval_95.csv.gz': 'e655397feaf61434058bf4dd924d5a38604d3e1a8fc36d1ad20096fe1762c315', 'point.json': 'bdc0162562fce9b97a1175590c60149f8991e708ad2defc2d1b4566e06243d22', 'calibration.json': 'b8c70b3eeb7e43cae3bc45b4d3333700f95a49f1032b87511844270549030de6'}",37fd04542c9ea0f00adda74f2d1670855cd47ee8d91e3a242b6c76c5ce0d762f,0
44,1,True,44,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h1,"{'calibration.csv.gz': 'da7b4af57fc65c92d3b03708bfd9973d7dec55396abecd50f7b58195da6fc5b9', 'interval_90.csv.gz': '09d6c18dd4048ba84ae88964e8d244d1ace8829d4f7c250eaf52d6ea08473ced', 'interval_95.csv.gz': '9e68df442ffb436039be0a9d2cd2ef9f51efe42d5fef22a7412e051b8f047331', 'point.json': 'b9277335e227cc38cdb62b1121e6624753225679dc8b0517c5493646b0b9e77b', 'calibration.json': '7cacf33210875ac500b244276ee294dd312c6a22ef01138553ff6f2c13e5394b'}",b57c00d734ecf2193bf555669b2e5662f0e8634317096680bd62d91bca9d41b9,0
44,3,True,44,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h3,"{'calibration.csv.gz': '4936eb4ac20166a230df308be342aedd3cafb5ec2a199340e1fa7f53adad1fe7', 'interval_90.csv.gz': '9174a9ac965c499264b30a1b059012afa4111a213d06917f2b96f2c7f43e8e22', 'interval_95.csv.gz': '91271afe441f14970ba790601052255cee384eeeed34033f6c0a6d8e2b621ad0', 'point.json': 'd30ad1a6c85650981b7c306b03524d83e43c26598be4a214fac6e89219c65b3b', 'calibration.json': '3dd08d3b9972800aa1579ddb7649a1ddd6a1a2c066e0e5d46bf7983dd8c40cb9'}",c96bb83824e1a9ba2a796cae7018992bad567e577c67a2840e377bec1990828c,0
44,6,True,44,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h6,"{'calibration.csv.gz': '5c74962a4bb33ecacc8c1db016ae392e5651557823dfad5593e3591deb60354e', 'interval_90.csv.gz': '0f72a5fbe3b8051d8f2bdb9422d797e6e661c42cdf5e1f29380f0b19d483fea3', 'interval_95.csv.gz': 'e655397feaf61434058bf4dd924d5a38604d3e1a8fc36d1ad20096fe1762c315', 'point.json': 'bdc0162562fce9b97a1175590c60149f8991e708ad2defc2d1b4566e06243d22', 'calibration.json': 'b8c70b3eeb7e43cae3bc45b4d3333700f95a49f1032b87511844270549030de6'}",37fd04542c9ea0f00adda74f2d1670855cd47ee8d91e3a242b6c76c5ce0d762f,0
45,1,True,45,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h1,"{'calibration.csv.gz': 'da7b4af57fc65c92d3b03708bfd9973d7dec55396abecd50f7b58195da6fc5b9', 'interval_90.csv.gz': '09d6c18dd4048ba84ae88964e8d244d1ace8829d4f7c250eaf52d6ea08473ced', 'interval_95.csv.gz': '9e68df442ffb436039be0a9d2cd2ef9f51efe42d5fef22a7412e051b8f047331', 'point.json': 'b9277335e227cc38cdb62b1121e6624753225679dc8b0517c5493646b0b9e77b', 'calibration.json': '7cacf33210875ac500b244276ee294dd312c6a22ef01138553ff6f2c13e5394b'}",b57c00d734ecf2193bf555669b2e5662f0e8634317096680bd62d91bca9d41b9,0
45,3,True,45,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h3,"{'calibration.csv.gz': '4936eb4ac20166a230df308be342aedd3cafb5ec2a199340e1fa7f53adad1fe7', 'interval_90.csv.gz': '9174a9ac965c499264b30a1b059012afa4111a213d06917f2b96f2c7f43e8e22', 'interval_95.csv.gz': '91271afe441f14970ba790601052255cee384eeeed34033f6c0a6d8e2b621ad0', 'point.json': 'd30ad1a6c85650981b7c306b03524d83e43c26598be4a214fac6e89219c65b3b', 'calibration.json': '3dd08d3b9972800aa1579ddb7649a1ddd6a1a2c066e0e5d46bf7983dd8c40cb9'}",c96bb83824e1a9ba2a796cae7018992bad567e577c67a2840e377bec1990828c,0
45,6,True,45,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h6,"{'calibration.csv.gz': '5c74962a4bb33ecacc8c1db016ae392e5651557823dfad5593e3591deb60354e', 'interval_90.csv.gz': '0f72a5fbe3b8051d8f2bdb9422d797e6e661c42cdf5e1f29380f0b19d483fea3', 'interval_95.csv.gz': 'e655397feaf61434058bf4dd924d5a38604d3e1a8fc36d1ad20096fe1762c315', 'point.json': 'bdc0162562fce9b97a1175590c60149f8991e708ad2defc2d1b4566e06243d22', 'calibration.json': 'b8c70b3eeb7e43cae3bc45b4d3333700f95a49f1032b87511844270549030de6'}",37fd04542c9ea0f00adda74f2d1670855cd47ee8d91e3a242b6c76c5ce0d762f,0
46,1,True,46,42,smart_building_conformal\outputs\matched_intervals005\bdg2_f2_s42_v1\stages\seasonal_h1,"{'calibration.csv.gz': 'da7b4af57fc65c92d3b03708bfd9973d7dec55396abecd50f7b58195da6fc5b9', 'interval_90.csv.gz': '09d6c18dd4048ba84ae88964e8d244d1ace8829d4f7c250eaf52d6ea08473ced', 'interval_95.csv.gz': '9e68df442ffb436039be0a9d2cd2ef9f51efe42d5fef22a7412e051b8f047331', 'point.json': 'b9277335e227cc38cdb62b1121e6624753225679dc8b0517c5493646b0b9e77b', 'calibration.json': '7cacf33210875ac500b244276ee294dd312c6a22ef01138553ff6f2c13e5394b'}",b57c00d734ecf2193bf555669b2e5662f0e8634317096680bd62d91bca9d41b9,0
