model_seed,horizon,level,left_method,right_method,coverage_difference,absolute_gap_difference,mpiw_difference,winkler_difference
42,1,0.9,cqr,quantile_uncalibrated,0.0496675339693553,-0.0496675339693554,4.51929270155625,-1.1911625572171
42,1,0.9,recentred_enbpi_updated,recentred_enbpi_static,0.00248626770742988,0.0012142237640936,-15.2532569325185,-50.1515782769565
42,1,0.95,cqr,quantile_uncalibrated,0.0638045677941601,-0.0638045677941601,8.36373957955351,-2.0790366649814
42,1,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.00456779416016195,-0.0032668401272043,-26.5799006341957,-78.0216198012731
42,3,0.9,cqr,quantile_uncalibrated,0.0528765539173172,-0.0528765539173172,6.62838019683423,-2.48611470193276
42,3,0.9,recentred_enbpi_updated,recentred_enbpi_static,0.00341139057531059,0.0034113905753107,-22.1027831594981,-76.006015112417
42,3,0.95,cqr,quantile_uncalibrated,0.081468632552761,-0.0787221740387394,14.6717134169411,-5.3443704504468
42,3,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.00401850245735758,0.0026019080659151,-45.3374807064513,-120.492215701503
42,6,0.9,cqr,quantile_uncalibrated,0.0839549002601908,-0.0839549002601908,11.6918030947745,-3.75952527976384
42,6,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.00988725065047702,-0.0031801098583406,-28.1340050099542,-91.3189882302081
42,6,0.95,cqr,quantile_uncalibrated,0.0880023128071697,-0.0744434807747904,26.6109000679547,-5.43446678158688
42,6,0.95,recentred_enbpi_updated,recentred_enbpi_static,-0.00323793003758299,0.000838392599017,-62.841931144714,-149.680813765825
43,1,0.9,cqr,quantile_uncalibrated,0.0620699624168836,-0.0620699624168836,4.28993195148763,-1.1882643838627
43,1,0.9,recentred_enbpi_updated,recentred_enbpi_static,0.00517490604220883,-0.000722752240531976,-13.9867151427721,-50.78774941789
43,1,0.95,cqr,quantile_uncalibrated,0.0667823070251518,-0.0659439144261346,9.09598514217873,-2.10652929573322
43,1,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.0061289389997109,-0.00413414281584268,-24.8633811547601,-79.2664453163366
43,3,0.9,cqr,quantile_uncalibrated,0.054322058398381,-0.054322058398381,6.4985417546385,-2.36626160026117
43,3,0.9,recentred_enbpi_updated,recentred_enbpi_static,0.00219716681121718,0.00219716681121718,-20.873534063995,-76.8007767898218
43,3,0.95,cqr,quantile_uncalibrated,0.0839838103498121,-0.0764382769586585,18.1617057631574,-6.62384129315984
43,3,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.00494362532523851,-0.000346921075455309,-42.2487649829505,-123.102527107106
43,6,0.9,cqr,quantile_uncalibrated,0.068256721595837,-0.068256721595837,10.9286593610641,-4.18881252703423
43,6,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.00462561433940445,-0.00213934663197446,-26.1965265800022,-93.3062764948353
43,6,0.95,cqr,quantile_uncalibrated,0.087308470656259,-0.0753107834634286,26.8298082719439,-6.23452569984829
43,6,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.00248626770742988,-0.00248626770742988,-55.0373370354451,-150.61914389497
44,1,0.9,cqr,quantile_uncalibrated,0.0425845620121422,-0.0425845620121422,4.48562311345688,-1.62706152793434
44,1,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.000318010985834061,-0.000318010985834061,-17.265783570237,-50.202015145146
44,1,0.95,cqr,quantile_uncalibrated,0.0661751951431049,-0.0656837236195431,9.47282347004879,-3.25497753124259
44,1,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.00297773923099165,-0.000173460537727599,-29.1268721641172,-77.5396609795732
44,3,0.9,cqr,quantile_uncalibrated,0.0557386527898237,-0.0557386527898237,6.41131705049094,-2.43662931344437
44,3,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.00511708586296622,-0.00511708586296622,-27.6702358387659,-75.8679309385219
44,3,0.95,cqr,quantile_uncalibrated,0.0801965886094247,-0.0762359063313096,15.198423360952,-5.64054583362091
44,3,0.95,recentred_enbpi_updated,recentred_enbpi_static,8.67302688637439e-05,8.67302688637439e-05,-52.4298491954726,-120.65681082877
44,6,0.9,cqr,quantile_uncalibrated,0.0834056085573865,-0.0834056085573865,10.1518843022202,-4.19271991738665
44,6,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.0103498120844174,-0.0103498120844174,-36.3282000424207,-93.3070620094359
44,6,0.95,cqr,quantile_uncalibrated,0.0873373807458804,-0.0742411101474414,28.7323639262238,-6.46394869632149
44,6,0.95,recentred_enbpi_updated,recentred_enbpi_static,-0.00109858340560853,-0.00109858340560853,-70.1733626105114,-151.358715949418
45,1,0.9,cqr,quantile_uncalibrated,0.0595547846198323,-0.0595547846198323,4.32460282499578,-1.25694334430609
45,1,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.000491471523561771,-0.000491471523561771,-17.9388852260565,-51.0533686452798
45,1,0.95,cqr,quantile_uncalibrated,0.0664353859496964,-0.0664353859496964,9.14424327849198,-2.38015097926683
45,1,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.00335357039606832,2.8910089621359e-05,-31.3679791067821,-79.7074727433319
45,3,0.9,cqr,quantile_uncalibrated,0.0577045388840705,-0.0577045388840705,7.24440433653507,-2.84334791646748
45,3,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.00115640358485114,-0.00115640358485114,-26.0842976034579,-77.4181626370667
45,3,0.95,cqr,quantile_uncalibrated,0.0847932928592079,-0.0821624747036716,16.4251246266398,-6.64347289396503
45,3,0.95,recentred_enbpi_updated,recentred_enbpi_static,0.00294882914137029,0.00205261636311083,-50.5657607492353,-121.846358070554
45,6,0.9,cqr,quantile_uncalibrated,0.0785487135010119,-0.0785487135010119,10.4538479234181,-3.31942366833692
45,6,0.9,recentred_enbpi_updated,recentred_enbpi_static,-0.0103209019947962,-0.0103209019947962,-33.0312261500738,-92.7518204220755
45,6,0.95,cqr,quantile_uncalibrated,0.0886672448684591,-0.0746458514021393,26.0825935254931,-6.73749331979474
45,6,0.95,recentred_enbpi_updated,recentred_enbpi_static,-0.000202370627348958,-0.000202370627348958,-64.1277507699932,-149.877908290562
