check,n,maximum_difference,atol,rtol
reload_1_enbpi_0.9_calibration_15872_point,256,6.054687491996447e-05,1e-07,1e-07
reload_1_enbpi_0.95_calibration_15872_point,256,6.054687491996447e-05,1e-07,1e-07
reload_1_enbpi_0.95_calibration_15616_point,256,5.859375005456968e-05,1e-07,1e-07
reload_1_enbpi_0.9_calibration_15616_point,256,5.859375005456968e-05,1e-07,1e-07
reload_3_enbpi_0.95_calibration_15872_point,256,5.859375005456968e-05,1e-07,1e-07
reload_3_enbpi_0.9_calibration_15872_point,256,5.859375005456968e-05,1e-07,1e-07
reload_6_enbpi_0.9_calibration_15616_point,256,5.7617187394498615e-05,1e-07,1e-07
reload_6_enbpi_0.95_calibration_15616_point,256,5.7617187394498615e-05,1e-07,1e-07
reload_1_enbpi_0.95_calibration_16384_point,256,5.7617187394498615e-05,1e-07,1e-07
reload_1_enbpi_0.9_calibration_16384_point,256,5.7617187394498615e-05,1e-07,1e-07
