support,horizon,level,left_method,right_method,n,coverage_difference,signed_coverage_deviation_difference,absolute_coverage_deviation_difference,mpiw_difference,winkler_difference,mae_difference,rmse_difference
native,1,0.9,cqr,quantile_uncalibrated,34640,0.049653579676674386,0.0496535796766744,-0.0496535796766744,4.519292701556253,-1.1972742482157201,0.0,0.0
native,1,0.9,recentred_enbpi_updated,recentred_enbpi_static,34640,0.002482678983833808,0.0024826789838336,0.001270207852194,-15.253882119806377,-50.13520809917674,0.0,0.0
native,1,0.95,cqr,quantile_uncalibrated,34640,0.06405889145496524,0.06405889145496535,-0.06405889145496535,8.363739579553496,-2.0883723887339443,0.0,0.0
native,1,0.95,recentred_enbpi_updated,recentred_enbpi_static,34640,0.00459006928406458,0.0045900692840646,-0.003204387990762,-26.581420951641917,-77.98715178955021,0.0,0.0
native,3,0.9,cqr,quantile_uncalibrated,34640,0.05291570438799076,0.0529157043879908,-0.0529157043879908,6.628380196834257,-2.494231847086411,0.0,0.0
native,3,0.9,recentred_enbpi_updated,recentred_enbpi_static,34640,0.0034064665127020444,0.0034064665127019993,0.0034064665127019993,-22.104372050580366,-75.95748189221598,0.0,0.0
native,3,0.95,cqr,quantile_uncalibrated,34640,0.08161085450346428,0.08161085450346421,-0.0788972286374134,14.671713416941103,-5.34846272358439,0.0,0.0
native,3,0.95,recentred_enbpi_updated,recentred_enbpi_static,34640,0.003983833718244845,0.0039838337182447,0.0025981524249423,-45.33793552640719,-120.44545041179981,0.0,0.0
native,6,0.9,cqr,quantile_uncalibrated,34640,0.0839491916859123,0.0839491916859123,-0.0839491916859123,11.691803230180383,-3.770894677519408,0.0,0.0
native,6,0.9,recentred_enbpi_updated,recentred_enbpi_static,34640,-0.009901847575057743,-0.0099018475750576,-0.0031466512702078,-28.128852508144774,-91.27822019599779,0.0,0.0
native,6,0.95,cqr,quantile_uncalibrated,34640,0.08804849884526555,0.0880484988452655,-0.0744226327944571,26.610900067954645,-5.455793336537454,0.0,0.0
native,6,0.95,recentred_enbpi_updated,recentred_enbpi_static,34640,-0.0032043879907621697,-0.0032043879907621003,0.0007794457274824999,-62.84594356113135,-149.6725736129303,0.0,0.0
common,1,0.9,cqr,quantile_uncalibrated,34590,0.049667533969355304,0.049667533969355394,-0.049667533969355394,4.519292701556253,-1.1911625572170976,0.0,0.0
common,1,0.9,recentred_enbpi_updated,recentred_enbpi_static,34590,0.002486267707429879,0.0024862677074298,0.0012142237640936,-15.25325693251851,-50.15157827695654,0.0,0.0
common,1,0.95,cqr,quantile_uncalibrated,34590,0.0638045677941601,0.06380456779416008,-0.06380456779416008,8.36373957955351,-2.079036664981402,0.0,0.0
common,1,0.95,recentred_enbpi_updated,recentred_enbpi_static,34590,0.004567794160161953,0.0045677941601619,-0.0032668401272043,-26.579900634195667,-78.02161980127306,0.0,0.0
common,3,0.9,cqr,quantile_uncalibrated,34590,0.05287655391731716,0.052876553917317194,-0.052876553917317194,6.628380196834229,-2.486114701932763,0.0,0.0
common,3,0.9,recentred_enbpi_updated,recentred_enbpi_static,34590,0.003411390575310591,0.0034113905753107004,0.0034113905753107004,-22.102783159498074,-76.00601511241703,0.0,0.0
common,3,0.95,cqr,quantile_uncalibrated,34590,0.08146863255276104,0.0814686325527608,-0.0787221740387394,14.671713416941074,-5.344370450446803,0.0,0.0
common,3,0.95,recentred_enbpi_updated,recentred_enbpi_static,34590,0.004018502457357576,0.0040185024573575,0.0026019080659150998,-45.337480706451345,-120.49221570150266,0.0,0.0
common,6,0.9,cqr,quantile_uncalibrated,34590,0.08395490026019081,0.0839549002601908,-0.0839549002601908,11.691803094774485,-3.759525279763835,0.0,0.0
common,6,0.9,recentred_enbpi_updated,recentred_enbpi_static,34590,-0.00988725065047702,-0.009887250650476999,-0.0031801098583405995,-28.134005009954166,-91.31898823020808,0.0,0.0
common,6,0.95,cqr,quantile_uncalibrated,34590,0.08800231280716975,0.08800231280716961,-0.0744434807747904,26.610900067954674,-5.4344667815868775,0.0,0.0
common,6,0.95,recentred_enbpi_updated,recentred_enbpi_static,34590,-0.0032379300375829922,-0.003237930037583,0.0008383925990170002,-62.84193114471401,-149.6808137658253,0.0,0.0
