dataset,outer_fold,model_seed,horizon,model,n,mae,rmse,learned_fits,deterministic_seed_alias,provenance,run,source_model_seed
bdg2,2,42,1,seasonal_naive,34640,42.55805887413395,93.14333563540713,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1,
bdg2,2,42,3,seasonal_naive,34640,42.554705811200925,93.14043516407884,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1,
bdg2,2,42,6,seasonal_naive,34640,42.54180525404157,93.13294106096956,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1,
pleia,2,42,1,seasonal_naive,9907,0.8172201473705462,1.102752642038349,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/pleia_f2_s42_v1,
pleia,2,42,3,seasonal_naive,9907,0.8172201473705462,1.102752642038349,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/pleia_f2_s42_v1,
pleia,2,42,6,seasonal_naive,9907,0.8172201473705462,1.102752642038349,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/pleia_f2_s42_v1,
pleia_energy,2,42,1,seasonal_naive,9907,0.1694477389724437,0.3433314193501882,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f2_s42_v2,
pleia_energy,2,42,3,seasonal_naive,9907,0.1694477389724437,0.3433314193501882,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f2_s42_v2,
pleia_energy,2,42,6,seasonal_naive,9907,0.1694477389724437,0.3433314193501882,0,True,accepted_prior,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f2_s42_v2,
pleia,0,42,1,seasonal_naive,9907,1.4927223175532454,2.215873618190731,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_f0_s42_method_completion_v1,
pleia,0,42,3,seasonal_naive,9907,1.4927223175532454,2.215873618190731,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_f0_s42_method_completion_v1,
pleia,0,42,6,seasonal_naive,9907,1.4927223175532454,2.215873618190731,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_f0_s42_method_completion_v1,
pleia,1,42,1,seasonal_naive,9907,0.8271727061673564,1.18472325608116,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_f1_s42_method_completion_v1,
pleia,1,42,3,seasonal_naive,9907,0.8271727061673564,1.18472325608116,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_f1_s42_method_completion_v1,
pleia,1,42,6,seasonal_naive,9907,0.8271727061673564,1.18472325608116,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_f1_s42_method_completion_v1,
pleia_energy,0,42,1,seasonal_naive,9909,0.2013541982036532,3.5025728947911654,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f0_s42_method_completion_v1,
pleia_energy,0,42,3,seasonal_naive,9909,0.2013541982036532,3.5025728947911654,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f0_s42_method_completion_v1,
pleia_energy,0,42,6,seasonal_naive,9909,0.2013541982036532,3.5025728947911654,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f0_s42_method_completion_v1,
pleia_energy,1,42,1,seasonal_naive,9907,0.3179309768345614,4.652434074249984,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f1_s42_method_completion_v1,
pleia_energy,1,42,3,seasonal_naive,9907,0.3179309768345614,4.652434074249984,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f1_s42_method_completion_v1,
pleia_energy,1,42,6,seasonal_naive,9907,0.3179309768345614,4.652434074249984,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/pleia_energy_f1_s42_method_completion_v1,
bdg2,0,42,1,seasonal_naive,34426,36.59618794515773,79.30185931910269,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/bdg2_f0_s42_method_completion_v1,
bdg2,0,42,3,seasonal_naive,34422,36.59245384928244,79.30103762147641,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/bdg2_f0_s42_method_completion_v1,
bdg2,0,42,6,seasonal_naive,34416,36.58356525453277,79.29745371583465,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/bdg2_f0_s42_method_completion_v1,
bdg2,1,42,1,seasonal_naive,34532,37.53501196860883,76.00977401820273,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/bdg2_f1_s42_method_completion_v1,
bdg2,1,42,3,seasonal_naive,34536,37.52789890548992,76.00469832666957,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/bdg2_f1_s42_method_completion_v1,
bdg2,1,42,6,seasonal_naive,34542,37.51651676220254,75.99578299356526,0,True,new_validated,smart_building_conformal/outputs/matched_intervals005/bdg2_f1_s42_method_completion_v1,
