bound,reversed,level,level_repr,level_hex,ordinary_alpha_repr,ordinary_alpha_hex,decimal_alpha_repr,decimal_alpha_hex,ordinary_quantile_argument_repr,mapie_quantile_argument_repr,ordinary_probability_repr,ordinary_probability_hex,mapie_probability_repr,mapie_probability_hex,n_finite,ordinary_ceiling_numerator,mapie_ceiling_numerator,ordinary_corrected_probability_repr,mapie_corrected_probability_repr,horizon,score_symmetry,score_count,finite_score_count,nonfinite_score_count,nan_score_count,positive_infinity_count,negative_infinity_count,ordinary_selected_rank_one_based,mapie_selected_rank_one_based,rank_difference,ordinary_residual,mapie_residual,residual_difference,lower_neighbour,upper_neighbour
lower,True,0.9,0.9,0x1.ccccccccccccdp-1,0.09999999999999998,0x1.9999999999998p-4,0.1,0x1.999999999999ap-4,0.04999999999999999,0.05,0.95,0x1.e666666666666p-1,0.9500000000000001,0x1.e666666666667p-1,31159,29602,29603,0.9500304887833371,0.9500625822394814,1,False,34534,31159,3375,3375,0,0,1558,1557,-1,-35.33865173339845,-35.36260253906249,-0.023950805664043173,-35.378276245117206,-35.318855224609365
upper,False,0.9,0.9,0x1.ccccccccccccdp-1,0.09999999999999998,0x1.9999999999998p-4,0.1,0x1.999999999999ap-4,0.95,0.9500000000000001,0.95,0x1.e666666666666p-1,0.9500000000000001,0x1.e666666666667p-1,31159,29602,29603,0.9500304887833371,0.9500625822394814,1,False,34534,31159,3375,3375,0,0,29602,29603,1,58.13611230468746,58.1769276367188,0.04081533203134313,58.10670963541668,58.20315844726565
lower,True,0.95,0.95,0x1.e666666666666p-1,0.050000000000000044,0x1.99999999999a0p-5,0.05,0x1.999999999999ap-5,0.025000000000000022,0.025,0.975,0x1.f333333333333p-1,0.975,0x1.f333333333333p-1,31159,30381,30381,0.9750312911197407,0.9750312911197407,1,False,34534,31159,3375,3375,0,0,779,779,0,-53.05602612304688,-53.05602612304688,0.0,-53.07171997070313,-53.026947021484375
upper,False,0.95,0.95,0x1.e666666666666p-1,0.050000000000000044,0x1.99999999999a0p-5,0.05,0x1.999999999999ap-5,0.975,0.975,0.975,0x1.f333333333333p-1,0.975,0x1.f333333333333p-1,31159,30381,30381,0.9750312911197407,0.9750312911197407,1,False,34534,31159,3375,3375,0,0,30381,30381,0,81.43636523437522,81.43636523437522,0.0,81.43235172526045,81.51918029785156
lower,True,0.9,0.9,0x1.ccccccccccccdp-1,0.09999999999999998,0x1.9999999999998p-4,0.1,0x1.999999999999ap-4,0.04999999999999999,0.05,0.95,0x1.e666666666666p-1,0.9500000000000001,0x1.e666666666667p-1,31157,29601,29601,0.9500593767050743,0.9500593767050743,3,False,34532,31157,3375,3375,0,0,1557,1557,0,-57.25071716308594,-57.25071716308594,0.0,-57.31397247314453,-57.221282226562494
upper,False,0.9,0.9,0x1.ccccccccccccdp-1,0.09999999999999998,0x1.9999999999998p-4,0.1,0x1.999999999999ap-4,0.95,0.9500000000000001,0.95,0x1.e666666666666p-1,0.9500000000000001,0x1.e666666666667p-1,31157,29601,29601,0.9500593767050743,0.9500593767050743,3,False,34532,31157,3375,3375,0,0,29601,29601,0,82.42565869140617,82.42565869140617,0.0,82.40763671874998,82.4715655517578
lower,True,0.95,0.95,0x1.e666666666666p-1,0.050000000000000044,0x1.99999999999a0p-5,0.05,0x1.999999999999ap-5,0.025000000000000022,0.025,0.975,0x1.f333333333333p-1,0.975,0x1.f333333333333p-1,31157,30380,30380,0.9750617838687935,0.9750617838687935,3,False,34532,31157,3375,3375,0,0,778,778,0,-79.56857299804688,-79.56857299804688,0.0,-79.57215429687471,-79.53448632812501
upper,False,0.95,0.95,0x1.e666666666666p-1,0.050000000000000044,0x1.99999999999a0p-5,0.05,0x1.999999999999ap-5,0.975,0.975,0.975,0x1.f333333333333p-1,0.975,0x1.f333333333333p-1,31157,30380,30380,0.9750617838687935,0.9750617838687935,3,False,34532,31157,3375,3375,0,0,30380,30380,0,117.80056762695312,117.80056762695312,0.0,117.78597910156248,117.85752539062491
lower,True,0.9,0.9,0x1.ccccccccccccdp-1,0.09999999999999998,0x1.9999999999998p-4,0.1,0x1.999999999999ap-4,0.04999999999999999,0.05,0.95,0x1.e666666666666p-1,0.9500000000000001,0x1.e666666666667p-1,31169,29612,29612,0.9500465205813469,0.9500465205813469,6,False,34524,31169,3355,3355,0,0,1558,1558,0,-68.97529373321534,-68.97529373321534,0.0,-69.00126489257812,-68.97014363606769
upper,False,0.9,0.9,0x1.ccccccccccccdp-1,0.09999999999999998,0x1.9999999999998p-4,0.1,0x1.999999999999ap-4,0.95,0.9500000000000001,0.95,0x1.e666666666666p-1,0.9500000000000001,0x1.e666666666667p-1,31169,29612,29612,0.9500465205813469,0.9500465205813469,6,False,34524,31169,3355,3355,0,0,29612,29612,0,100.28470052083334,100.28470052083334,0.0,100.27124316406253,100.32912207031251
