dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
pleia_energy,2,42,1,0.9,quantile_uncalibrated,native,9907,0.689613404663369,-0.210386595336631,0.210386595336631,0.310015530537637,0.829369332616025,0.121679443986889,0.209503396427138,1205.47825157811,434.834805545415,3071.32386103637,8216.56197822696,6832,9907,0,0,complete
pleia_energy,2,42,1,0.9,cqr,native,9907,0.816695265973554,-0.083304734026446,0.083304734026446,0.33928650340894,0.800420088301342,0.121679443986889,0.209503396427138,1205.47825157811,434.834805545415,3361.31138927237,7929.7618148014,8091,9907,0,0,complete
pleia_energy,2,42,1,0.9,recentred_enbpi_static,native,9907,0.172403351165842,-0.727596648834158,0.727596648834158,0.055988073348999,2.46104218979783,0.144227399739578,0.227309247090096,1428.86084922,511.889675202085,554.673842668533,24381.5449743271,1708,9907,0,0,complete
pleia_energy,2,42,1,0.9,recentred_enbpi_updated,native,9907,0.735843343090744,-0.164156656909256,0.164156656909256,0.279521033557081,1.28387616758353,0.144227399739578,0.227309247090096,1428.86084922,511.889675202085,2769.21487945,12719.36119225,7290,9907,0,0,complete
pleia_energy,2,42,1,0.9,dscp,native,9902,0.718440719046657,-0.181559280953343,0.181559280953343,0.251165960464567,1.33340850637052,0.123760010754429,0.214440433459663,1225.47162649035,455.340494472448,2487.04534052014,13203.4110300809,7114,9902,0,0,complete
pleia_energy,2,42,1,0.95,quantile_uncalibrated,native,9907,0.825073180579388,-0.124926819420612,0.124926819420612,0.524125416592002,1.21898823232504,0.121679443986889,0.209503396427138,1205.47825157811,434.834805545415,5192.51050217696,12076.5164176442,8174,9907,0,0,complete
pleia_energy,2,42,1,0.95,cqr,native,9907,0.790754012314525,-0.159245987685475,0.159245987685475,0.313433800032336,1.72665792126959,0.121679443986889,0.209503396427138,1205.47825157811,434.834805545415,3105.18865692035,17106.0000260178,7834,9907,0,0,complete
pleia_energy,2,42,1,0.95,recentred_enbpi_static,native,9907,0.251438376905219,-0.698561623094781,0.698561623094781,0.0826372802257538,4.52869569793519,0.144227399739578,0.227309247090096,1428.86084922,511.889675202085,818.687535196543,44865.788279444,2491,9907,0,0,complete
pleia_energy,2,42,1,0.95,recentred_enbpi_updated,native,9907,0.850408801857273,-0.0995911981427273,0.0995911981427273,0.489292105557687,1.60554078422933,0.144227399739578,0.227309247090096,1428.86084922,511.889675202085,4847.41688976,15906.09254936,8425,9907,0,0,complete
pleia_energy,2,42,1,0.95,dscp,native,9902,0.786608765905878,-0.163391234094122,0.163391234094122,0.29921141651767,2.15869928056412,0.123760010754429,0.214440433459663,1225.47162649035,455.340494472448,2962.79144635797,21375.4402761459,7789,9902,0,0,complete
pleia_energy,2,42,3,0.9,quantile_uncalibrated,native,9907,0.778843242152014,-0.121156757847986,0.121156757847986,0.338927680241695,0.835932025204552,0.121535361762145,0.226159908236557,1204.05082897757,506.726248654975,3357.75652815447,8281.57857370149,7716,9907,0,13,complete
pleia_energy,2,42,3,0.9,cqr,native,9907,0.850812556778036,-0.0491874432219643,0.0491874432219643,0.36448552940654,0.838291722200709,0.121535361762145,0.226159908236557,1204.05082897757,506.726248654975,3610.95813983059,8304.95609184242,8429,9907,0,13,complete
pleia_energy,2,42,3,0.9,recentred_enbpi_static,native,9907,0.361360654082972,-0.538639345917028,0.538639345917028,0.0603846684098244,1.99419830609318,0.120742185075704,0.223647866028508,1196.192827545,495.531971568998,598.23090993613,19756.5226184651,3580,9907,0,0,complete
pleia_energy,2,42,3,0.9,recentred_enbpi_updated,native,9907,0.682951448470778,-0.217048551529222,0.217048551529222,0.203267509047138,1.29440265235995,0.120742185075704,0.223647866028508,1196.192827545,495.531971568998,2013.77121213,12823.64707693,6766,9907,0,0,complete
pleia_energy,2,42,3,0.9,dscp,native,9902,0.67541910725106,-0.22458089274894,0.22458089274894,0.195563366031001,1.43116114183499,0.11950509981114,0.226197070003071,1183.33949832991,506.636963560902,1936.46845043898,14171.3576264501,6688,9902,0,0,complete
pleia_energy,2,42,3,0.95,quantile_uncalibrated,native,9907,0.845866558998688,-0.104133441001312,0.104133441001312,0.463263518592361,1.18928264529138,0.121535361762145,0.226159908236557,1204.05082897757,506.726248654975,4589.55167869452,11782.2231669017,8380,9907,0,5,complete
pleia_energy,2,42,3,0.95,cqr,native,9907,0.894922781871404,-0.0550772181285959,0.0550772181285959,0.462384920069394,1.22397552211536,0.121535361762145,0.226159908236557,1204.05082897757,506.726248654975,4580.84740312749,12125.9254975969,8866,9907,0,5,complete
pleia_energy,2,42,3,0.95,recentred_enbpi_static,native,9907,0.467750075704048,-0.482249924295952,0.482249924295952,0.0984903996189435,3.59585878000669,0.120742185075704,0.223647866028508,1196.192827545,495.531971568998,975.744389024873,35624.1729335263,4634,9907,0,0,complete
pleia_energy,2,42,3,0.95,recentred_enbpi_updated,native,9907,0.807610780256384,-0.142389219743616,0.142389219743616,0.334373057574442,1.67439185922984,0.120742185075704,0.223647866028508,1196.192827545,495.531971568998,3312.63388139,16588.20014939,8001,9907,0,0,complete
pleia_energy,2,42,3,0.95,dscp,native,9902,0.742779236517875,-0.207220763482125,0.207220763482125,0.245579089987154,2.35153394511157,0.11950509981114,0.226197070003071,1183.33949832991,506.636963560902,2431.7241490528,23284.8891244948,7355,9902,0,0,complete
pleia_energy,2,42,6,0.9,quantile_uncalibrated,native,9907,0.726456041183002,-0.173543958816998,0.173543958816998,0.320492848783357,0.967807577741155,0.120830651789484,0.242875799543342,1197.06926727841,584.400595215822,3175.12265289672,9588.06967268162,7197,9907,0,8,complete
pleia_energy,2,42,6,0.9,cqr,native,9907,0.802059150095892,-0.0979408499041082,0.0979408499041082,0.326488043980942,0.975027478246992,0.120830651789484,0.242875799543342,1197.06926727841,584.400595215822,3234.51705171919,9659.59722699295,7946,9907,0,8,complete
pleia_energy,2,42,6,0.9,recentred_enbpi_static,native,9907,0.21510043403654,-0.68489956596346,0.68489956596346,0.0641991719603539,2.21699972323411,0.135325919141718,0.241321440630152,1340.673880937,576.944425571295,636.021196611226,21963.8162580803,2131,9907,0,0,complete
pleia_energy,2,42,6,0.9,recentred_enbpi_updated,native,9907,0.679115776723529,-0.220884223276471,0.220884223276471,0.222745949428788,1.3543539985052,0.135325919141718,0.241321440630152,1340.673880937,576.944425571295,2206.744120991,13417.585063191,6728,9907,0,0,complete
pleia_energy,2,42,6,0.9,dscp,native,9902,0.625227226822864,-0.274772773177136,0.274772773177136,0.188703440203044,1.54533544433292,0.128824599797158,0.246184005903148,1275.62118719146,600.126204278484,1868.54146489054,15301.9115697846,6191,9902,0,0,complete
