dataset,outer_fold,model_seed,horizon,level,method,support,group_id,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
rico,2,42,5,0.9,quantile_uncalibrated,native,P1S101,212,0.6084905660377359,-0.29150943396226414,0.29150943396226414,0.1607457461205483,0.45873437473936207,0.07674155140111498,0.0950595451288205,16.269208897036375,1.9156992294608317,34.078098177556235,97.25168744474476,129,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P3S0,212,0.7547169811320755,-0.1452830188679245,0.1452830188679245,1.1465037573476522,1.7920850902041847,0.15059645247982925,0.17505915700940272,31.9264479257238,6.496890192002655,243.05879655770227,379.92203912328716,160,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P3S1,212,0.6650943396226415,-0.2349056603773585,0.2349056603773585,2.5003635152337904,4.126821874606028,0.10869434823998178,0.1344702394683586,23.04320182687614,3.833436004167674,530.0770652295636,874.886237416478,141,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P3S2,212,0.4009433962264151,-0.4990566037735849,0.4990566037735849,1.989669706928627,4.982304082294289,0.18825169969391967,0.22312440107325054,39.90936033511097,10.554313651110915,421.80997786886894,1056.2484654463892,85,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P3S3,212,0.05660377358490566,-0.8433962264150944,0.8433962264150944,4.049616467851669,17.75397438636664,0.17369209530140187,0.2083619479574364,36.822724203897195,9.203916687602895,858.5186911845537,3763.842569909728,12,212,0,12,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P3S4,212,0.08490566037735849,-0.8150943396226416,0.8150943396226416,3.852242610438804,16.72149798447635,0.21515917113601593,0.23923985036726297,45.61374428083538,12.133969672795079,816.6754334130264,3544.957572708986,18,212,0,36,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P3S5,212,0.4386792452830189,-0.46132075471698114,0.46132075471698114,2.01408924615745,5.667977456294601,0.20696377812276978,0.27747805161133415,43.876320962027194,16.32274265471671,426.9869201853794,1201.6112207344554,93,212,0,167,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S0,212,1.0,0.09999999999999998,0.09999999999999998,1.17648623720735,1.17648623720735,0.10275223835788878,0.13246673804527442,21.78347453187242,3.7200565779313344,249.4150822879582,249.4150822879582,212,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S1,212,0.6132075471698113,-0.2867924528301887,0.2867924528301887,1.7344813935898906,3.7712533142746945,0.07085222406570824,0.09249592321971391,15.020671501930146,1.8137651122006484,367.7100554410568,799.5057026262352,130,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S10,212,0.9622641509433962,0.06226415094339621,0.06226415094339621,0.49456065232077706,0.5263033910915045,0.11390902946705828,0.12703884675657737,24.148714247016354,3.4214401400711227,104.84685829200474,111.57631891139894,204,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S11,212,1.0,0.09999999999999998,0.09999999999999998,0.9995701947595114,0.9995701947595114,0.0687454649438696,0.08110292291992358,14.574038568100356,1.3944690305048737,211.90888128901642,211.90888128901642,212,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S12,212,0.9339622641509434,0.03396226415094339,0.03396226415094339,1.4856365495911434,1.5319331067972566,0.08513769944072754,0.10420570687959786,18.049192281434237,2.302071821410654,314.9549485133224,324.7698186410184,198,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S13,212,0.9292452830188679,0.029245283018867863,0.029245283018867863,1.0616262922218858,1.301250670749358,0.09502299308341726,0.1316149113005939,20.144874533684458,3.6723667938526,225.0647739510398,275.8651421988639,197,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S14,212,0.4669811320754717,-0.4330188679245283,0.4330188679245283,1.5828084010220709,4.6459405071279125,0.0988707028850978,0.12812306414635044,20.960589011640735,3.4800901480449644,335.555381016679,984.9393875111175,99,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S15,212,0.9716981132075472,0.07169811320754715,0.07169811320754715,1.3692689626920647,1.5581173835113107,0.08323747301127123,0.10712140429484052,17.6463442783895,2.4326989947169193,290.2850200907177,330.32088530439785,206,212,0,0,complete
rico,2,42,5,0.9,quantile_uncalibrated,native,P4S16,212,0.09905660377358491,-0.8009433962264151,0.8009433962264151,2.583790509124808,13.202894844397248,0.1435554997228098,0.1811041781226532,30.433765941235674,6.95332934669812,547.7635879344593,2799.0137070122164,21,212,0,23,complete
