dataset,horizon,outer_fold,seed,model,estimator_class,evidence_status,n_calibration,rank,q,status,nominal_level,n_evaluation,construction,coverage,mpiw,winkler
pleia,1,0,42,persistence,src.pilot_forecasters.Persistence,pilot,9907,8918,0.5,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.9204602806096699,1.0,1.5598061976380337
pleia,1,0,42,persistence,src.pilot_forecasters.Persistence,pilot,9907,9413,0.6999999999999993,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.9596245079236904,1.3999999999999984,1.9842333703442006
pleia,1,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,9907,8918,0.4978240966796861,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.8871504996467144,0.995648193359372,1.6334668737927278
pleia,1,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,9907,9413,0.635622406005858,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.9363076612496215,1.271244812011716,2.076633822016679
pleia,1,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,9907,8918,0.6902084350585938,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.8724134450388614,1.3804168701171875,2.17718302860647
pleia,1,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,9907,9413,0.8340599060058587,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.9227818714040578,1.668119812011717,2.6856906025660225
pleia,3,0,42,persistence,src.pilot_forecasters.Persistence,pilot,9906,8917,0.8000000000000007,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.892702129807207,1.6000000000000016,2.9449076410618753
pleia,3,0,42,persistence,src.pilot_forecasters.Persistence,pilot,9906,9412,1.1000000000000014,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.9417583526799232,2.200000000000003,3.825517310992226
pleia,3,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,9906,8917,0.7969215393066378,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.765721207227213,1.5938430786132753,3.4326886047012195
pleia,3,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,9906,9412,1.0379821777343743,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.8802866659937418,2.0759643554687486,4.1207628417426605
pleia,3,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,9906,8917,1.0509891510009766,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.8210356313717574,2.101978302001953,4.057245998242025
pleia,3,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,9906,9412,1.3155078887939453,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.8970424952054104,2.6310157775878906,5.088480114130626
pleia,6,0,42,persistence,src.pilot_forecasters.Persistence,pilot,9904,8915,1.1999999999999993,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.8939133945694964,2.3999999999999986,4.21992530533966
pleia,6,0,42,persistence,src.pilot_forecasters.Persistence,pilot,9904,9410,1.5999999999999979,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.9402442717270617,3.1999999999999957,5.547431109316643
pleia,6,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,9904,8915,1.134807968139647,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.7753103865953366,2.269615936279294,4.437111560624776
pleia,6,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,9904,9410,1.3967857360839844,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.8819016856767942,2.7935714721679688,5.371068596178097
pleia,6,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,9904,8915,1.64543266296387,ok,0.9,9907,ordinary_split_conformal_absolute_error,0.7191884526092662,3.29086532592774,7.819547741644378
pleia,6,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,9904,9410,1.9559360504150405,ok,0.95,9907,ordinary_split_conformal_absolute_error,0.8073079640658121,3.9118721008300814,10.048865994197067
