horizon,inner_fold,model,candidate_id,seed,n_train,n_validation,train_mae,train_rmse,train_prediction_minus_truth_bias,train_truth_mean,train_prediction_mean,train_truth_min,train_truth_max,train_prediction_min,train_prediction_max,validation_mae,validation_rmse,validation_prediction_minus_truth_bias,validation_truth_mean,validation_prediction_mean,validation_truth_min,validation_truth_max,validation_prediction_min,validation_prediction_max,seconds_diagnostic_only,best_epoch,saved_validation_mae,mae_difference_from_saved
1,0,persistence,0,42,9905,9905,0.1913377082281676,0.29201730083658556,-0.0006057546693589097,20.025209490156488,20.02460373548713,15.0,26.6,15.0,26.6,0.27036850075719326,0.4019764396721394,-0.00042402826855123665,22.202867238768302,22.202443210499748,15.0,29.6,15.0,29.6,0.012991400000828435,,,
1,0,xgboost,0,42,9905,9905,0.18367380235605563,0.26270176356450653,-0.00023031029660315874,20.025209490156488,20.024979179859884,15.0,26.6,14.92111587524414,26.558944702148438,0.46434071596194737,0.7236764074646993,-0.2624777451023678,22.202867238768302,21.940389493665933,15.0,29.6,15.07033920288086,26.342737197875977,0.8286807999993471,,0.4643407159619473,5.551115123125783e-17
1,0,xgboost,1,42,9905,9905,0.15316238135656043,0.2146025790187875,-0.00010246421278639164,20.025209490156488,20.0251070259437,15.0,26.6,14.975570678710938,26.562725067138672,0.48345843754652357,0.7589258864065327,-0.27625818713754796,22.202867238768302,21.926609051630752,15.0,29.6,15.306041717529297,26.191614151000977,1.0247521000001143,,0.4834584375465235,5.551115123125783e-17
1,0,attention_lstm,0,42,9905,9905,0.19708372484849354,0.2863099687392381,0.02590815866192079,20.025209490156488,20.05111764881841,15.0,26.6,15.23853874206543,25.736671447753906,0.5009749345235426,0.7788928776724895,-0.28483486169760186,22.202867238768302,21.9180323770707,15.0,29.6,15.187204360961914,26.13135528564453,55.02780349999921,30.0,0.5009749345235426,0.0
1,0,attention_lstm,1,42,9905,9905,0.22472454706506861,0.3174640513102166,-0.0016221084671752548,20.025209490156488,20.02358738168931,15.0,26.6,15.337459564208984,25.494503021240234,0.5644140198855374,0.8380886861299817,-0.33162788585603153,22.202867238768302,21.871239352912266,15.0,29.6,15.33979320526123,26.071670532226562,52.51837110000088,30.0,0.5644140198855374,0.0
1,1,persistence,0,42,19810,9907,0.23085310449268046,0.351325463096097,-0.0005148914689550732,21.114038364462395,21.11352347299344,15.0,29.6,15.0,29.6,0.23937619864742102,0.33667365068821453,-0.0003532855556677097,28.93842737458363,28.93807408902796,21.8,33.4,21.8,33.4,0.018328100000871927,,,
1,1,xgboost,0,42,19810,9907,0.22506257114477798,0.31838296966843593,-0.00031013303907879693,21.114038364462395,21.113728231423313,15.0,29.6,14.547321319580078,29.294776916503906,0.813644498241914,1.1307156356419934,-0.6817465853688695,28.93842737458363,28.25668078921476,21.8,33.4,21.879358291625977,29.387672424316406,1.1926942999998573,,0.813644498241914,0.0
1,1,xgboost,1,42,19810,9907,0.20206962036641185,0.27981416080774385,-0.0002624238084988835,21.114038364462395,21.113775940653895,15.0,29.6,14.874442100524902,29.40756607055664,0.8151170261406545,1.1178559718909429,-0.6944350216335036,28.93842737458363,28.243992352950123,21.8,33.4,21.913227081298828,29.450984954833984,1.6081219000006968,,0.8151170261406545,0.0
1,1,attention_lstm,0,42,19810,9907,0.26946043258120117,0.38260276602520105,0.059434275619915045,21.114038364462395,21.17347264008231,15.0,29.6,15.198221206665039,29.284738540649414,1.741836962281629,2.391113540860373,-1.6085349901468298,28.93842737458363,27.329892384436796,21.8,33.4,22.698894500732422,30.503543853759766,47.025478499999736,10.0,1.741836962281629,0.0
1,1,attention_lstm,1,42,19810,9907,0.2377904644907875,0.3450452373001189,0.007049722127514828,21.114038364462395,21.121088086589907,15.0,29.6,15.016003608703613,29.19240951538086,1.84403786925407,2.529807303615541,-1.7505409036260735,28.93842737458363,27.187886470957555,21.8,33.4,22.62038230895996,30.577436447143555,92.75702040000033,25.0,1.84403786925407,0.0
3,0,persistence,0,42,9902,9902,0.34256715814986877,0.5059203124534728,-0.0015653403352858008,20.024550595839226,20.022985255503936,15.0,26.6,15.0,26.6,0.4551504746515855,0.6648342993003267,-0.001343162997374268,22.2011916784488,22.19984851545142,15.0,29.6,15.0,29.6,0.011427499999626889,,,
3,0,xgboost,0,42,9902,9902,0.29524654401140826,0.4092482839511761,9.669820315135257e-05,20.024550595839226,20.024647294042374,15.0,26.6,15.238157272338867,26.383211135864258,0.7889608598723361,1.1402434559093795,-0.4709470158127963,22.2011916784488,21.730244662636004,15.0,29.6,15.569900512695312,26.278295516967773,0.6875945000010688,,0.7889608598723361,0.0
3,0,xgboost,1,42,9902,9902,0.22008886603099415,0.2994042367943772,5.8073199076740635e-06,20.024550595839226,20.02455640315913,15.0,26.6,15.05737590789795,26.44168472290039,0.9305250167846681,1.378094967026498,-0.6019135427966164,22.2011916784488,21.59927813565218,15.0,29.6,15.579529762268066,25.910110473632812,0.9812359999996261,,0.930525016784668,1.1102230246251565e-16
3,0,attention_lstm,0,42,9902,9902,0.3543067276826942,0.48268690003990455,0.0015591920541768005,20.024550595839226,20.0261097878934,15.0,26.6,15.586952209472656,25.974925994873047,0.7451123347404726,1.0331679518653116,-0.3442001764809476,22.2011916784488,21.85699150196785,15.0,29.6,15.381416320800781,25.84726905822754,37.955960199999026,16.0,0.7451123347404726,0.0
3,0,attention_lstm,1,42,9902,9902,0.3422450545820846,0.46817576946625933,-0.017754280415478947,20.024550595839226,20.006796315423745,15.0,26.6,15.400962829589844,25.52539825439453,0.8062931179639138,1.1018191677118234,-0.44338858912049395,22.2011916784488,21.757803089328306,15.0,29.6,15.240337371826172,26.440189361572266,52.53826850000041,30.0,0.8062931179639138,0.0
3,1,persistence,0,42,19804,9905,0.3988588164007271,0.5907452954019929,-0.0014542516663300343,21.112871137144015,21.111416885477677,15.0,29.6,15.0,29.6,0.3914891468955074,0.5655042466715291,-0.001120646138313983,28.93760726905603,28.93648662291772,21.8,33.4,21.8,33.4,0.017527100000734208,,,
3,1,xgboost,0,42,19804,9905,0.3570777532958522,0.4960598549231615,1.2775219659345575e-05,21.112871137144015,21.11288391236367,15.0,29.6,14.545928955078125,29.197662353515625,0.9599876909097115,1.2422414648424402,-0.7837611899840476,28.93760726905603,28.153846079071986,21.8,33.4,22.04039192199707,29.553125381469727,1.1889711000003444,,0.9599876909097116,-1.1102230246251565e-16
